pair_id,level_a,level_b,signal_position,conditional_frequency_ghz,cell_mean_db,additive_prediction_db,interaction_db
surface_x_position,A1,P1,0,5.0000000000,-54.1056644326,-55.0773963448,0.971731912211
surface_x_position,A1,P1,1,5.0107142857,-54.1448061098,-55.3406107411,1.19580463131
surface_x_position,A1,P1,2,5.0214285714,-54.0176454998,-55.4377314022,1.42008590248
surface_x_position,A1,P1,3,5.0321428571,-53.7452707091,-55.464788965,1.71951825582
surface_x_position,A1,P1,4,5.0428571429,-53.2646068988,-55.3282616987,2.06365479987
surface_x_position,A1,P1,5,5.0535714286,-52.7488620298,-55.040605123,2.29174309316
surface_x_position,A1,P1,6,5.0642857143,-52.4391896906,-54.6499824884,2.21079279774
surface_x_position,A1,P1,7,5.0750000000,-52.0856205225,-54.2817062613,2.19608573884
surface_x_position,A1,P1,8,5.0857142857,-51.9119173676,-54.2743816852,2.36246431764
surface_x_position,A1,P1,9,5.0964285714,-51.8248074465,-54.3191205488,2.49431310229
surface_x_position,A1,P1,10,5.1071428571,-51.8875541214,-54.323581351,2.43602722957
surface_x_position,A1,P1,11,5.1178571429,-52.0139117417,-54.3330238154,2.3191120737
surface_x_position,A1,P1,12,5.1285714286,-52.3067065792,-54.2372984311,1.93059185185
surface_x_position,A1,P1,13,5.1392857143,-52.3533923898,-53.9943396357,1.64094724582
surface_x_position,A1,P1,14,5.1500000000,-52.1288545117,-53.4274998199,1.29864530822
surface_x_position,A1,P1,15,5.1607142857,-51.5124952565,-52.5662955892,1.05380033275
surface_x_position,A1,P1,16,5.1714285714,-51.0599236466,-51.8406811427,0.780757496115
surface_x_position,A1,P1,17,5.1821428571,-50.4273864502,-51.0371469927,0.60976054249
surface_x_position,A1,P1,18,5.1928571429,-49.5780978906,-50.1452323639,0.567134473239
surface_x_position,A1,P1,19,5.2035714286,-48.8094637702,-49.2253119658,0.415848195605
surface_x_position,A1,P1,20,5.2142857143,-48.2002188648,-48.452729993,0.252511128163
surface_x_position,A1,P1,21,5.2250000000,-47.5827543181,-47.8115416926,0.228787374578
surface_x_position,A1,P1,22,5.2357142857,-47.0124698211,-47.2412968534,0.228827032335
surface_x_position,A1,P1,23,5.2464285714,-46.4125837182,-46.524519846,0.111936127768
surface_x_position,A1,P1,24,5.2571428571,-45.8862406996,-45.8001499249,-0.0860907746957
surface_x_position,A1,P1,25,5.2678571429,-45.2361593447,-45.0572944405,-0.178864904211
surface_x_position,A1,P1,26,5.2785714286,-44.3956816541,-44.0717215671,-0.323960086931
surface_x_position,A1,P1,27,5.2892857143,-43.2895702069,-42.9308490363,-0.358721170652
surface_x_position,A1,P1,28,5.3000000000,-41.9799900672,-41.5634460584,-0.416544008843
surface_x_position,A1,P1,29,5.3107142857,-40.6084945241,-40.1752988917,-0.433195632414
surface_x_position,A1,P1,30,5.3214285714,-39.2836917298,-38.8783607541,-0.405330975675
surface_x_position,A1,P1,31,5.3321428571,-37.8433582204,-37.621107583,-0.222250637441
surface_x_position,A1,P1,32,5.3428571429,-36.5144601701,-36.4865032117,-0.0279569584002
surface_x_position,A1,P1,33,5.3535714286,-35.5968946037,-35.7092542449,0.112359641254
surface_x_position,A1,P1,34,5.3642857143,-35.0168702993,-35.215782067,0.198911767742
surface_x_position,A1,P1,35,5.3750000000,-34.8720477244,-35.0158188801,0.143771155661
surface_x_position,A1,P1,36,5.3857142857,-35.3641479399,-35.4782381983,0.114090258414
