position,fold,seed,TagID,ER,surface,paired_unit_id,condition_block_identifier,row_count,split_assignment,source_data_fingerprint
P1,1,42,1,0,A1,pair_a5d33fae02f85179aed284d5,cond_6b110eda6a1721f2fe622d6e,50,test,f23f59efc334c577aa0621a72d1684bf804821432996a807b0067e06b4105ecd
P1,1,42,1,0,A2,pair_06f946129d85357eaab1f4a3,cond_a475e2216d1de08e81c33715,50,train,f23f59efc334c577aa0621a72d1684bf804821432996a807b0067e06b4105ecd
P1,1,42,1,0,A3,pair_6cff4c54c31d1f172f5ebf9a,cond_f83ba3fd234667486415d5c5,50,train,f23f59efc334c577aa0621a72d1684bf804821432996a807b0067e06b4105ecd
P1,1,42,1,1,A1,pair_7ca7da9af7b85c410bd18ebf,cond_0ba658e36aab9aed09c7a7cb,50,validation,f23f59efc334c577aa0621a72d1684bf804821432996a807b0067e06b4105ecd
P1,1,42,1,1,A2,pair_e195f2804f0b5f8f422f131d,cond_ccc32713cb7978b402839482,50,train,f23f59efc334c577aa0621a72d1684bf804821432996a807b0067e06b4105ecd
P1,1,42,1,1,A3,pair_9a49df49f22a0194b25a4514,cond_7a4364260b6d37d2d44d95d8,50,test,f23f59efc334c577aa0621a72d1684bf804821432996a807b0067e06b4105ecd
P1,1,42,1,2,A1,pair_9b1812c4a2e2fe2310dae181,cond_729499e930b1f70d09106235,50,validation,f23f59efc334c577aa0621a72d1684bf804821432996a807b0067e06b4105ecd
P1,1,42,1,2,A2,pair_68d027990684c88efb84519d,cond_49a96ce96cfa0edde681784f,50,test,f23f59efc334c577aa0621a72d1684bf804821432996a807b0067e06b4105ecd
P1,1,42,1,2,A3,pair_0b62c82a069fc0ea6591502f,cond_4a2bbb89f069bfe76c027288,50,train,f23f59efc334c577aa0621a72d1684bf804821432996a807b0067e06b4105ecd
P1,1,42,2,0,A1,pair_81bc687f4097da257888b87f,cond_7ab3873195b46933af17e636,50,test,f23f59efc334c577aa0621a72d1684bf804821432996a807b0067e06b4105ecd
P1,1,42,2,0,A2,pair_94f4ffc15b3d16f11a0aa0e8,cond_6c03c34abd8e07aaa560bce0,50,validation,f23f59efc334c577aa0621a72d1684bf804821432996a807b0067e06b4105ecd
P1,1,42,2,0,A3,pair_a081c99efd1a83e18a18e6a2,cond_9ed494c7dc9f767bcaec40fc,50,train,f23f59efc334c577aa0621a72d1684bf804821432996a807b0067e06b4105ecd
P1,1,42,2,1,A1,pair_480c0f52bb6b43895bc3ccb0,cond_2289c272e58f3013ff3b1550,50,validation,f23f59efc334c577aa0621a72d1684bf804821432996a807b0067e06b4105ecd
P1,1,42,2,1,A2,pair_875b84cf0bd76e184ddc7573,cond_40d3982ec75d954bec7d95c5,50,train,f23f59efc334c577aa0621a72d1684bf804821432996a807b0067e06b4105ecd
P1,1,42,2,1,A3,pair_a77ea0c9589b62285bf789e7,cond_50bb947080864fbeabdd2f9a,50,test,f23f59efc334c577aa0621a72d1684bf804821432996a807b0067e06b4105ecd
P1,1,42,2,2,A1,pair_4df7117ad193f76bb25fe0ef,cond_16e3dbeb00786d212d89d9bd,50,train,f23f59efc334c577aa0621a72d1684bf804821432996a807b0067e06b4105ecd
P1,1,42,2,2,A2,pair_8b21707272e156f393347b93,cond_1b0f11657f0627f6caed58ff,50,test,f23f59efc334c577aa0621a72d1684bf804821432996a807b0067e06b4105ecd
P1,1,42,2,2,A3,pair_db0456b8b9d4a4fc84e2beed,cond_e4d2ecd3131ea48fd73ca16a,50,train,f23f59efc334c577aa0621a72d1684bf804821432996a807b0067e06b4105ecd
P1,1,42,3,0,A1,pair_1442022fc6c5e262216c2073,cond_48a9e211bf5e3febd7cb18a1,50,test,f23f59efc334c577aa0621a72d1684bf804821432996a807b0067e06b4105ecd
P1,1,42,3,0,A2,pair_c1dec54e94974c054908f2c3,cond_32eb7df326d01e8d260d7fc1,50,train,f23f59efc334c577aa0621a72d1684bf804821432996a807b0067e06b4105ecd
