position,distance_mm,angle_degrees,metric,estimand,value,unit_count,seed_count,inferential_role
P1,50,0,condition_block_accuracy,mean_of_five_seed_specific_metrics_pooled_over_63_blocks,0.3238095238095238,63,5,primary
P1,50,0,pooled_condition_block_macro_f1,mean_of_five_seed_specific_metrics_pooled_over_63_blocks,0.2965159796384918,63,5,secondary
P1,50,0,descriptive_15_run_row_accuracy,descriptive_mean_across_15_runs,0.3204444444444444,15,5,descriptive
P1,50,0,descriptive_15_run_row_macro_f1,descriptive_mean_across_15_runs,0.2555378575814748,15,5,descriptive
P1,50,0,descriptive_15_run_block_macro_f1,descriptive_mean_across_15_runs,0.25425204425204423,15,5,descriptive
P1,50,0,training_accuracy,descriptive_mean_across_15_runs,0.8171746031746032,15,5,descriptive
P1,50,0,validation_accuracy,descriptive_mean_across_15_runs,0.32866666666666666,15,5,descriptive
P1,50,0,train_to_held_accuracy_gap,descriptive_mean_across_15_runs,0.49673015873015874,15,5,descriptive
P1,50,0,validation_to_held_accuracy_gap,descriptive_mean_across_15_runs,0.008222222222222231,15,5,descriptive
P1,50,0,selected_epoch,descriptive_mean_across_15_runs,12.666666666666666,15,5,descriptive
P1,50,0,held_block_accuracy_run_variance,descriptive_population_variance_across_15_runs,0.004595616024187453,15,5,descriptive
P1,50,0,descriptive_predicted_TagID_1_fraction,descriptive_fraction_across_15_held_row_prediction_sets,0.0946031746031746,15750,5,secondary_descriptive
P1,50,0,descriptive_predicted_TagID_2_fraction,descriptive_fraction_across_15_held_row_prediction_sets,0.11155555555555556,15750,5,secondary_descriptive
P1,50,0,descriptive_predicted_TagID_3_fraction,descriptive_fraction_across_15_held_row_prediction_sets,0.13212698412698412,15750,5,secondary_descriptive
P1,50,0,descriptive_predicted_TagID_4_fraction,descriptive_fraction_across_15_held_row_prediction_sets,0.16615873015873017,15750,5,secondary_descriptive
P1,50,0,descriptive_predicted_TagID_5_fraction,descriptive_fraction_across_15_held_row_prediction_sets,0.12387301587301587,15750,5,secondary_descriptive
P1,50,0,descriptive_predicted_TagID_6_fraction,descriptive_fraction_across_15_held_row_prediction_sets,0.15136507936507937,15750,5,secondary_descriptive
P1,50,0,descriptive_predicted_TagID_7_fraction,descriptive_fraction_across_15_held_row_prediction_sets,0.22031746031746033,15750,5,secondary_descriptive
P2,50,45,condition_block_accuracy,mean_of_five_seed_specific_metrics_pooled_over_63_blocks,0.15555555555555556,63,5,primary
P2,50,45,pooled_condition_block_macro_f1,mean_of_five_seed_specific_metrics_pooled_over_63_blocks,0.12905425630635756,63,5,secondary
P2,50,45,descriptive_15_run_row_accuracy,descriptive_mean_across_15_runs,0.15587301587301589,15,5,descriptive
P2,50,45,descriptive_15_run_row_macro_f1,descriptive_mean_across_15_runs,0.10083112651156048,15,5,descriptive
P2,50,45,descriptive_15_run_block_macro_f1,descriptive_mean_across_15_runs,0.09955285340378507,15,5,descriptive
P2,50,45,training_accuracy,descriptive_mean_across_15_runs,0.6807936507936508,15,5,descriptive
P2,50,45,validation_accuracy,descriptive_mean_across_15_runs,0.19352380952380951,15,5,descriptive
P2,50,45,train_to_held_accuracy_gap,descriptive_mean_across_15_runs,0.5249206349206349,15,5,descriptive
P2,50,45,validation_to_held_accuracy_gap,descriptive_mean_across_15_runs,0.03765079365079364,15,5,descriptive
P2,50,45,selected_epoch,descriptive_mean_across_15_runs,9.133333333333333,15,5,descriptive
P2,50,45,held_block_accuracy_run_variance,descriptive_population_variance_across_15_runs,0.005885613504661123,15,5,descriptive
P2,50,45,descriptive_predicted_TagID_1_fraction,descriptive_fraction_across_15_held_row_prediction_sets,0.10158730158730159,15750,5,secondary_descriptive
P2,50,45,descriptive_predicted_TagID_2_fraction,descriptive_fraction_across_15_held_row_prediction_sets,0.15936507936507938,15750,5,secondary_descriptive
P2,50,45,descriptive_predicted_TagID_3_fraction,descriptive_fraction_across_15_held_row_prediction_sets,0.13987301587301587,15750,5,secondary_descriptive
P2,50,45,descriptive_predicted_TagID_4_fraction,descriptive_fraction_across_15_held_row_prediction_sets,0.24133333333333334,15750,5,secondary_descriptive
P2,50,45,descriptive_predicted_TagID_5_fraction,descriptive_fraction_across_15_held_row_prediction_sets,0.13263492063492063,15750,5,secondary_descriptive
P2,50,45,descriptive_predicted_TagID_6_fraction,descriptive_fraction_across_15_held_row_prediction_sets,0.060253968253968254,15750,5,secondary_descriptive
P2,50,45,descriptive_predicted_TagID_7_fraction,descriptive_fraction_across_15_held_row_prediction_sets,0.16495238095238096,15750,5,secondary_descriptive
P3,150,0,condition_block_accuracy,mean_of_five_seed_specific_metrics_pooled_over_63_blocks,0.21587301587301588,63,5,primary
P3,150,0,pooled_condition_block_macro_f1,mean_of_five_seed_specific_metrics_pooled_over_63_blocks,0.18562574655888503,63,5,secondary
P3,150,0,descriptive_15_run_row_accuracy,descriptive_mean_across_15_runs,0.2140952380952381,15,5,descriptive
P3,150,0,descriptive_15_run_row_macro_f1,descriptive_mean_across_15_runs,0.15570543905782516,15,5,descriptive
P3,150,0,descriptive_15_run_block_macro_f1,descriptive_mean_across_15_runs,0.15652022269669327,15,5,descriptive
P3,150,0,training_accuracy,descriptive_mean_across_15_runs,0.7932380952380953,15,5,descriptive
P3,150,0,validation_accuracy,descriptive_mean_across_15_runs,0.24123809523809522,15,5,descriptive
P3,150,0,train_to_held_accuracy_gap,descriptive_mean_across_15_runs,0.5791428571428572,15,5,descriptive
P3,150,0,validation_to_held_accuracy_gap,descriptive_mean_across_15_runs,0.027142857142857142,15,5,descriptive
P3,150,0,selected_epoch,descriptive_mean_across_15_runs,13.8,15,5,descriptive
P3,150,0,held_block_accuracy_run_variance,descriptive_population_variance_across_15_runs,0.0032854623330813805,15,5,descriptive
