record_type,paired_unit_id,TagID,ER,surface,held_fold,seed,contrast,estimate,physical_block_count,primary_endpoint
paired_block_seed_contrast,pair_a5d33fae02f85179aed284d5,1,0,A1,1,42,angle_45_minus_0,0.0,1,condition_block_accuracy
paired_block_seed_contrast,pair_a5d33fae02f85179aed284d5,1,0,A1,1,42,distance_150_minus_50,0.0,1,condition_block_accuracy
paired_block_seed_contrast,pair_a5d33fae02f85179aed284d5,1,0,A1,1,42,angle_by_distance_interaction,0.0,1,condition_block_accuracy
paired_block_seed_contrast,pair_a5d33fae02f85179aed284d5,1,0,A1,1,43,angle_45_minus_0,-0.5,1,condition_block_accuracy
paired_block_seed_contrast,pair_a5d33fae02f85179aed284d5,1,0,A1,1,43,distance_150_minus_50,-0.5,1,condition_block_accuracy
paired_block_seed_contrast,pair_a5d33fae02f85179aed284d5,1,0,A1,1,43,angle_by_distance_interaction,1.0,1,condition_block_accuracy
paired_block_seed_contrast,pair_a5d33fae02f85179aed284d5,1,0,A1,1,44,angle_45_minus_0,-0.5,1,condition_block_accuracy
paired_block_seed_contrast,pair_a5d33fae02f85179aed284d5,1,0,A1,1,44,distance_150_minus_50,-0.5,1,condition_block_accuracy
paired_block_seed_contrast,pair_a5d33fae02f85179aed284d5,1,0,A1,1,44,angle_by_distance_interaction,1.0,1,condition_block_accuracy
paired_block_seed_contrast,pair_a5d33fae02f85179aed284d5,1,0,A1,1,45,angle_45_minus_0,0.0,1,condition_block_accuracy
paired_block_seed_contrast,pair_a5d33fae02f85179aed284d5,1,0,A1,1,45,distance_150_minus_50,0.0,1,condition_block_accuracy
paired_block_seed_contrast,pair_a5d33fae02f85179aed284d5,1,0,A1,1,45,angle_by_distance_interaction,0.0,1,condition_block_accuracy
paired_block_seed_contrast,pair_a5d33fae02f85179aed284d5,1,0,A1,1,46,angle_45_minus_0,-0.5,1,condition_block_accuracy
paired_block_seed_contrast,pair_a5d33fae02f85179aed284d5,1,0,A1,1,46,distance_150_minus_50,0.5,1,condition_block_accuracy
paired_block_seed_contrast,pair_a5d33fae02f85179aed284d5,1,0,A1,1,46,angle_by_distance_interaction,-1.0,1,condition_block_accuracy
paired_block_seed_contrast,pair_06f946129d85357eaab1f4a3,1,0,A2,2,42,angle_45_minus_0,-0.5,1,condition_block_accuracy
paired_block_seed_contrast,pair_06f946129d85357eaab1f4a3,1,0,A2,2,42,distance_150_minus_50,0.5,1,condition_block_accuracy
paired_block_seed_contrast,pair_06f946129d85357eaab1f4a3,1,0,A2,2,42,angle_by_distance_interaction,1.0,1,condition_block_accuracy
paired_block_seed_contrast,pair_06f946129d85357eaab1f4a3,1,0,A2,2,43,angle_45_minus_0,0.0,1,condition_block_accuracy
paired_block_seed_contrast,pair_06f946129d85357eaab1f4a3,1,0,A2,2,43,distance_150_minus_50,1.0,1,condition_block_accuracy
paired_block_seed_contrast,pair_06f946129d85357eaab1f4a3,1,0,A2,2,43,angle_by_distance_interaction,0.0,1,condition_block_accuracy
paired_block_seed_contrast,pair_06f946129d85357eaab1f4a3,1,0,A2,2,44,angle_45_minus_0,0.0,1,condition_block_accuracy
paired_block_seed_contrast,pair_06f946129d85357eaab1f4a3,1,0,A2,2,44,distance_150_minus_50,1.0,1,condition_block_accuracy
paired_block_seed_contrast,pair_06f946129d85357eaab1f4a3,1,0,A2,2,44,angle_by_distance_interaction,0.0,1,condition_block_accuracy
paired_block_seed_contrast,pair_06f946129d85357eaab1f4a3,1,0,A2,2,45,angle_45_minus_0,-0.5,1,condition_block_accuracy
paired_block_seed_contrast,pair_06f946129d85357eaab1f4a3,1,0,A2,2,45,distance_150_minus_50,0.5,1,condition_block_accuracy
paired_block_seed_contrast,pair_06f946129d85357eaab1f4a3,1,0,A2,2,45,angle_by_distance_interaction,-1.0,1,condition_block_accuracy
paired_block_seed_contrast,pair_06f946129d85357eaab1f4a3,1,0,A2,2,46,angle_45_minus_0,0.5,1,condition_block_accuracy
paired_block_seed_contrast,pair_06f946129d85357eaab1f4a3,1,0,A2,2,46,distance_150_minus_50,0.5,1,condition_block_accuracy
paired_block_seed_contrast,pair_06f946129d85357eaab1f4a3,1,0,A2,2,46,angle_by_distance_interaction,-1.0,1,condition_block_accuracy
paired_block_seed_contrast,pair_6cff4c54c31d1f172f5ebf9a,1,0,A3,3,42,angle_45_minus_0,0.5,1,condition_block_accuracy
paired_block_seed_contrast,pair_6cff4c54c31d1f172f5ebf9a,1,0,A3,3,42,distance_150_minus_50,0.5,1,condition_block_accuracy
paired_block_seed_contrast,pair_6cff4c54c31d1f172f5ebf9a,1,0,A3,3,42,angle_by_distance_interaction,1.0,1,condition_block_accuracy
paired_block_seed_contrast,pair_6cff4c54c31d1f172f5ebf9a,1,0,A3,3,43,angle_45_minus_0,0.0,1,condition_block_accuracy
paired_block_seed_contrast,pair_6cff4c54c31d1f172f5ebf9a,1,0,A3,3,43,distance_150_minus_50,0.0,1,condition_block_accuracy
paired_block_seed_contrast,pair_6cff4c54c31d1f172f5ebf9a,1,0,A3,3,43,angle_by_distance_interaction,0.0,1,condition_block_accuracy
paired_block_seed_contrast,pair_6cff4c54c31d1f172f5ebf9a,1,0,A3,3,44,angle_45_minus_0,0.0,1,condition_block_accuracy
paired_block_seed_contrast,pair_6cff4c54c31d1f172f5ebf9a,1,0,A3,3,44,distance_150_minus_50,0.0,1,condition_block_accuracy
paired_block_seed_contrast,pair_6cff4c54c31d1f172f5ebf9a,1,0,A3,3,44,angle_by_distance_interaction,0.0,1,condition_block_accuracy
