record_type,position,seed,contrast,estimate,estimand,physical_block_count
position_seed_pooled_blocks,P1,42,,0.29068507744978334,Macro-F1_from_63_pooled_condition_blocks,63
position_seed_pooled_blocks,P2,42,,0.07814034704791006,Macro-F1_from_63_pooled_condition_blocks,63
position_seed_pooled_blocks,P3,42,,0.167167473049826,Macro-F1_from_63_pooled_condition_blocks,63
position_seed_pooled_blocks,P4,42,,0.17482554482554483,Macro-F1_from_63_pooled_condition_blocks,63
seed_factor_contrast,,42,angle_45_minus_0,-0.10244332931307722,factor_contrast_of_seed_specific_pooled_block_Macro-F1,63
seed_factor_contrast,,42,distance_150_minus_50,-0.013416203311161293,factor_contrast_of_seed_specific_pooled_block_Macro-F1,63
seed_factor_contrast,,42,angle_by_distance_interaction,0.2202028021775921,factor_contrast_of_seed_specific_pooled_block_Macro-F1,63
position_seed_pooled_blocks,P1,43,,0.33658048178172023,Macro-F1_from_63_pooled_condition_blocks,63
position_seed_pooled_blocks,P2,43,,0.1957909171573768,Macro-F1_from_63_pooled_condition_blocks,63
position_seed_pooled_blocks,P3,43,,0.22163059163059162,Macro-F1_from_63_pooled_condition_blocks,63
position_seed_pooled_blocks,P4,43,,0.1435847066099167,Macro-F1_from_63_pooled_condition_blocks,63
seed_factor_contrast,,43,angle_45_minus_0,-0.10941772482250918,factor_contrast_of_seed_specific_pooled_block_Macro-F1,63
seed_factor_contrast,,43,distance_150_minus_50,-0.08357805034929434,factor_contrast_of_seed_specific_pooled_block_Macro-F1,63
seed_factor_contrast,,43,angle_by_distance_interaction,0.06274367960366853,factor_contrast_of_seed_specific_pooled_block_Macro-F1,63
position_seed_pooled_blocks,P1,44,,0.31453823953823956,Macro-F1_from_63_pooled_condition_blocks,63
position_seed_pooled_blocks,P2,44,,0.1094905094905095,Macro-F1_from_63_pooled_condition_blocks,63
position_seed_pooled_blocks,P3,44,,0.21833824438866456,Macro-F1_from_63_pooled_condition_blocks,63
position_seed_pooled_blocks,P4,44,,0.134662413609782,Macro-F1_from_63_pooled_condition_blocks,63
seed_factor_contrast,,44,angle_45_minus_0,-0.14436178041330633,factor_contrast_of_seed_specific_pooled_block_Macro-F1,63
seed_factor_contrast,,44,distance_150_minus_50,-0.03551404551515124,factor_contrast_of_seed_specific_pooled_block_Macro-F1,63
seed_factor_contrast,,44,angle_by_distance_interaction,0.12137189926884753,factor_contrast_of_seed_specific_pooled_block_Macro-F1,63
position_seed_pooled_blocks,P1,45,,0.23739752311180884,Macro-F1_from_63_pooled_condition_blocks,63
position_seed_pooled_blocks,P2,45,,0.14184873949579832,Macro-F1_from_63_pooled_condition_blocks,63
position_seed_pooled_blocks,P3,45,,0.10871794871794872,Macro-F1_from_63_pooled_condition_blocks,63
position_seed_pooled_blocks,P4,45,,0.06918634378588612,Macro-F1_from_63_pooled_condition_blocks,63
seed_factor_contrast,,45,angle_45_minus_0,-0.06754019427403657,factor_contrast_of_seed_specific_pooled_block_Macro-F1,63
seed_factor_contrast,,45,distance_150_minus_50,-0.10067098505188617,factor_contrast_of_seed_specific_pooled_block_Macro-F1,63
seed_factor_contrast,,45,angle_by_distance_interaction,0.05601717868394791,factor_contrast_of_seed_specific_pooled_block_Macro-F1,63
position_seed_pooled_blocks,P1,46,,0.3033785763109071,Macro-F1_from_63_pooled_condition_blocks,63
position_seed_pooled_blocks,P2,46,,0.1200007683401931,Macro-F1_from_63_pooled_condition_blocks,63
position_seed_pooled_blocks,P3,46,,0.21227447500739424,Macro-F1_from_63_pooled_condition_blocks,63
position_seed_pooled_blocks,P4,46,,0.14987718164188754,Macro-F1_from_63_pooled_condition_blocks,63
seed_factor_contrast,,46,angle_45_minus_0,-0.12288755066811034,factor_contrast_of_seed_specific_pooled_block_Macro-F1,63
seed_factor_contrast,,46,distance_150_minus_50,-0.030613844000909204,factor_contrast_of_seed_specific_pooled_block_Macro-F1,63
seed_factor_contrast,,46,angle_by_distance_interaction,0.12098051460520728,factor_contrast_of_seed_specific_pooled_block_Macro-F1,63
position_pooled_estimand,P1,all_five,,0.2965159796384918,mean_of_five_seed_specific_Macro-F1_values_from_63_pooled_blocks,63
position_pooled_estimand,P2,all_five,,0.12905425630635756,mean_of_five_seed_specific_Macro-F1_values_from_63_pooled_blocks,63
position_pooled_estimand,P3,all_five,,0.18562574655888503,mean_of_five_seed_specific_Macro-F1_values_from_63_pooled_blocks,63
position_pooled_estimand,P4,all_five,,0.13442723809460344,mean_of_five_seed_specific_Macro-F1_values_from_63_pooled_blocks,63
overall_factor_contrast,,all_five,angle_45_minus_0,-0.10933011589820792,factor_contrast_of_mean_seed_specific_pooled_block_Macro-F1,63
overall_factor_contrast,,all_five,distance_150_minus_50,-0.05275862564568044,factor_contrast_of_mean_seed_specific_pooled_block_Macro-F1,63
overall_factor_contrast,,all_five,angle_by_distance_interaction,0.11626321486785265,factor_contrast_of_mean_seed_specific_pooled_block_Macro-F1,63
descriptive_15_run_position_mean,P1,fold_seed_runs,,0.25425204425204423,descriptive_mean_of_15_fold_level_run_Macro-F1_values_not_the_pooled_estimand,21
descriptive_15_run_position_mean,P2,fold_seed_runs,,0.09955285340378507,descriptive_mean_of_15_fold_level_run_Macro-F1_values_not_the_pooled_estimand,21
descriptive_15_run_position_mean,P3,fold_seed_runs,,0.15652022269669327,descriptive_mean_of_15_fold_level_run_Macro-F1_values_not_the_pooled_estimand,21
descriptive_15_run_position_mean,P4,fold_seed_runs,,0.09614121328407044,descriptive_mean_of_15_fold_level_run_Macro-F1_values_not_the_pooled_estimand,21
