position,fold,seed,evaluation_level,true_class_index,true_TagID,predicted_0,predicted_1,predicted_2,predicted_3,predicted_4,predicted_5,predicted_6
P1,1,42,row,0,1,0,0,0,0,50,0,100
P1,1,42,row,1,2,0,6,49,0,44,50,1
P1,1,42,row,2,3,0,47,0,0,3,0,100
P1,1,42,row,3,4,0,0,0,0,100,50,0
P1,1,42,row,4,5,0,0,0,0,100,50,0
P1,1,42,row,5,6,0,0,0,0,0,50,100
P1,1,42,row,6,7,0,0,0,0,0,50,100
P1,1,42,condition_block,0,1,0,0,0,0,1,0,2
P1,1,42,condition_block,1,2,0,0,1,0,1,1,0
P1,1,42,condition_block,2,3,0,1,0,0,0,0,2
P1,1,42,condition_block,3,4,0,0,0,0,2,1,0
P1,1,42,condition_block,4,5,0,0,0,0,2,1,0
P1,1,42,condition_block,5,6,0,0,0,0,0,1,2
P1,1,42,condition_block,6,7,0,0,0,0,0,1,2
P1,1,43,row,0,1,149,0,0,0,1,0,0
P1,1,43,row,1,2,0,0,106,0,44,0,0
P1,1,43,row,2,3,0,0,150,0,0,0,0
P1,1,43,row,3,4,1,0,50,0,99,0,0
P1,1,43,row,4,5,97,0,3,0,50,0,0
P1,1,43,row,5,6,50,0,100,0,0,0,0
P1,1,43,row,6,7,0,0,150,0,0,0,0
P1,1,43,condition_block,0,1,3,0,0,0,0,0,0
P1,1,43,condition_block,1,2,0,0,2,0,1,0,0
P1,1,43,condition_block,2,3,0,0,3,0,0,0,0
P1,1,43,condition_block,3,4,0,0,1,0,2,0,0
P1,1,43,condition_block,4,5,2,0,0,0,1,0,0
P1,1,43,condition_block,5,6,1,0,2,0,0,0,0
P1,1,43,condition_block,6,7,0,0,3,0,0,0,0
P1,1,44,row,0,1,46,0,0,54,0,0,50
P1,1,44,row,1,2,0,6,50,44,0,50,0
P1,1,44,row,2,3,0,0,0,50,0,50,50
P1,1,44,row,3,4,0,0,0,100,0,50,0
P1,1,44,row,4,5,0,0,0,50,50,50,0
P1,1,44,row,5,6,0,0,0,50,0,50,50
P1,1,44,row,6,7,0,0,0,0,0,50,100
P1,1,44,condition_block,0,1,1,0,0,1,0,0,1
P1,1,44,condition_block,1,2,0,0,1,0,1,1,0
P1,1,44,condition_block,2,3,0,0,0,1,0,1,1
P1,1,44,condition_block,3,4,0,0,0,2,0,1,0
P1,1,44,condition_block,4,5,0,0,0,1,1,1,0
P1,1,44,condition_block,5,6,0,0,0,1,0,1,1
