position,fold,seed,evaluation_level,class_index,TagID,precision,recall,f1,support
P1,1,42,row,0,1,0.0,0.0,0.0,150
P1,1,42,row,1,2,0.11320754716981132,0.04,0.059113300492610835,150
P1,1,42,row,2,3,0.0,0.0,0.0,150
P1,1,42,row,3,4,0.0,0.0,0.0,150
P1,1,42,row,4,5,0.3367003367003367,0.6666666666666666,0.44742729306487694,150
P1,1,42,row,5,6,0.2,0.3333333333333333,0.25,150
P1,1,42,row,6,7,0.24937655860349128,0.6666666666666666,0.3629764065335753,150
P1,1,42,condition_block,0,1,0.0,0.0,0.0,3
P1,1,42,condition_block,1,2,0.0,0.0,0.0,3
P1,1,42,condition_block,2,3,0.0,0.0,0.0,3
P1,1,42,condition_block,3,4,0.0,0.0,0.0,3
P1,1,42,condition_block,4,5,0.3333333333333333,0.6666666666666666,0.4444444444444444,3
P1,1,42,condition_block,5,6,0.2,0.3333333333333333,0.25,3
P1,1,42,condition_block,6,7,0.25,0.6666666666666666,0.36363636363636365,3
P1,1,43,row,0,1,0.5016835016835017,0.9933333333333333,0.6666666666666666,150
P1,1,43,row,1,2,0.0,0.0,0.0,150
P1,1,43,row,2,3,0.26833631484794274,1.0,0.4231311706629055,150
P1,1,43,row,3,4,0.0,0.0,0.0,150
P1,1,43,row,4,5,0.25773195876288657,0.3333333333333333,0.29069767441860467,150
P1,1,43,row,5,6,0.0,0.0,0.0,150
P1,1,43,row,6,7,0.0,0.0,0.0,150
P1,1,43,condition_block,0,1,0.5,1.0,0.6666666666666666,3
P1,1,43,condition_block,1,2,0.0,0.0,0.0,3
P1,1,43,condition_block,2,3,0.2727272727272727,1.0,0.42857142857142855,3
P1,1,43,condition_block,3,4,0.0,0.0,0.0,3
P1,1,43,condition_block,4,5,0.25,0.3333333333333333,0.2857142857142857,3
P1,1,43,condition_block,5,6,0.0,0.0,0.0,3
P1,1,43,condition_block,6,7,0.0,0.0,0.0,3
P1,1,44,row,0,1,1.0,0.30666666666666664,0.46938775510204084,150
P1,1,44,row,1,2,1.0,0.04,0.07692307692307693,150
P1,1,44,row,2,3,0.0,0.0,0.0,150
P1,1,44,row,3,4,0.28735632183908044,0.6666666666666666,0.40160642570281124,150
P1,1,44,row,4,5,1.0,0.3333333333333333,0.5,150
P1,1,44,row,5,6,0.16666666666666666,0.3333333333333333,0.2222222222222222,150
P1,1,44,row,6,7,0.4,0.6666666666666666,0.5,150
P1,1,44,condition_block,0,1,1.0,0.3333333333333333,0.5,3
P1,1,44,condition_block,1,2,0.0,0.0,0.0,3
P1,1,44,condition_block,2,3,0.0,0.0,0.0,3
P1,1,44,condition_block,3,4,0.3333333333333333,0.6666666666666666,0.4444444444444444,3
P1,1,44,condition_block,4,5,0.5,0.3333333333333333,0.4,3
P1,1,44,condition_block,5,6,0.16666666666666666,0.3333333333333333,0.2222222222222222,3
P1,1,44,condition_block,6,7,0.4,0.6666666666666666,0.5,3
P1,1,45,row,0,1,0.0,0.0,0.0,150
P1,1,45,row,1,2,0.0,0.0,0.0,150
P1,1,45,row,2,3,0.0,0.0,0.0,150
P1,1,45,row,3,4,0.5,0.6666666666666666,0.5714285714285714,150
P1,1,45,row,4,5,0.0,0.0,0.0,150
P1,1,45,row,5,6,0.2222222222222222,0.6666666666666666,0.3333333333333333,150
P1,1,45,row,6,7,0.2857142857142857,0.6666666666666666,0.4,150
P1,1,45,condition_block,0,1,0.0,0.0,0.0,3
P1,1,45,condition_block,1,2,0.0,0.0,0.0,3
P1,1,45,condition_block,2,3,0.0,0.0,0.0,3
P1,1,45,condition_block,3,4,0.5,0.6666666666666666,0.5714285714285714,3
P1,1,45,condition_block,4,5,0.0,0.0,0.0,3
P1,1,45,condition_block,5,6,0.2222222222222222,0.6666666666666666,0.3333333333333333,3
P1,1,45,condition_block,6,7,0.2857142857142857,0.6666666666666666,0.4,3
P1,1,46,row,0,1,0.0,0.0,0.0,150
P1,1,46,row,1,2,0.10714285714285714,0.04,0.05825242718446602,150
