run_id,position,fold,seed,method_id,status,started_at_utc,completed_at_utc,duration_seconds,protocol_sha256,split_sha256,source_data_fingerprint,selected_epoch,checkpoint_verified_before_held,held_evaluation_count,model_updates_after_held,synchronized_case,hyperparameter_tuning
P1_F1_S42,P1,1,42,C1_FIRST_DIFFERENCE_ERM_1DCNN,PASS,not_retained_after_completed_case_b_audit_stop,not_retained_after_completed_case_b_audit_stop,not_retained_after_completed_case_b_audit_stop,f755df7e5016361da8d96fed5c9f91fd0d36b928c6ae84b46dc9897dc9ccca7c,c69e0a3fb3663da0f5f549b98ab73a10643159821adfa86ec35b5627ee02099e,f23f59efc334c577aa0621a72d1684bf804821432996a807b0067e06b4105ecd,6,True,1,0,B,False
P1_F1_S43,P1,1,43,C1_FIRST_DIFFERENCE_ERM_1DCNN,PASS,not_retained_after_completed_case_b_audit_stop,not_retained_after_completed_case_b_audit_stop,not_retained_after_completed_case_b_audit_stop,f755df7e5016361da8d96fed5c9f91fd0d36b928c6ae84b46dc9897dc9ccca7c,18b3ed5b60588846cd87a7e0fd5706e1f1b3e58bb0bd81f45b8c86a67af25627,f23f59efc334c577aa0621a72d1684bf804821432996a807b0067e06b4105ecd,5,True,1,0,B,False
P1_F1_S44,P1,1,44,C1_FIRST_DIFFERENCE_ERM_1DCNN,PASS,not_retained_after_completed_case_b_audit_stop,not_retained_after_completed_case_b_audit_stop,not_retained_after_completed_case_b_audit_stop,f755df7e5016361da8d96fed5c9f91fd0d36b928c6ae84b46dc9897dc9ccca7c,11159716d660ea0dde0fe1ee25899d6c7593d95f5d67197a01bac453b751c891,f23f59efc334c577aa0621a72d1684bf804821432996a807b0067e06b4105ecd,15,True,1,0,B,False
P1_F1_S45,P1,1,45,C1_FIRST_DIFFERENCE_ERM_1DCNN,PASS,not_retained_after_completed_case_b_audit_stop,not_retained_after_completed_case_b_audit_stop,not_retained_after_completed_case_b_audit_stop,f755df7e5016361da8d96fed5c9f91fd0d36b928c6ae84b46dc9897dc9ccca7c,8a3cfb875a78504816c4edd2e11db992271ac5ff5131ed0a2668b9a645bd4e97,f23f59efc334c577aa0621a72d1684bf804821432996a807b0067e06b4105ecd,11,True,1,0,B,False
P1_F1_S46,P1,1,46,C1_FIRST_DIFFERENCE_ERM_1DCNN,PASS,not_retained_after_completed_case_b_audit_stop,not_retained_after_completed_case_b_audit_stop,not_retained_after_completed_case_b_audit_stop,f755df7e5016361da8d96fed5c9f91fd0d36b928c6ae84b46dc9897dc9ccca7c,d31b74e4c4b77c840f79a28706aae315f096f1334858d86484150c8b71b81280,f23f59efc334c577aa0621a72d1684bf804821432996a807b0067e06b4105ecd,28,True,1,0,B,False
P1_F2_S42,P1,2,42,C1_FIRST_DIFFERENCE_ERM_1DCNN,PASS,not_retained_after_completed_case_b_audit_stop,not_retained_after_completed_case_b_audit_stop,not_retained_after_completed_case_b_audit_stop,f755df7e5016361da8d96fed5c9f91fd0d36b928c6ae84b46dc9897dc9ccca7c,7fa3fbc630c21544fc3a8a6e0a81c352d222dc2804eb3bb865fe94e6ecc1ada0,f23f59efc334c577aa0621a72d1684bf804821432996a807b0067e06b4105ecd,6,True,1,0,B,False
P1_F2_S43,P1,2,43,C1_FIRST_DIFFERENCE_ERM_1DCNN,PASS,not_retained_after_completed_case_b_audit_stop,not_retained_after_completed_case_b_audit_stop,not_retained_after_completed_case_b_audit_stop,f755df7e5016361da8d96fed5c9f91fd0d36b928c6ae84b46dc9897dc9ccca7c,54a91bcee9d77a0fdf638622a7ca6ce406440d1a72e20b506072434f194dfda4,f23f59efc334c577aa0621a72d1684bf804821432996a807b0067e06b4105ecd,10,True,1,0,B,False
P1_F2_S44,P1,2,44,C1_FIRST_DIFFERENCE_ERM_1DCNN,PASS,not_retained_after_completed_case_b_audit_stop,not_retained_after_completed_case_b_audit_stop,not_retained_after_completed_case_b_audit_stop,f755df7e5016361da8d96fed5c9f91fd0d36b928c6ae84b46dc9897dc9ccca7c,bd7a48cafed76823517e9d37d652d03b4c09dea5a8170f142b0add708451ff97,f23f59efc334c577aa0621a72d1684bf804821432996a807b0067e06b4105ecd,10,True,1,0,B,False
P1_F2_S45,P1,2,45,C1_FIRST_DIFFERENCE_ERM_1DCNN,PASS,not_retained_after_completed_case_b_audit_stop,not_retained_after_completed_case_b_audit_stop,not_retained_after_completed_case_b_audit_stop,f755df7e5016361da8d96fed5c9f91fd0d36b928c6ae84b46dc9897dc9ccca7c,f5ee7115d5944bb64bbdcef8e9b14ad750071e85890f8b3087efc1ab7644ef5a,f23f59efc334c577aa0621a72d1684bf804821432996a807b0067e06b4105ecd,11,True,1,0,B,False
P1_F2_S46,P1,2,46,C1_FIRST_DIFFERENCE_ERM_1DCNN,PASS,not_retained_after_completed_case_b_audit_stop,not_retained_after_completed_case_b_audit_stop,not_retained_after_completed_case_b_audit_stop,f755df7e5016361da8d96fed5c9f91fd0d36b928c6ae84b46dc9897dc9ccca7c,7dfb18ce5dd93441886bc1d563d26a3759e816f41e4071c7608c79be10ddb704,f23f59efc334c577aa0621a72d1684bf804821432996a807b0067e06b4105ecd,6,True,1,0,B,False
