method,lambda_max,fold,held_position,seed,selected_epoch,epochs_executed,model_state_sha256,p4_used
ERM,0.0,S1,P1,42,15,23,779d1d58d7de6ae3a75b7b72fd329b19c5995b361311fa416141377fad4ca028,False
ERM,0.0,S1,P1,43,5,13,561e952b90334996c7aef72714bbf604efd06deccf519263899716ad604add63,False
ERM,0.0,S1,P1,44,14,22,0f2e7316afce5c7294a58f90728f7d26863b81ac11d8e3e04930ed8f8dee1e9c,False
ERM,0.0,S1,P1,45,2,10,c49f1ed19a5fbaa03aa6ccb8c0b1fb1902ab61610d0d49dfe001da53eeed1f49,False
ERM,0.0,S1,P1,46,2,10,2ec77eb3f75371696809de4c06163daafe6d90ad5d5dcee7cadaea8d24261785,False
ERM,0.0,S2,P2,42,6,14,7c05c61ce037df5295e1382dcf536696ad2d97d9ef5fbaf783bc5bb6f075986a,False
ERM,0.0,S2,P2,43,14,22,f7ddd8764931c8e28c9764d10d505e1b8f22656738d0ffd1a43d194062e71384,False
ERM,0.0,S2,P2,44,8,16,f13d8018c19cffee4bffd7a27895793f8873ad034f19cb27c932ab138006df62,False
ERM,0.0,S2,P2,45,14,22,cad1a9e50b3d3cdc9dde06c016ad4c24ca09d1e459f94dd7184039bad16c5c07,False
ERM,0.0,S2,P2,46,7,15,c71b9b930b9eab55d664b431935518f3dc02972d0abff42e6fe4b33c89ba6d52,False
ERM,0.0,S3,P3,42,6,14,0e52e6da807f81bd629d2f132ecc7ba5ff14e39002019f927321b822051b114b,False
ERM,0.0,S3,P3,43,11,19,25b3381cc078aca1881e8492091caf511826991ea4a1fce8e62cf92fb1acc932,False
ERM,0.0,S3,P3,44,3,11,d120da7241bee9f558f7b3709f97e0dbb1317be2ecbc556c209934a6e1baa018,False
ERM,0.0,S3,P3,45,2,10,5ae79ce754a842972fdb2542f9d96f77919d45a0867ae53548322bee402b3530,False
ERM,0.0,S3,P3,46,7,15,209bf9cbdb9e87549739e318c36bd06829f89cd6f4c885155683c045efc1218c,False
DANN,0.03,S1,P1,42,6,14,2fe85e05f1f0af64e99eda0a000a6dbc8918672738edf99b28ecc18102bbd941,False
DANN,0.03,S1,P1,43,10,18,91da030e5dd4904a126793c83c22ad2033569a11040a65d49f5341208ac7e6de,False
DANN,0.03,S1,P1,44,9,17,3dd5cf6cf01f49f981dfe5e234171170e2b2b88a52019a2ae104c088ac471ca1,False
DANN,0.03,S1,P1,45,10,18,d830fc89c623ef6f734ff3c7ec2d650a0614c86fc97c29680c86f22a0d4c62bd,False
DANN,0.03,S1,P1,46,2,10,d9e161762698d77bedb0a2235f55d6bd7dd7ba0ee716c6683d311aef56a67490,False
DANN,0.03,S2,P2,42,5,13,aa2c2a40ddb6a15122626887a0ca2d25a3ffc5efc9e19bab62354abd67fa0f40,False
DANN,0.03,S2,P2,43,7,15,cc847005d524913bf717703b3200139b02af95476fdb3acd219c0357051b0f19,False
DANN,0.03,S2,P2,44,20,28,00ac90d98a919aa4bbd072b2fbcf06fcc18dd36ab679ee792648458a071d2fbf,False
DANN,0.03,S2,P2,45,7,15,2f89944bdba47fa29bb1820a0f13fee562ce23cd7cda1f8cc9b688973075b911,False
DANN,0.03,S2,P2,46,6,14,9db257467b1009719a0b52e176bd776cf16f0d2075832e793a3a6119db818ce7,False
DANN,0.03,S3,P3,42,6,14,98fc06f34ed7e11be9b9c36c09c6a0081d6725eeb229582a34b04264e22c964c,False
DANN,0.03,S3,P3,43,4,12,6cdcb3c3c4e974dc92051b20043a7becdf709f497b5ca2c8f0307f1ef53f8ddd,False
DANN,0.03,S3,P3,44,2,10,516e55b1d015e43227015c418a48a334c6c294b5944f7a8b89af07b704eb2fd7,False
DANN,0.03,S3,P3,45,2,10,54a42f41bed6234ff127fdd7d3fd6112bf9631568d04e72b73f158f7f2c41d08,False
DANN,0.03,S3,P3,46,15,23,905c1884db0e9274a6de9f135a6f4b4a213a8c4f77d9f3b7108af582f133dff4,False
DANN,0.1,S1,P1,42,6,14,f0e92d52e86163ab758a753d1584caaa43716debf1741f1b911e0d73d966cc36,False
DANN,0.1,S1,P1,43,16,24,61f02734118699a5935af36704ea5d023837927377686aba18baf5bbb2d64ab2,False
DANN,0.1,S1,P1,44,17,25,f2cb7c47db7a450afd300521f6eaccc1fa7cbe0142cdc4197908b23351eee343,False
DANN,0.1,S1,P1,45,8,16,42e2f9ff6996be98f6f34fe230a5737a205fe1cdc176e77f93be45151ea1356d,False
DANN,0.1,S1,P1,46,2,10,0fdb68bfd4f76d1639f4afc4e33b75995f4b52c544b3b9ea17e4c1c698cc843f,False
DANN,0.1,S2,P2,42,13,21,930ada9e14b7ccbc30ec5f419e050a6e6a811100d973443627bc6cfc833b60ac,False
DANN,0.1,S2,P2,43,10,18,86d7b4c8f7cf3e066f674b4c288f8ec1dcd017d72ab22ed9f2e352a2f3158746,False
DANN,0.1,S2,P2,44,8,16,3f27a22a6b982ed656918ef98c4537cf3911b018f5e3c7ecfe2977298033fc80,False
DANN,0.1,S2,P2,45,14,22,fb9602114bd959eacba321b75b37161b52032d97c8805606b6ff6df94a9849f9,False
DANN,0.1,S2,P2,46,7,15,a196ee298b2a70aeb1e02500bed81d85ad9adf7bef91f9ddee879a28d1b56ab0,False
DANN,0.1,S3,P3,42,11,19,3a222052ce58120eb45df6f272ebace95079811f772d6cee63ce409d67cd3a6d,False
DANN,0.1,S3,P3,43,14,22,5958b7cef9b387a3fb93ab97252a10f3e92bf06029588e63c345d702df763faf,False
DANN,0.1,S3,P3,44,8,16,bc3407ce529386aff3979dea78c159e0f13b4b49ee4b5e0139cad3373927e23e,False
DANN,0.1,S3,P3,45,2,10,a7602a67e09020bd268ffd078eb40a7083815eb6ffbe8a4415ca2af240384880,False
DANN,0.1,S3,P3,46,6,14,745d051cd8fc7ead23afe5311f8fb58cd9f264648acd8f74fb43237050b50581,False
DANN,0.3,S1,P1,42,15,23,3a88aee99ee1b712f09793d9c6ae8f89369d8420b890bc963771aeadb6af45b5,False
