method,lambda_max,fold,held_position,seed,row_macro_f1,row_accuracy,block_macro_f1,block_accuracy
ERM,0.0,S1,P1,42,0.13381828384221048,0.1895238095238095,0.13406943805190058,0.19047619047619047
ERM,0.0,S1,P1,43,0.15728439429887123,0.23555555555555555,0.15957854406130267,0.23809523809523808
ERM,0.0,S1,P1,44,0.18162376824765086,0.23587301587301587,0.18339438339438338,0.23809523809523808
ERM,0.0,S1,P1,45,0.21375998363179424,0.25333333333333335,0.21331775953624696,0.25396825396825395
ERM,0.0,S1,P1,46,0.08435791878514964,0.17238095238095238,0.08596611721611722,0.1746031746031746
ERM,0.0,S2,P2,42,0.14064688296914235,0.14317460317460318,0.14024060074480243,0.14285714285714285
ERM,0.0,S2,P2,43,0.1857109693557413,0.18761904761904763,0.1888053467000835,0.19047619047619047
ERM,0.0,S2,P2,44,0.1458115796475963,0.18095238095238095,0.1398496240601504,0.1746031746031746
ERM,0.0,S2,P2,45,0.1324698058951615,0.17555555555555555,0.1310934129749461,0.1746031746031746
ERM,0.0,S2,P2,46,0.09212195536016379,0.1438095238095238,0.09000523286237572,0.14285714285714285
ERM,0.0,S3,P3,42,0.1271608190705297,0.19142857142857142,0.14007690032534753,0.20634920634920634
ERM,0.0,S3,P3,43,0.1110040677739598,0.20126984126984127,0.11281321807637598,0.20634920634920634
ERM,0.0,S3,P3,44,0.132048490703535,0.24761904761904763,0.13436607339046364,0.25396825396825395
ERM,0.0,S3,P3,45,0.12028626062018367,0.2253968253968254,0.12953813104189044,0.23809523809523808
ERM,0.0,S3,P3,46,0.18371943513169325,0.21079365079365078,0.19280815092835554,0.2222222222222222
DANN,0.03,S1,P1,42,0.12519934037453728,0.2126984126984127,0.12219717499220605,0.20634920634920634
DANN,0.03,S1,P1,43,0.18502518140789873,0.23555555555555555,0.18583083583083582,0.23809523809523808
DANN,0.03,S1,P1,44,0.16455759177837462,0.22158730158730158,0.1645909645909646,0.2222222222222222
DANN,0.03,S1,P1,45,0.0459060510041096,0.14126984126984127,0.04591836734693878,0.14285714285714285
DANN,0.03,S1,P1,46,0.08219272580356175,0.17174603174603176,0.0831802077703717,0.1746031746031746
DANN,0.03,S2,P2,42,0.18886806576516554,0.21904761904761905,0.19236239950525663,0.2222222222222222
DANN,0.03,S2,P2,43,0.1329000620209139,0.15777777777777777,0.1331216931216931,0.15873015873015872
DANN,0.03,S2,P2,44,0.14167028807213117,0.16063492063492063,0.13915064568422103,0.15873015873015872
DANN,0.03,S2,P2,45,0.15956727467818357,0.20666666666666667,0.15581898721433604,0.20634920634920634
DANN,0.03,S2,P2,46,0.14179577590019127,0.1746031746031746,0.1415432393693263,0.1746031746031746
DANN,0.03,S3,P3,42,0.12532260065202414,0.18634920634920635,0.12613084589828777,0.19047619047619047
DANN,0.03,S3,P3,43,0.13474003060950376,0.22095238095238096,0.13690476190476192,0.2222222222222222
DANN,0.03,S3,P3,44,0.11724528243094408,0.1949206349206349,0.12267138434321098,0.20634920634920634
DANN,0.03,S3,P3,45,0.12244614120977257,0.22920634920634922,0.13021459998204185,0.23809523809523808
DANN,0.03,S3,P3,46,0.15831153987015253,0.16476190476190475,0.16644442392341552,0.1746031746031746
DANN,0.1,S1,P1,42,0.08072575435275671,0.14444444444444443,0.07920310981535471,0.14285714285714285
DANN,0.1,S1,P1,43,0.19057082863938377,0.23714285714285716,0.1908513166031963,0.23809523809523808
DANN,0.1,S1,P1,44,0.15941686988931855,0.1892063492063492,0.16053921568627452,0.19047619047619047
DANN,0.1,S1,P1,45,0.16181185173217413,0.22158730158730158,0.1613941613941614,0.2222222222222222
DANN,0.1,S1,P1,46,0.08325754544241938,0.17174603174603176,0.08433179723502304,0.1746031746031746
DANN,0.1,S2,P2,42,0.20735888357801305,0.20253968253968255,0.21063194508572664,0.20634920634920634
DANN,0.1,S2,P2,43,0.143926405481099,0.1438095238095238,0.14345388505052373,0.14285714285714285
DANN,0.1,S2,P2,44,0.16537853546925602,0.17174603174603176,0.16805601666503925,0.1746031746031746
DANN,0.1,S2,P2,45,0.16505821430393125,0.1746031746031746,0.16437224947725335,0.1746031746031746
DANN,0.1,S2,P2,46,0.10343519906653732,0.16031746031746033,0.10086405529953917,0.15873015873015872
DANN,0.1,S3,P3,42,0.16439045302267594,0.21746031746031746,0.1671055518981786,0.2222222222222222
DANN,0.1,S3,P3,43,0.0814977670620226,0.15142857142857144,0.08435374149659862,0.15873015873015872
DANN,0.1,S3,P3,44,0.06284102906087348,0.11777777777777777,0.06505393919581563,0.12698412698412698
DANN,0.1,S3,P3,45,0.12203479881775528,0.22920634920634922,0.12953813104189044,0.23809523809523808
DANN,0.1,S3,P3,46,0.1556377636404618,0.21523809523809523,0.16070312182844154,0.2222222222222222
DANN,0.3,S1,P1,42,0.1334362380785146,0.19111111111111112,0.13232771369417334,0.19047619047619047
DANN,0.3,S1,P1,43,0.19623895072538197,0.2365079365079365,0.1976555657227926,0.23809523809523808
DANN,0.3,S1,P1,44,0.1836501130113327,0.21873015873015872,0.18666859456333143,0.2222222222222222
DANN,0.3,S1,P1,45,0.15702819777319763,0.21936507936507937,0.15895691609977325,0.2222222222222222
DANN,0.3,S1,P1,46,0.1536503032167477,0.21904761904761905,0.15600738059754454,0.2222222222222222
DANN,0.3,S2,P2,42,0.15788359736918675,0.19047619047619047,0.15842823842823844,0.19047619047619047
DANN,0.3,S2,P2,43,0.14288690068182147,0.1568253968253968,0.14503211074639646,0.15873015873015872
DANN,0.3,S2,P2,44,0.04138121292933008,0.14285714285714285,0.041474654377880185,0.14285714285714285
DANN,0.3,S2,P2,45,0.1341134024511208,0.17523809523809525,0.1339658403611892,0.1746031746031746
DANN,0.3,S2,P2,46,0.21404298084395162,0.2361904761904762,0.2156647274294333,0.23809523809523808
DANN,0.3,S3,P3,42,0.20357788847587738,0.2923809523809524,0.2106045644064077,0.30158730158730157
DANN,0.3,S3,P3,43,0.10699448356521464,0.19047619047619047,0.11428571428571428,0.20634920634920634
DANN,0.3,S3,P3,44,0.14579534241633232,0.22634920634920636,0.15143269428983716,0.23809523809523808
DANN,0.3,S3,P3,45,0.14397863199095864,0.19523809523809524,0.15364379865658637,0.20634920634920634
DANN,0.3,S3,P3,46,0.11812833397503832,0.15142857142857144,0.10932214783146461,0.14285714285714285
DANN,1.0,S1,P1,42,0.1598762404051793,0.23555555555555555,0.16211958467597562,0.23809523809523808
DANN,1.0,S1,P1,43,0.17238799616728157,0.23746031746031745,0.17252747252747253,0.23809523809523808
DANN,1.0,S1,P1,44,0.10133451716488838,0.18793650793650793,0.10324675324675324,0.19047619047619047
DANN,1.0,S1,P1,45,0.22259239765962796,0.28476190476190477,0.2232825145868624,0.2857142857142857
DANN,1.0,S1,P1,46,0.13481251846282666,0.22317460317460316,0.1332627390578873,0.2222222222222222
DANN,1.0,S2,P2,42,0.1006394399251542,0.17492063492063492,0.10039682539682539,0.1746031746031746
DANN,1.0,S2,P2,43,0.14292901490322077,0.2038095238095238,0.14520764827670196,0.20634920634920634
DANN,1.0,S2,P2,44,0.15435354013862954,0.20761904761904762,0.15340745024955552,0.20634920634920634
DANN,1.0,S2,P2,45,0.17175157959358853,0.20666666666666667,0.17026764085587615,0.20634920634920634
DANN,1.0,S2,P2,46,0.13938831120299194,0.2123809523809524,0.13635253635253636,0.20634920634920634
DANN,1.0,S3,P3,42,0.08100063788796275,0.16952380952380952,0.0889289814662949,0.1746031746031746
DANN,1.0,S3,P3,43,0.13046062783484852,0.20222222222222222,0.13405668665135706,0.20634920634920634
DANN,1.0,S3,P3,44,0.13248566018617788,0.2222222222222222,0.1341816078658184,0.2222222222222222
DANN,1.0,S3,P3,45,0.08352543290145016,0.1726984126984127,0.0859857355758995,0.1746031746031746
DANN,1.0,S3,P3,46,0.062151180473144704,0.15777777777777777,0.06324110671936758,0.15873015873015872
