method,lambda_max,fold,seed,balanced_accuracy,macro_f1,chance_balanced_accuracy,independent_of_domain_head
ERM,0.0,S1,42,0.9142857142857143,0.914009324009324,0.5,True
ERM,0.0,S1,43,0.976190476190476,0.9761769710720362,0.5,True
ERM,0.0,S1,44,0.8904761904761905,0.8903923850775808,0.5,True
ERM,0.0,S1,45,0.9476190476190476,0.9475243644614035,0.5,True
ERM,0.0,S1,46,0.919047619047619,0.9189367297478472,0.5,True
ERM,0.0,S2,42,1.0,1.0,0.5,True
ERM,0.0,S2,43,1.0,1.0,0.5,True
ERM,0.0,S2,44,0.9714285714285713,0.9713961223121744,0.5,True
ERM,0.0,S2,45,1.0,1.0,0.5,True
ERM,0.0,S2,46,0.980952380952381,0.9809415768576291,0.5,True
ERM,0.0,S3,42,0.8238095238095238,0.823024595541758,0.5,True
ERM,0.0,S3,43,0.8238095238095238,0.8237528023120764,0.5,True
ERM,0.0,S3,44,0.8619047619047621,0.8616964515915168,0.5,True
ERM,0.0,S3,45,0.8333333333333334,0.8328593628593628,0.5,True
ERM,0.0,S3,46,0.8523809523809524,0.8521023049553962,0.5,True
DANN,0.03,S1,42,0.9428571428571428,0.9428409367150149,0.5,True
DANN,0.03,S1,43,0.9476190476190476,0.9474592074592074,0.5,True
DANN,0.03,S1,44,0.9476190476190476,0.9475243644614035,0.5,True
DANN,0.03,S1,45,0.8952380952380953,0.8946946315825034,0.5,True
DANN,0.03,S1,46,0.9238095238095239,0.9237338214819781,0.5,True
DANN,0.03,S2,42,1.0,1.0,0.5,True
DANN,0.03,S2,43,0.976190476190476,0.9761769710720362,0.5,True
DANN,0.03,S2,44,0.9523809523809523,0.9522727272727274,0.5,True
DANN,0.03,S2,45,1.0,1.0,0.5,True
DANN,0.03,S2,46,0.9619047619047618,0.9618993598573858,0.5,True
DANN,0.03,S3,42,0.8095238095238095,0.8090253818784732,0.5,True
DANN,0.03,S3,43,0.7761904761904761,0.7759010983344506,0.5,True
DANN,0.03,S3,44,0.8857142857142858,0.8856223404124709,0.5,True
DANN,0.03,S3,45,0.8476190476190476,0.8472727272727273,0.5,True
DANN,0.03,S3,46,0.7904761904761903,0.7881106872489122,0.5,True
DANN,0.1,S1,42,0.9476190476190476,0.9476109445479836,0.5,True
DANN,0.1,S1,43,0.9285714285714286,0.9282867132867134,0.5,True
DANN,0.1,S1,44,0.880952380952381,0.8808848553601816,0.5,True
DANN,0.1,S1,45,0.9428571428571428,0.9427108446478838,0.5,True
DANN,0.1,S1,46,0.9285714285714286,0.9285309132161089,0.5,True
DANN,0.1,S2,42,0.9857142857142858,0.9857061826432219,0.5,True
DANN,0.1,S2,43,1.0,1.0,0.5,True
DANN,0.1,S2,44,0.976190476190476,0.9761769710720362,0.5,True
DANN,0.1,S2,45,1.0,1.0,0.5,True
DANN,0.1,S2,46,0.919047619047619,0.9190233098344273,0.5,True
DANN,0.1,S3,42,0.7904761904761906,0.7903193469415817,0.5,True
DANN,0.1,S3,43,0.8285714285714285,0.8284957999081654,0.5,True
DANN,0.1,S3,44,0.8428571428571427,0.8426705512298251,0.5,True
DANN,0.1,S3,45,0.8428571428571429,0.8422144522144522,0.5,True
DANN,0.1,S3,46,0.8571428571428573,0.8568181818181818,0.5,True
DANN,0.3,S1,42,0.9523809523809523,0.9522727272727274,0.5,True
DANN,0.3,S1,43,0.9476190476190476,0.9474592074592074,0.5,True
DANN,0.3,S1,44,0.9,0.8998783066054763,0.5,True
DANN,0.3,S1,45,0.9666666666666666,0.9666369185739576,0.5,True
DANN,0.3,S1,46,0.9142857142857144,0.9142695081435864,0.5,True
DANN,0.3,S2,42,1.0,1.0,0.5,True
DANN,0.3,S2,43,0.9619047619047618,0.9618344247924508,0.5,True
DANN,0.3,S2,44,0.976190476190476,0.9761769710720362,0.5,True
DANN,0.3,S2,45,1.0,1.0,0.5,True
DANN,0.3,S2,46,0.9523809523809523,0.9523809523809523,0.5,True
DANN,0.3,S3,42,0.7714285714285714,0.7707237207237208,0.5,True
DANN,0.3,S3,43,0.8238095238095239,0.8235736485736487,0.5,True
DANN,0.3,S3,44,0.8523809523809524,0.8523620452151365,0.5,True
DANN,0.3,S3,45,0.8333333333333333,0.8331900317493057,0.5,True
DANN,0.3,S3,46,0.8619047619047621,0.8616315165265818,0.5,True
DANN,1.0,S1,42,0.9238095238095237,0.9236686644797819,0.5,True
DANN,1.0,S1,43,0.9428571428571427,0.9427272727272727,0.5,True
DANN,1.0,S1,44,0.9095238095238095,0.9093425462795853,0.5,True
DANN,1.0,S1,45,0.9285714285714286,0.9285309132161089,0.5,True
DANN,1.0,S1,46,0.9047619047619048,0.9047619047619048,0.5,True
DANN,1.0,S2,42,0.9714285714285713,0.9714177673338196,0.5,True
DANN,1.0,S2,43,0.9380952380952381,0.9380709288820462,0.5,True
DANN,1.0,S2,44,0.976190476190476,0.9761769710720362,0.5,True
DANN,1.0,S2,45,1.0,1.0,0.5,True
DANN,1.0,S2,46,0.976190476190476,0.9761769710720362,0.5,True
DANN,1.0,S3,42,0.838095238095238,0.8378298363891105,0.5,True
DANN,1.0,S3,43,0.8095238095238095,0.8077803203661327,0.5,True
DANN,1.0,S3,44,0.8333333333333334,0.8330757387819213,0.5,True
DANN,1.0,S3,45,0.7809523809523808,0.7780547503051032,0.5,True
DANN,1.0,S3,46,0.8761904761904763,0.8754405523284241,0.5,True
