method,lambda_max,fold,seed,tagid_probe_macro_f1,position_silhouette,tagid_silhouette,embedding_norm_mean,within_class_cross_position_distance,between_class_distance,position_vs_tagid_separability_ratio,domain_head_train_accuracy,domain_head_validation_accuracy
ERM,0.0,S1,42,1.0,0.037116690092856314,0.2894368420334365,7.927139845708314,2.3902771717341755,3.6354530706363355,0.670217626894577,,
ERM,0.0,S1,43,0.9181789638932496,0.05705647656548452,0.05567544058159777,7.0954924092192035,1.9376564724678649,2.346510490705205,0.8498113560206039,,
ERM,0.0,S1,44,1.0,0.042347434065364634,0.26141880300831555,7.750715214985739,2.315117726771017,3.442908885250355,0.6876503230950454,,
ERM,0.0,S1,45,0.5322305472305472,0.11630408848094612,-0.052365340503104894,7.3589624096218875,1.5015391988627789,1.5491391195915631,1.0364878855979425,,
ERM,0.0,S1,46,0.40284432654180546,0.08260074437725026,-0.05759419458131989,7.489330781419233,1.4144928198950735,1.4858114893099363,0.9944955199495561,,
ERM,0.0,S2,42,0.9462137862137862,0.06014618769592432,0.12188832050421312,7.135383900705493,2.105080577413109,2.682132652727971,0.8103633114686235,,
ERM,0.0,S2,43,1.0,0.037928226999367744,0.2745912303393776,7.8088806716884696,2.302431619551398,3.506581585196492,0.6697501049634025,,
ERM,0.0,S2,44,0.9760239760239762,0.04982233534332892,0.17538532911645258,7.246879528758343,2.1951717985452546,2.929728142652599,0.7688894577629888,,
ERM,0.0,S2,45,1.0,0.06975823406384483,0.25051507755576785,7.833006918320762,2.5224951185140827,3.554056740253175,0.7359886413150482,,
ERM,0.0,S2,46,0.9204738119023833,0.06561587443997735,0.12833592851174375,7.8934713984246665,2.031144675658073,2.5850893569943585,0.8133937861842726,,
ERM,0.0,S3,42,0.9520479520479521,0.017207796388989994,0.09931024066307319,7.071633066495776,2.096666262102815,2.761454474376052,0.7670776855312484,,
ERM,0.0,S3,43,1.0,0.012438290458483709,0.22195281467918382,7.590845559360322,2.2262142588784406,3.311580135955054,0.6775936149262548,,
ERM,0.0,S3,44,0.7746037296037296,0.041823669518677366,-0.024688082518630916,6.888467815852664,1.9369879965157384,2.2151850607786754,0.895491551691813,,
ERM,0.0,S3,45,0.6792274392274393,0.037541943903421374,-0.05929615400158735,7.054087472903315,1.6297758526712125,1.8160134257715792,0.915668897097436,,
ERM,0.0,S3,46,0.9760239760239762,0.02360711649489446,0.1443700552076395,7.174082940678233,2.1447133520732318,2.8800439376094014,0.7544798392907451,,
DANN,0.03,S1,42,0.9036706150991864,0.0392416835926701,0.10207119868774606,7.43318947649157,1.9666462706164498,2.4963948088959347,0.8038992727770768,0.5,0.6666666666666666
DANN,0.03,S1,43,1.0,0.03321097333902196,0.2054198421037421,7.513878423683601,2.167984888429132,3.0579842791907286,0.7211628432875056,0.6085714285714285,0.5
DANN,0.03,S1,44,1.0,0.03781865570859517,0.19150334583617945,7.42128264826322,2.150560936905331,3.0206652084600853,0.7262807710625118,0.8038095238095239,0.5
DANN,0.03,S1,45,1.0,0.051082502833652794,0.18575803380810554,7.666931500637971,2.226695739998879,3.0924198317554774,0.7395539997649775,0.8404761904761905,0.6409523809523809
DANN,0.03,S1,46,0.40749015690192164,0.08156219197067734,-0.057931670703066235,7.500997491572249,1.413078729867156,1.4856289711185224,0.9930776602866634,0.7734920634920635,0.5714285714285714
DANN,0.03,S2,42,0.8913429427715144,0.060420477005413656,0.08721546940061804,7.12843198687016,2.0079130453037815,2.4668756857198653,0.8407059494381586,0.5,0.9014285714285715
DANN,0.03,S2,43,0.9266771323914179,0.04263240608702959,0.13858054512401863,7.272891859792391,2.101848517844705,2.767977905282423,0.7766763590367748,0.5,0.878095238095238
DANN,0.03,S2,44,1.0,0.015750540605506513,0.3358888665392966,8.102987880565054,2.264638657282224,3.772693312354809,0.6058410458844029,0.6101587301587301,0.7833333333333333
DANN,0.03,S2,45,0.9494505494505494,0.06750047240282463,0.14303689841213585,7.186325262502553,2.214160770150331,2.8254755499573285,0.8122449093410709,0.7596825396825397,0.5
DANN,0.03,S2,46,0.9170248798820226,0.05647804654485395,0.12510035042501969,7.2487661416934515,2.0658749012456097,2.627361438760079,0.8101191446244282,0.5,0.5238095238095238
DANN,0.03,S3,42,0.9361038961038961,0.014185183845109516,0.08246604578092938,7.424440350865151,2.0088853784705467,2.6177064803790335,0.7741829881839819,0.5,0.7380952380952381
DANN,0.03,S3,43,0.9520479520479521,0.0324411059007887,0.013658112918861499,6.909755997710549,1.9374290764779278,2.3593871893207123,0.836151793582305,0.8088888888888889,0.7852380952380953
DANN,0.03,S3,44,0.47749577220165457,0.05174391474460691,-0.05957918067168905,7.227362049235323,1.5681460296399081,1.6887234953598371,0.9556848163211161,0.8407936507936508,0.6904761904761905
DANN,0.03,S3,45,0.7135673849959565,0.03657189052066575,-0.059140561780731404,7.05821443770529,1.6280152085624786,1.8159265938635392,0.9142316639665297,0.8247619047619048,0.6476190476190476
DANN,0.03,S3,46,1.0,0.005307424884816158,0.2964308958629918,7.9068676998091485,2.3095935202989173,3.6844871044432073,0.6297790092314323,0.7965079365079365,0.6638095238095238
DANN,0.1,S1,42,0.9281832453261025,0.028259979369506055,0.10834821798812236,7.233196620955186,1.9966755587563547,2.5831325917060375,0.7843496073428934,0.5,0.5
