method,lambda_max,seed,epochs,model_state_sha256,checkpoint_sha256,source_macro_f1,source_accuracy,position_probe_balanced_accuracy,tagid_probe_macro_f1,p4_used
ERM,0.0,42,13,8e6c5f9baf241f546756cbd2921ec0dfc8563c713663bb205319f688734acf07,dabd35f57ea9135fdabc1237a14c6d7a8b67f2b7326fbd31aab8949237ab7726,0.992910211439416,0.992910052910053,0.8507936507936508,1.0,False
DANN,0.3,42,13,6bc1c33da6f007783ff8868f50903383dbeb1b3ba1f842d9e11b4686352624a1,58ac25e7408f20ff1e63e2c0e34f5664dd93f2c1ac6c596866814e2d8334af0f,0.45353009098697233,0.48148148148148145,0.8222222222222223,0.24816044427297626,False
ERM,0.0,43,13,d81bc78acc439720c27209b6d750a345a0a66595b44aa227f7d19ee1e499c882,ef34ca7048e1e760166cf41bfe71bab1136cb4bd6109e43d17913f905325d532,0.99197008939951,0.9919576719576719,0.7873015873015873,1.0,False
DANN,0.3,43,13,a63738aec8e6e1d0768c142891fba745c3311ee94822e7b92356b7d1eb3c4d9f,f69092f3dda2c7f17cbe7805f630c9182bd3177ded2f7bbf6f2562e41d53c31b,0.6461951273528367,0.6543915343915344,0.7682539682539682,0.5625036049507522,False
ERM,0.0,44,9,f6125d96ca301066b67370a0448aa152ee4c0e1f0122075f16d0d93ac8fe3474,007c015957710cf2d8619561598c15eee64d593d10097f92030728a6fd88154f,0.9807236186866894,0.9807407407407407,0.7333333333333334,0.9968155683325962,False
DANN,0.3,44,9,1c6bd09a934904b3f08d869e90df605033d9f531f2dd5b73c13e1411c2297f7a,35b5abea623d709da50acd605296542898393c24cb0dad45161123e13af10824,0.26700771189425504,0.31936507936507935,0.8190476190476191,0.16888729360194468,False
ERM,0.0,45,10,c7913a5fc8d4db4a42df5ad1ef42ba34dc6fadd962b0de25f93bb8cea1c118f7,849356738d07ad7a530245d7857032f4642bdfd0887fbb7fc377af3a7fb20515,0.9921675362400915,0.9921693121693121,0.815873015873016,0.984077841662981,False
DANN,0.3,45,10,aeb4d9a07528b29638a819a6c5498e1144443010fe5ec371377eddc4aa91e186,806734d009baaee5b0efefc1abedb64a8150fec154116d01f60e042de61d65e1,0.45308989471207806,0.473968253968254,0.8126984126984128,0.38709343183099343,False
ERM,0.0,46,9,8aba5e402d06761fbab87ceb670509f3e973c65ec31b2ae1b1b7730b86783e6d,84f2683e37f5e86da88f1ee1eda56e7e31dce601672338c1ae909eb17eae80a3,0.8909204492984922,0.893968253968254,0.8317460317460318,1.0,False
DANN,0.3,46,9,e7f7b2965364d14cd35e257979867f017e2ac44d514a7a2726657a5955177013,f97cb4a43747e1e2b608be000528b5382df647d094b807669647fdaff2414a08,0.37724235545549517,0.4053968253968254,0.819047619047619,0.23856248553092962,False
