run_id,arm,lambda_max,fold,seed,selected_checkpoint_epoch,stopping_epoch,runtime_seconds,p4_accessed,status
DANNV2-DEV-ARM_A0_ERM_MATCHED-L0.00-S1-S42,ARM_A0_ERM_MATCHED,0.0,S1,42,15,23,526.8375759999035,False,COMPLETE
DANNV2-DEV-ARM_A0_ERM_MATCHED-L0.00-S1-S43,ARM_A0_ERM_MATCHED,0.0,S1,43,5,13,246.33783360000234,False,COMPLETE
DANNV2-DEV-ARM_A0_ERM_MATCHED-L0.00-S1-S44,ARM_A0_ERM_MATCHED,0.0,S1,44,14,22,500.0167811999563,False,COMPLETE
DANNV2-DEV-ARM_A0_ERM_MATCHED-L0.00-S1-S45,ARM_A0_ERM_MATCHED,0.0,S1,45,2,10,164.5799673999427,False,COMPLETE
DANNV2-DEV-ARM_A0_ERM_MATCHED-L0.00-S1-S46,ARM_A0_ERM_MATCHED,0.0,S1,46,2,10,164.1244058999,False,COMPLETE
DANNV2-DEV-ARM_A0_ERM_MATCHED-L0.00-S2-S42,ARM_A0_ERM_MATCHED,0.0,S2,42,6,14,279.40397879993543,False,COMPLETE
DANNV2-DEV-ARM_A0_ERM_MATCHED-L0.00-S2-S43,ARM_A0_ERM_MATCHED,0.0,S2,43,14,22,481.1968981999671,False,COMPLETE
DANNV2-DEV-ARM_A0_ERM_MATCHED-L0.00-S2-S44,ARM_A0_ERM_MATCHED,0.0,S2,44,8,16,309.45613019994926,False,COMPLETE
DANNV2-DEV-ARM_A0_ERM_MATCHED-L0.00-S2-S45,ARM_A0_ERM_MATCHED,0.0,S2,45,14,22,454.2695505999727,False,COMPLETE
DANNV2-DEV-ARM_A0_ERM_MATCHED-L0.00-S2-S46,ARM_A0_ERM_MATCHED,0.0,S2,46,7,15,281.15915620001033,False,COMPLETE
DANNV2-DEV-ARM_A0_ERM_MATCHED-L0.00-S3-S42,ARM_A0_ERM_MATCHED,0.0,S3,42,6,14,255.09307349997107,False,COMPLETE
DANNV2-DEV-ARM_A0_ERM_MATCHED-L0.00-S3-S43,ARM_A0_ERM_MATCHED,0.0,S3,43,11,19,386.8262617000146,False,COMPLETE
DANNV2-DEV-ARM_A0_ERM_MATCHED-L0.00-S3-S44,ARM_A0_ERM_MATCHED,0.0,S3,44,3,11,169.65112629998475,False,COMPLETE
DANNV2-DEV-ARM_A0_ERM_MATCHED-L0.00-S3-S45,ARM_A0_ERM_MATCHED,0.0,S3,45,2,10,161.17237309995107,False,COMPLETE
DANNV2-DEV-ARM_A0_ERM_MATCHED-L0.00-S3-S46,ARM_A0_ERM_MATCHED,0.0,S3,46,7,15,288.22681100002956,False,COMPLETE
DANNV2-DEV-ARM_A1_DOMAIN_POSITIVE_MATCHED-L0.01-S1-S42,ARM_A1_DOMAIN_POSITIVE_MATCHED,0.01,S1,42,13,21,436.50556819990743,False,COMPLETE
DANNV2-DEV-ARM_A1_DOMAIN_POSITIVE_MATCHED-L0.01-S1-S43,ARM_A1_DOMAIN_POSITIVE_MATCHED,0.01,S1,43,5,13,233.0648575000232,False,COMPLETE
DANNV2-DEV-ARM_A1_DOMAIN_POSITIVE_MATCHED-L0.01-S1-S44,ARM_A1_DOMAIN_POSITIVE_MATCHED,0.01,S1,44,12,20,415.7254560999572,False,COMPLETE
