run_id,arm,lambda_max,fold,seed,accuracy,macro_f1,scope
DANNV2-DEV-ARM_A0_ERM_MATCHED-L0.00-S1-S42,ARM_A0_ERM_MATCHED,0.0,S1,42,0.2757142857142857,0.2641146965205286,FAMILIAR_SOURCE_INNER_VALIDATION
DANNV2-DEV-ARM_A0_ERM_MATCHED-L0.00-S1-S43,ARM_A0_ERM_MATCHED,0.0,S1,43,0.25333333333333335,0.2151758000462402,FAMILIAR_SOURCE_INNER_VALIDATION
DANNV2-DEV-ARM_A0_ERM_MATCHED-L0.00-S1-S44,ARM_A0_ERM_MATCHED,0.0,S1,44,0.2571428571428571,0.25625735317667975,FAMILIAR_SOURCE_INNER_VALIDATION
DANNV2-DEV-ARM_A0_ERM_MATCHED-L0.00-S1-S45,ARM_A0_ERM_MATCHED,0.0,S1,45,0.23238095238095238,0.1823659044152936,FAMILIAR_SOURCE_INNER_VALIDATION
DANNV2-DEV-ARM_A0_ERM_MATCHED-L0.00-S1-S46,ARM_A0_ERM_MATCHED,0.0,S1,46,0.2842857142857143,0.28401382042693013,FAMILIAR_SOURCE_INNER_VALIDATION
DANNV2-DEV-ARM_A0_ERM_MATCHED-L0.00-S2-S42,ARM_A0_ERM_MATCHED,0.0,S2,42,0.2819047619047619,0.2655039971715567,FAMILIAR_SOURCE_INNER_VALIDATION
DANNV2-DEV-ARM_A0_ERM_MATCHED-L0.00-S2-S43,ARM_A0_ERM_MATCHED,0.0,S2,43,0.2742857142857143,0.26861572507262654,FAMILIAR_SOURCE_INNER_VALIDATION
DANNV2-DEV-ARM_A0_ERM_MATCHED-L0.00-S2-S44,ARM_A0_ERM_MATCHED,0.0,S2,44,0.28285714285714286,0.2616302106711263,FAMILIAR_SOURCE_INNER_VALIDATION
DANNV2-DEV-ARM_A0_ERM_MATCHED-L0.00-S2-S45,ARM_A0_ERM_MATCHED,0.0,S2,45,0.3038095238095238,0.30616589545743295,FAMILIAR_SOURCE_INNER_VALIDATION
DANNV2-DEV-ARM_A0_ERM_MATCHED-L0.00-S2-S46,ARM_A0_ERM_MATCHED,0.0,S2,46,0.31666666666666665,0.2938512971065857,FAMILIAR_SOURCE_INNER_VALIDATION
DANNV2-DEV-ARM_A0_ERM_MATCHED-L0.00-S3-S42,ARM_A0_ERM_MATCHED,0.0,S3,42,0.31,0.29353119988645837,FAMILIAR_SOURCE_INNER_VALIDATION
DANNV2-DEV-ARM_A0_ERM_MATCHED-L0.00-S3-S43,ARM_A0_ERM_MATCHED,0.0,S3,43,0.2619047619047619,0.2426572959344238,FAMILIAR_SOURCE_INNER_VALIDATION
DANNV2-DEV-ARM_A0_ERM_MATCHED-L0.00-S3-S44,ARM_A0_ERM_MATCHED,0.0,S3,44,0.31238095238095237,0.2284929887919334,FAMILIAR_SOURCE_INNER_VALIDATION
DANNV2-DEV-ARM_A0_ERM_MATCHED-L0.00-S3-S45,ARM_A0_ERM_MATCHED,0.0,S3,45,0.31142857142857144,0.27094441907323963,FAMILIAR_SOURCE_INNER_VALIDATION
DANNV2-DEV-ARM_A0_ERM_MATCHED-L0.00-S3-S46,ARM_A0_ERM_MATCHED,0.0,S3,46,0.2642857142857143,0.26894650085385263,FAMILIAR_SOURCE_INNER_VALIDATION
DANNV2-DEV-ARM_A1_DOMAIN_POSITIVE_MATCHED-L0.01-S1-S42,ARM_A1_DOMAIN_POSITIVE_MATCHED,0.01,S1,42,0.29,0.274995344334658,FAMILIAR_SOURCE_INNER_VALIDATION
DANNV2-DEV-ARM_A1_DOMAIN_POSITIVE_MATCHED-L0.01-S1-S43,ARM_A1_DOMAIN_POSITIVE_MATCHED,0.01,S1,43,0.28,0.23188300518557042,FAMILIAR_SOURCE_INNER_VALIDATION
DANNV2-DEV-ARM_A1_DOMAIN_POSITIVE_MATCHED-L0.01-S1-S44,ARM_A1_DOMAIN_POSITIVE_MATCHED,0.01,S1,44,0.28,0.27122830030714845,FAMILIAR_SOURCE_INNER_VALIDATION
DANNV2-DEV-ARM_A1_DOMAIN_POSITIVE_MATCHED-L0.01-S1-S45,ARM_A1_DOMAIN_POSITIVE_MATCHED,0.01,S1,45,0.23523809523809525,0.23145048030678708,FAMILIAR_SOURCE_INNER_VALIDATION
DANNV2-DEV-ARM_A1_DOMAIN_POSITIVE_MATCHED-L0.01-S1-S46,ARM_A1_DOMAIN_POSITIVE_MATCHED,0.01,S1,46,0.26857142857142857,0.26160779353740665,FAMILIAR_SOURCE_INNER_VALIDATION
DANNV2-DEV-ARM_A1_DOMAIN_POSITIVE_MATCHED-L0.01-S2-S42,ARM_A1_DOMAIN_POSITIVE_MATCHED,0.01,S2,42,0.32476190476190475,0.31012162426740425,FAMILIAR_SOURCE_INNER_VALIDATION
DANNV2-DEV-ARM_A1_DOMAIN_POSITIVE_MATCHED-L0.01-S2-S43,ARM_A1_DOMAIN_POSITIVE_MATCHED,0.01,S2,43,0.25857142857142856,0.24249642323956483,FAMILIAR_SOURCE_INNER_VALIDATION
DANNV2-DEV-ARM_A1_DOMAIN_POSITIVE_MATCHED-L0.01-S2-S44,ARM_A1_DOMAIN_POSITIVE_MATCHED,0.01,S2,44,0.24047619047619048,0.24466145308561374,FAMILIAR_SOURCE_INNER_VALIDATION
DANNV2-DEV-ARM_A1_DOMAIN_POSITIVE_MATCHED-L0.01-S2-S45,ARM_A1_DOMAIN_POSITIVE_MATCHED,0.01,S2,45,0.2557142857142857,0.25640230103139816,FAMILIAR_SOURCE_INNER_VALIDATION
DANNV2-DEV-ARM_A1_DOMAIN_POSITIVE_MATCHED-L0.01-S2-S46,ARM_A1_DOMAIN_POSITIVE_MATCHED,0.01,S2,46,0.2342857142857143,0.25242459776494286,FAMILIAR_SOURCE_INNER_VALIDATION
DANNV2-DEV-ARM_A1_DOMAIN_POSITIVE_MATCHED-L0.01-S3-S42,ARM_A1_DOMAIN_POSITIVE_MATCHED,0.01,S3,42,0.28523809523809524,0.27215664966829756,FAMILIAR_SOURCE_INNER_VALIDATION
DANNV2-DEV-ARM_A1_DOMAIN_POSITIVE_MATCHED-L0.01-S3-S43,ARM_A1_DOMAIN_POSITIVE_MATCHED,0.01,S3,43,0.2619047619047619,0.23661390156011985,FAMILIAR_SOURCE_INNER_VALIDATION
