run_id,arm,lambda_max,fold,seed,position_probe_balanced_accuracy,position_probe_macro_f1,chance_reference,probe_train,probe_test
DANNV2-DEV-ARM_A0_ERM_MATCHED-L0.00-S1-S42,ARM_A0_ERM_MATCHED,0.0,S1,42,0.9476190476190476,0.9474592074592074,0.5,inner_train_condition_centroids,inner_validation_condition_centroids
DANNV2-DEV-ARM_A0_ERM_MATCHED-L0.00-S1-S43,ARM_A0_ERM_MATCHED,0.0,S1,43,0.9523809523809523,0.9522727272727274,0.5,inner_train_condition_centroids,inner_validation_condition_centroids
DANNV2-DEV-ARM_A0_ERM_MATCHED-L0.00-S1-S44,ARM_A0_ERM_MATCHED,0.0,S1,44,0.9476190476190476,0.9474592074592074,0.5,inner_train_condition_centroids,inner_validation_condition_centroids
DANNV2-DEV-ARM_A0_ERM_MATCHED-L0.00-S1-S45,ARM_A0_ERM_MATCHED,0.0,S1,45,0.9095238095238095,0.9095157064527456,0.5,inner_train_condition_centroids,inner_validation_condition_centroids
DANNV2-DEV-ARM_A0_ERM_MATCHED-L0.00-S1-S46,ARM_A0_ERM_MATCHED,0.0,S1,46,0.9142857142857144,0.9142695081435864,0.5,inner_train_condition_centroids,inner_validation_condition_centroids
DANNV2-DEV-ARM_A0_ERM_MATCHED-L0.00-S2-S42,ARM_A0_ERM_MATCHED,0.0,S2,42,0.976190476190476,0.9761769710720362,0.5,inner_train_condition_centroids,inner_validation_condition_centroids
DANNV2-DEV-ARM_A0_ERM_MATCHED-L0.00-S2-S43,ARM_A0_ERM_MATCHED,0.0,S2,43,0.976190476190476,0.9761769710720362,0.5,inner_train_condition_centroids,inner_validation_condition_centroids
DANNV2-DEV-ARM_A0_ERM_MATCHED-L0.00-S2-S44,ARM_A0_ERM_MATCHED,0.0,S2,44,0.9380952380952381,0.9380276388387563,0.5,inner_train_condition_centroids,inner_validation_condition_centroids
DANNV2-DEV-ARM_A0_ERM_MATCHED-L0.00-S2-S45,ARM_A0_ERM_MATCHED,0.0,S2,45,1.0,1.0,0.5,inner_train_condition_centroids,inner_validation_condition_centroids
DANNV2-DEV-ARM_A0_ERM_MATCHED-L0.00-S2-S46,ARM_A0_ERM_MATCHED,0.0,S2,46,0.9666666666666666,0.9666152735523127,0.5,inner_train_condition_centroids,inner_validation_condition_centroids
DANNV2-DEV-ARM_A0_ERM_MATCHED-L0.00-S3-S42,ARM_A0_ERM_MATCHED,0.0,S3,42,0.8238095238095238,0.8230134583837122,0.5,inner_train_condition_centroids,inner_validation_condition_centroids
DANNV2-DEV-ARM_A0_ERM_MATCHED-L0.00-S3-S43,ARM_A0_ERM_MATCHED,0.0,S3,43,0.8285714285714285,0.8281706810237723,0.5,inner_train_condition_centroids,inner_validation_condition_centroids
