run_id,arm,lambda_max,fold,seed,tagid_probe_macro_f1,chance_reference,probe_train,probe_test
DANNV2-DEV-ARM_A0_ERM_MATCHED-L0.00-S1-S42,ARM_A0_ERM_MATCHED,0.0,S1,42,0.23999730428301858,0.14285714285714285,inner_train_condition_centroids,inner_validation_condition_centroids
DANNV2-DEV-ARM_A0_ERM_MATCHED-L0.00-S1-S43,ARM_A0_ERM_MATCHED,0.0,S1,43,0.24591345162773734,0.14285714285714285,inner_train_condition_centroids,inner_validation_condition_centroids
DANNV2-DEV-ARM_A0_ERM_MATCHED-L0.00-S1-S44,ARM_A0_ERM_MATCHED,0.0,S1,44,0.2274626960341246,0.14285714285714285,inner_train_condition_centroids,inner_validation_condition_centroids
DANNV2-DEV-ARM_A0_ERM_MATCHED-L0.00-S1-S45,ARM_A0_ERM_MATCHED,0.0,S1,45,0.20673358387644103,0.14285714285714285,inner_train_condition_centroids,inner_validation_condition_centroids
DANNV2-DEV-ARM_A0_ERM_MATCHED-L0.00-S1-S46,ARM_A0_ERM_MATCHED,0.0,S1,46,0.22121592693021266,0.14285714285714285,inner_train_condition_centroids,inner_validation_condition_centroids
DANNV2-DEV-ARM_A0_ERM_MATCHED-L0.00-S2-S42,ARM_A0_ERM_MATCHED,0.0,S2,42,0.24055278055278057,0.14285714285714285,inner_train_condition_centroids,inner_validation_condition_centroids
DANNV2-DEV-ARM_A0_ERM_MATCHED-L0.00-S2-S43,ARM_A0_ERM_MATCHED,0.0,S2,43,0.18861179903196706,0.14285714285714285,inner_train_condition_centroids,inner_validation_condition_centroids
DANNV2-DEV-ARM_A0_ERM_MATCHED-L0.00-S2-S44,ARM_A0_ERM_MATCHED,0.0,S2,44,0.21777175205746632,0.14285714285714285,inner_train_condition_centroids,inner_validation_condition_centroids
DANNV2-DEV-ARM_A0_ERM_MATCHED-L0.00-S2-S45,ARM_A0_ERM_MATCHED,0.0,S2,45,0.2645052799674648,0.14285714285714285,inner_train_condition_centroids,inner_validation_condition_centroids
DANNV2-DEV-ARM_A0_ERM_MATCHED-L0.00-S2-S46,ARM_A0_ERM_MATCHED,0.0,S2,46,0.2642619285476428,0.14285714285714285,inner_train_condition_centroids,inner_validation_condition_centroids
DANNV2-DEV-ARM_A0_ERM_MATCHED-L0.00-S3-S42,ARM_A0_ERM_MATCHED,0.0,S3,42,0.17780505209076639,0.14285714285714285,inner_train_condition_centroids,inner_validation_condition_centroids
DANNV2-DEV-ARM_A0_ERM_MATCHED-L0.00-S3-S43,ARM_A0_ERM_MATCHED,0.0,S3,43,0.217827886399315,0.14285714285714285,inner_train_condition_centroids,inner_validation_condition_centroids
DANNV2-DEV-ARM_A0_ERM_MATCHED-L0.00-S3-S44,ARM_A0_ERM_MATCHED,0.0,S3,44,0.2481921253349825,0.14285714285714285,inner_train_condition_centroids,inner_validation_condition_centroids
DANNV2-DEV-ARM_A0_ERM_MATCHED-L0.00-S3-S45,ARM_A0_ERM_MATCHED,0.0,S3,45,0.2752397602397602,0.14285714285714285,inner_train_condition_centroids,inner_validation_condition_centroids
DANNV2-DEV-ARM_A0_ERM_MATCHED-L0.00-S3-S46,ARM_A0_ERM_MATCHED,0.0,S3,46,0.28037281579298384,0.14285714285714285,inner_train_condition_centroids,inner_validation_condition_centroids
DANNV2-DEV-ARM_A1_DOMAIN_POSITIVE_MATCHED-L0.01-S1-S42,ARM_A1_DOMAIN_POSITIVE_MATCHED,0.01,S1,42,0.24342340199483056,0.14285714285714285,inner_train_condition_centroids,inner_validation_condition_centroids
DANNV2-DEV-ARM_A1_DOMAIN_POSITIVE_MATCHED-L0.01-S1-S43,ARM_A1_DOMAIN_POSITIVE_MATCHED,0.01,S1,43,0.24591345162773734,0.14285714285714285,inner_train_condition_centroids,inner_validation_condition_centroids
DANNV2-DEV-ARM_A1_DOMAIN_POSITIVE_MATCHED-L0.01-S1-S44,ARM_A1_DOMAIN_POSITIVE_MATCHED,0.01,S1,44,0.23333729762301186,0.14285714285714285,inner_train_condition_centroids,inner_validation_condition_centroids
DANNV2-DEV-ARM_A1_DOMAIN_POSITIVE_MATCHED-L0.01-S1-S45,ARM_A1_DOMAIN_POSITIVE_MATCHED,0.01,S1,45,0.19555333555333554,0.14285714285714285,inner_train_condition_centroids,inner_validation_condition_centroids
DANNV2-DEV-ARM_A1_DOMAIN_POSITIVE_MATCHED-L0.01-S1-S46,ARM_A1_DOMAIN_POSITIVE_MATCHED,0.01,S1,46,0.23258455829884403,0.14285714285714285,inner_train_condition_centroids,inner_validation_condition_centroids
DANNV2-DEV-ARM_A1_DOMAIN_POSITIVE_MATCHED-L0.01-S2-S42,ARM_A1_DOMAIN_POSITIVE_MATCHED,0.01,S2,42,0.2115784215784216,0.14285714285714285,inner_train_condition_centroids,inner_validation_condition_centroids
DANNV2-DEV-ARM_A1_DOMAIN_POSITIVE_MATCHED-L0.01-S2-S43,ARM_A1_DOMAIN_POSITIVE_MATCHED,0.01,S2,43,0.18923783965800772,0.14285714285714285,inner_train_condition_centroids,inner_validation_condition_centroids
DANNV2-DEV-ARM_A1_DOMAIN_POSITIVE_MATCHED-L0.01-S2-S44,ARM_A1_DOMAIN_POSITIVE_MATCHED,0.01,S2,44,0.24720818863676008,0.14285714285714285,inner_train_condition_centroids,inner_validation_condition_centroids
DANNV2-DEV-ARM_A1_DOMAIN_POSITIVE_MATCHED-L0.01-S2-S45,ARM_A1_DOMAIN_POSITIVE_MATCHED,0.01,S2,45,0.25485544334283833,0.14285714285714285,inner_train_condition_centroids,inner_validation_condition_centroids
DANNV2-DEV-ARM_A1_DOMAIN_POSITIVE_MATCHED-L0.01-S2-S46,ARM_A1_DOMAIN_POSITIVE_MATCHED,0.01,S2,46,0.26352504638218927,0.14285714285714285,inner_train_condition_centroids,inner_validation_condition_centroids
DANNV2-DEV-ARM_A1_DOMAIN_POSITIVE_MATCHED-L0.01-S3-S42,ARM_A1_DOMAIN_POSITIVE_MATCHED,0.01,S3,42,0.1845532711919267,0.14285714285714285,inner_train_condition_centroids,inner_validation_condition_centroids
DANNV2-DEV-ARM_A1_DOMAIN_POSITIVE_MATCHED-L0.01-S3-S43,ARM_A1_DOMAIN_POSITIVE_MATCHED,0.01,S3,43,0.2658547801404944,0.14285714285714285,inner_train_condition_centroids,inner_validation_condition_centroids
DANNV2-DEV-ARM_A1_DOMAIN_POSITIVE_MATCHED-L0.01-S3-S44,ARM_A1_DOMAIN_POSITIVE_MATCHED,0.01,S3,44,0.18692816520547612,0.14285714285714285,inner_train_condition_centroids,inner_validation_condition_centroids
DANNV2-DEV-ARM_A1_DOMAIN_POSITIVE_MATCHED-L0.01-S3-S45,ARM_A1_DOMAIN_POSITIVE_MATCHED,0.01,S3,45,0.2568693024995546,0.14285714285714285,inner_train_condition_centroids,inner_validation_condition_centroids
DANNV2-DEV-ARM_A1_DOMAIN_POSITIVE_MATCHED-L0.01-S3-S46,ARM_A1_DOMAIN_POSITIVE_MATCHED,0.01,S3,46,0.22778856064570346,0.14285714285714285,inner_train_condition_centroids,inner_validation_condition_centroids
DANNV2-DEV-ARM_A1_DOMAIN_POSITIVE_MATCHED-L0.03-S1-S42,ARM_A1_DOMAIN_POSITIVE_MATCHED,0.03,S1,42,0.2947110032824319,0.14285714285714285,inner_train_condition_centroids,inner_validation_condition_centroids
DANNV2-DEV-ARM_A1_DOMAIN_POSITIVE_MATCHED-L0.03-S1-S43,ARM_A1_DOMAIN_POSITIVE_MATCHED,0.03,S1,43,0.20491920777635064,0.14285714285714285,inner_train_condition_centroids,inner_validation_condition_centroids
DANNV2-DEV-ARM_A1_DOMAIN_POSITIVE_MATCHED-L0.03-S1-S44,ARM_A1_DOMAIN_POSITIVE_MATCHED,0.03,S1,44,0.2502813059955917,0.14285714285714285,inner_train_condition_centroids,inner_validation_condition_centroids
DANNV2-DEV-ARM_A1_DOMAIN_POSITIVE_MATCHED-L0.03-S1-S45,ARM_A1_DOMAIN_POSITIVE_MATCHED,0.03,S1,45,0.23633382490525348,0.14285714285714285,inner_train_condition_centroids,inner_validation_condition_centroids
DANNV2-DEV-ARM_A1_DOMAIN_POSITIVE_MATCHED-L0.03-S1-S46,ARM_A1_DOMAIN_POSITIVE_MATCHED,0.03,S1,46,0.22585018156446726,0.14285714285714285,inner_train_condition_centroids,inner_validation_condition_centroids
DANNV2-DEV-ARM_A1_DOMAIN_POSITIVE_MATCHED-L0.03-S2-S42,ARM_A1_DOMAIN_POSITIVE_MATCHED,0.03,S2,42,0.2366709480995195,0.14285714285714285,inner_train_condition_centroids,inner_validation_condition_centroids
DANNV2-DEV-ARM_A1_DOMAIN_POSITIVE_MATCHED-L0.03-S2-S43,ARM_A1_DOMAIN_POSITIVE_MATCHED,0.03,S2,43,0.17465639623534363,0.14285714285714285,inner_train_condition_centroids,inner_validation_condition_centroids
DANNV2-DEV-ARM_A1_DOMAIN_POSITIVE_MATCHED-L0.03-S2-S44,ARM_A1_DOMAIN_POSITIVE_MATCHED,0.03,S2,44,0.2346626389483532,0.14285714285714285,inner_train_condition_centroids,inner_validation_condition_centroids
DANNV2-DEV-ARM_A1_DOMAIN_POSITIVE_MATCHED-L0.03-S2-S45,ARM_A1_DOMAIN_POSITIVE_MATCHED,0.03,S2,45,0.2544276824949094,0.14285714285714285,inner_train_condition_centroids,inner_validation_condition_centroids
DANNV2-DEV-ARM_A1_DOMAIN_POSITIVE_MATCHED-L0.03-S2-S46,ARM_A1_DOMAIN_POSITIVE_MATCHED,0.03,S2,46,0.23287855002140714,0.14285714285714285,inner_train_condition_centroids,inner_validation_condition_centroids
DANNV2-DEV-ARM_A1_DOMAIN_POSITIVE_MATCHED-L0.03-S3-S42,ARM_A1_DOMAIN_POSITIVE_MATCHED,0.03,S3,42,0.1847162361448076,0.14285714285714285,inner_train_condition_centroids,inner_validation_condition_centroids
