run_id,arm,lambda_max,fold,seed,held_position,outer_held_lopo_accuracy,outer_held_lopo_macro_f1,seven_class_chance_reference,selection_use
DANNV2-DEV-ARM_A0_ERM_MATCHED-L0.00-S1-S42,ARM_A0_ERM_MATCHED,0.0,S1,42,P1,0.1895238095238095,0.13381828384221048,0.14285714285714285,DIAGNOSTIC_ONLY
DANNV2-DEV-ARM_A0_ERM_MATCHED-L0.00-S1-S43,ARM_A0_ERM_MATCHED,0.0,S1,43,P1,0.23555555555555555,0.15728439429887123,0.14285714285714285,DIAGNOSTIC_ONLY
DANNV2-DEV-ARM_A0_ERM_MATCHED-L0.00-S1-S44,ARM_A0_ERM_MATCHED,0.0,S1,44,P1,0.23587301587301587,0.18162376824765086,0.14285714285714285,DIAGNOSTIC_ONLY
DANNV2-DEV-ARM_A0_ERM_MATCHED-L0.00-S1-S45,ARM_A0_ERM_MATCHED,0.0,S1,45,P1,0.25333333333333335,0.21375998363179424,0.14285714285714285,DIAGNOSTIC_ONLY
DANNV2-DEV-ARM_A0_ERM_MATCHED-L0.00-S1-S46,ARM_A0_ERM_MATCHED,0.0,S1,46,P1,0.17238095238095238,0.08435791878514964,0.14285714285714285,DIAGNOSTIC_ONLY
DANNV2-DEV-ARM_A0_ERM_MATCHED-L0.00-S2-S42,ARM_A0_ERM_MATCHED,0.0,S2,42,P2,0.14317460317460318,0.14064688296914235,0.14285714285714285,DIAGNOSTIC_ONLY
DANNV2-DEV-ARM_A0_ERM_MATCHED-L0.00-S2-S43,ARM_A0_ERM_MATCHED,0.0,S2,43,P2,0.18761904761904763,0.1857109693557413,0.14285714285714285,DIAGNOSTIC_ONLY
DANNV2-DEV-ARM_A0_ERM_MATCHED-L0.00-S2-S44,ARM_A0_ERM_MATCHED,0.0,S2,44,P2,0.18095238095238095,0.1458115796475963,0.14285714285714285,DIAGNOSTIC_ONLY
DANNV2-DEV-ARM_A0_ERM_MATCHED-L0.00-S2-S45,ARM_A0_ERM_MATCHED,0.0,S2,45,P2,0.17555555555555555,0.1324698058951615,0.14285714285714285,DIAGNOSTIC_ONLY
DANNV2-DEV-ARM_A0_ERM_MATCHED-L0.00-S2-S46,ARM_A0_ERM_MATCHED,0.0,S2,46,P2,0.1438095238095238,0.09212195536016379,0.14285714285714285,DIAGNOSTIC_ONLY
DANNV2-DEV-ARM_A0_ERM_MATCHED-L0.00-S3-S42,ARM_A0_ERM_MATCHED,0.0,S3,42,P3,0.19142857142857142,0.1271608190705297,0.14285714285714285,DIAGNOSTIC_ONLY
DANNV2-DEV-ARM_A0_ERM_MATCHED-L0.00-S3-S43,ARM_A0_ERM_MATCHED,0.0,S3,43,P3,0.20126984126984127,0.1110040677739598,0.14285714285714285,DIAGNOSTIC_ONLY
DANNV2-DEV-ARM_A0_ERM_MATCHED-L0.00-S3-S44,ARM_A0_ERM_MATCHED,0.0,S3,44,P3,0.24761904761904763,0.132048490703535,0.14285714285714285,DIAGNOSTIC_ONLY
DANNV2-DEV-ARM_A0_ERM_MATCHED-L0.00-S3-S45,ARM_A0_ERM_MATCHED,0.0,S3,45,P3,0.2253968253968254,0.12028626062018367,0.14285714285714285,DIAGNOSTIC_ONLY
