contrast,lambda_max,endpoint,point_estimate,lower_95,upper_95,paired_unit,unit_contrasts,replicates,rng_seed,contrast_specific_seed_offset
A1-A0,0.01,familiar_validation_macro_f1,-0.0009164676581658056,-0.015431816953616473,0.01315970737772822,fold_x_seed,"[0.010880647814129396,0.016707205139330217,0.014970947130468704,0.04908457589149348,-0.022406026889523478,0.044617627095847545,-0.026119301833061714,-0.016968757585512556,-0.049763594426034785,-0.041426699341642836,-0.021374550218160815,-0.006043394374303956,-0.01226918968776114,0.019884510917855036,0.026478985494389817]",10000,20260809,False
A1-A0,0.01,position_probe_macro_f1,0.009296879203418713,0.0008700666352923318,0.01833807105908781,fold_x_seed,"[0.004813519813519962,0.0,-0.019172494172494003,0.042757020819981784,0.0,0.0,0.0,-0.004748362811323625,0.0,0.009561697519723467,0.038780451053418985,0.02419136419136414,0.033993569042736316,0.0163212672098082,-0.007044844615454515]",10000,20260809,False
A1-A0,0.01,tagid_probe_macro_f1,-0.005150205225835475,-0.01905091468599872,0.008135618194441707,fold_x_seed,"[0.0034260977118119873,0.0,0.005874601588887252,-0.01118024832310549,0.011368631368631366,-0.02897435897435896,0.0006260406260406581,0.029436436579293762,-0.009649836624626484,-0.000736882165453534,0.006748219101160302,0.04802689374117941,-0.061263960129506384,-0.018370457740205626,-0.05258425514728038]",10000,20260809,False
A2-A0,0.01,familiar_validation_macro_f1,0.0022766356945457663,-0.006942387517348498,0.011360719967693987,fold_x_seed,"[0.016166765016773166,0.011000476402386439,0.017377021212994948,0.034515942645719416,-0.00817465651393573,0.012780798094106705,-0.008904768900186155,0.024049714538246114,-0.02567398228404605,-0.01688971698157088,-0.02967478843576382,0.02286932320445534,-0.006157832500710642,-0.003195657598875079,-0.005939102481407277]",10000,20260809,False
A2-A0,0.01,position_probe_macro_f1,0.0007308109732691026,-0.008600974299346843,0.010286106402584844,fold_x_seed,"[-0.00962703962703948,0.0,-0.018933733122615592,0.023502941565902602,0.004753801690840831,0.0,-0.03810604218998992,-0.009496725622647362,0.0,-0.004715913694926854,0.019265928895675133,0.038436563121758915,0.024231294385396396,0.0,-0.01834891080331813]",10000,20260809,False
A2-A0,0.01,tagid_probe_macro_f1,-0.006259119654077631,-0.02024099381011144,0.005900321939187476,fold_x_seed,"[-1.823573252143773e-05,-0.06973439259153544,0.025694622837479975,-0.0004206904206904283,0.010859616573902248,0.010225013082155954,0.013829979544265264,-0.021777587491873196,-0.011619990653604029,-0.05763902763902759,0.014560677417820245,0.006369186369186375,0.007721634108188685,0.0019551876694733905,-0.02389278788438448]",10000,20260809,False
A2-A1,0.01,familiar_validation_macro_f1,0.003193103352711572,-0.007546888786886509,0.013947084229000912,fold_x_seed,"[0.00528611720264377,-0.005706728736943778,0.002406074082526244,-0.014568633245774065,0.014231370375587749,-0.03183682900174084,0.01721453293287556,0.04101847212375867,0.024089612141988737,0.024536982360071957,-0.008300238217603007,0.028912717578759295,0.006111357187050498,-0.023080168516730115,-0.032418087975797094]",10000,20260809,False
A2-A1,0.01,position_probe_macro_f1,-0.00856606823014961,-0.014897623512459922,-0.0026818260313979324,fold_x_seed,"[-0.014440559440559442,0.0,0.00023876104987841096,-0.01925407925407918,0.004753801690840831,0.0,-0.03810604218998992,-0.004748362811323736,0.0,-0.014277611214650321,-0.019514522157743852,0.014245198930394776,-0.00976227465733992,-0.0163212672098082,-0.011304066187863615]",10000,20260809,False
A2-A1,0.01,tagid_probe_macro_f1,-0.0011089144282421563,-0.020390102723296,0.01741241715023228,fold_x_seed,"[-0.003444333444333425,-0.06973439259153544,0.019820021248592723,0.010759557902415062,-0.0005090147947291179,0.039199372056514914,0.013203938918224606,-0.05121402407116696,-0.0019701540289775443,-0.056902145473574056,0.007812458316659943,-0.041657707371993036,0.06898559423769507,0.020325645409679016,0.028691467262895898]",10000,20260809,False
A1-A0,0.03,familiar_validation_macro_f1,0.009579858165755269,-0.001953130437816181,0.02199174610757534,fold_x_seed,"[0.0025639453609056506,-0.003067531796985268,0.014817502360612245,0.06689009904128485,0.021863373585290224,0.04426360184698347,0.021487528373316966,-0.0014315015691512833,-0.028381657853362774,-0.020489632495801102,0.005072870643464178,0.014975493493821157,0.016698315175658673,0.008906756234297597,-0.02047128991400554]",10000,20260809,False
