run_id,arm,seed,lambda_max,epochs,checkpoint_sha256,checkpoint_relative_runtime_path,runtime_seconds,p4_accessed,status
DANNV2-FINAL-SOURCE-ARM_A0_ERM_MATCHED-S42,ARM_A0_ERM_MATCHED,42,0.0,11,0fb0e49f960aebfe57da5d81e4da9c31ee8f2fdeba6d9739610cabb27fd1b6b6,outputs/dann_v2/final_models/a0/seed_42.pt,282.1488400999224,False,COMPLETE
DANNV2-FINAL-SOURCE-ARM_A0_ERM_MATCHED-S43,ARM_A0_ERM_MATCHED,43,0.0,14,603a82281eb6dfc2d75a9f97f4531341c4f9730e89615ce74cacf56d5e94a130,outputs/dann_v2/final_models/a0/seed_43.pt,352.5622666000854,False,COMPLETE
DANNV2-FINAL-SOURCE-ARM_A0_ERM_MATCHED-S44,ARM_A0_ERM_MATCHED,44,0.0,8,d5ccab62a8d847471213efe53cd001228ef89ee3235427297854f7466e71f9cd,outputs/dann_v2/final_models/a0/seed_44.pt,207.37852569995448,False,COMPLETE
DANNV2-FINAL-SOURCE-ARM_A0_ERM_MATCHED-S45,ARM_A0_ERM_MATCHED,45,0.0,8,11dde7f132515caba58ee01342bf94094a42aa12b8d09ce77dbde4b34a009747,outputs/dann_v2/final_models/a0/seed_45.pt,207.0111229000613,False,COMPLETE
DANNV2-FINAL-SOURCE-ARM_A0_ERM_MATCHED-S46,ARM_A0_ERM_MATCHED,46,0.0,6,432fc54959d531821aa0d1c4d0c9f42ec24bca31bf4758fb970a7eb1e75d0e24,outputs/dann_v2/final_models/a0/seed_46.pt,159.67585620004684,False,COMPLETE
DANNV2-FINAL-SOURCE-ARM_A1_DOMAIN_POSITIVE_MATCHED-S42,ARM_A1_DOMAIN_POSITIVE_MATCHED,42,0.1,11,0758302c05e633e3f2a5e1d40e3f554298b69ada35299b8fd63719a15b035127,outputs/dann_v2/final_models/a1/seed_42.pt,276.8260494999122,False,COMPLETE
DANNV2-FINAL-SOURCE-ARM_A1_DOMAIN_POSITIVE_MATCHED-S43,ARM_A1_DOMAIN_POSITIVE_MATCHED,43,0.1,14,11756cea6b18ab9fe3ecc205d7d1932aca02e7264deff174647b5c225f405098,outputs/dann_v2/final_models/a1/seed_43.pt,338.19612189999316,False,COMPLETE
DANNV2-FINAL-SOURCE-ARM_A1_DOMAIN_POSITIVE_MATCHED-S44,ARM_A1_DOMAIN_POSITIVE_MATCHED,44,0.1,8,c86b8031e623d5c2da8f52553f6d33c8ad3b1bab545918ae430e9f21f050a73e,outputs/dann_v2/final_models/a1/seed_44.pt,204.31788909994066,False,COMPLETE
DANNV2-FINAL-SOURCE-ARM_A1_DOMAIN_POSITIVE_MATCHED-S45,ARM_A1_DOMAIN_POSITIVE_MATCHED,45,0.1,8,3278eec7956879e81041f047eb983af5e31c0ed7e7fff0d339dd723838a7f266,outputs/dann_v2/final_models/a1/seed_45.pt,204.4674114000518,False,COMPLETE
DANNV2-FINAL-SOURCE-ARM_A1_DOMAIN_POSITIVE_MATCHED-S46,ARM_A1_DOMAIN_POSITIVE_MATCHED,46,0.1,6,3fd8f72ed6629cc1139ffd538c770e6c99a62d422d69ef64e7de4020432eb21e,outputs/dann_v2/final_models/a1/seed_46.pt,156.9139298000373,False,COMPLETE
DANNV2-FINAL-SOURCE-ARM_A2_DANN_NEGATIVE_MATCHED-S42,ARM_A2_DANN_NEGATIVE_MATCHED,42,0.1,11,daa842223a66aab2d2de1b17dc24dabc8f93dab1f2fe3a9bc670ff66c24d000a,outputs/dann_v2/final_models/a2/seed_42.pt,258.2760495999828,False,COMPLETE
DANNV2-FINAL-SOURCE-ARM_A2_DANN_NEGATIVE_MATCHED-S43,ARM_A2_DANN_NEGATIVE_MATCHED,43,0.1,14,93cd2a5c25ece5fccfe03dad36c74b1df9818ec54492a85a0a5dbe137f975c9b,outputs/dann_v2/final_models/a2/seed_43.pt,306.41780429997016,False,COMPLETE
DANNV2-FINAL-SOURCE-ARM_A2_DANN_NEGATIVE_MATCHED-S44,ARM_A2_DANN_NEGATIVE_MATCHED,44,0.1,8,523fc426855951680c7f3bafed5a1f9aff1f85ea3b2e0efca67a96de5db50ec4,outputs/dann_v2/final_models/a2/seed_44.pt,199.0941010999959,False,COMPLETE
DANNV2-FINAL-SOURCE-ARM_A2_DANN_NEGATIVE_MATCHED-S45,ARM_A2_DANN_NEGATIVE_MATCHED,45,0.1,8,aefb0a12f19453b8a8a1834e44ca2c7f0d5c9130b18fc99464429f5e8dee9833,outputs/dann_v2/final_models/a2/seed_45.pt,200.91212120000273,False,COMPLETE
DANNV2-FINAL-SOURCE-ARM_A2_DANN_NEGATIVE_MATCHED-S46,ARM_A2_DANN_NEGATIVE_MATCHED,46,0.1,6,da865a81293a5421184cbf2dd35d153b199e4e19449a59b744bd58c772277eac,outputs/dann_v2/final_models/a2/seed_46.pt,154.85144420003053,False,COMPLETE
