run_id,arm,seed,lambda_max,checkpoint_sha256,prediction_array_sha256,prediction_frozen_before_label_access,status
DANNV2-FINAL-P4-ARM_A0_ERM_MATCHED-S42,ARM_A0_ERM_MATCHED,42,0.0,0fb0e49f960aebfe57da5d81e4da9c31ee8f2fdeba6d9739610cabb27fd1b6b6,47ecf84a23cdf4636bcddd65a7c74ee70f2494299f57c3741353b4350a9c51ad,True,COMPLETE
DANNV2-FINAL-P4-ARM_A0_ERM_MATCHED-S43,ARM_A0_ERM_MATCHED,43,0.0,603a82281eb6dfc2d75a9f97f4531341c4f9730e89615ce74cacf56d5e94a130,11a591de499e284a2b098e15100428b84f2a2ed37280d6b011ff3200cad7d62d,True,COMPLETE
DANNV2-FINAL-P4-ARM_A0_ERM_MATCHED-S44,ARM_A0_ERM_MATCHED,44,0.0,d5ccab62a8d847471213efe53cd001228ef89ee3235427297854f7466e71f9cd,6070dabf07e58a1522e28d306f9e4dcf56d87d414c243b6e6d0e05ddf1f4f6fa,True,COMPLETE
DANNV2-FINAL-P4-ARM_A0_ERM_MATCHED-S45,ARM_A0_ERM_MATCHED,45,0.0,11dde7f132515caba58ee01342bf94094a42aa12b8d09ce77dbde4b34a009747,d33472d138be2e9cc0c1f4438a9d93c0fc0003426820fa1f766709b3ea82c720,True,COMPLETE
DANNV2-FINAL-P4-ARM_A0_ERM_MATCHED-S46,ARM_A0_ERM_MATCHED,46,0.0,432fc54959d531821aa0d1c4d0c9f42ec24bca31bf4758fb970a7eb1e75d0e24,08f5648c2fbd17aab0faaf378b4d83bd945f0f09d2440b6729d22d180b04d6bb,True,COMPLETE
DANNV2-FINAL-P4-ARM_A1_DOMAIN_POSITIVE_MATCHED-S42,ARM_A1_DOMAIN_POSITIVE_MATCHED,42,0.1,0758302c05e633e3f2a5e1d40e3f554298b69ada35299b8fd63719a15b035127,3c602fb3f5c718805d18b5b93339a069a240e7e99f25184760d1f3d0ebf70f11,True,COMPLETE
DANNV2-FINAL-P4-ARM_A1_DOMAIN_POSITIVE_MATCHED-S43,ARM_A1_DOMAIN_POSITIVE_MATCHED,43,0.1,11756cea6b18ab9fe3ecc205d7d1932aca02e7264deff174647b5c225f405098,fd11ecb8f4a51aaf0b91478556a449763f0211822f88cdf2f16d4412aa7c1882,True,COMPLETE
DANNV2-FINAL-P4-ARM_A1_DOMAIN_POSITIVE_MATCHED-S44,ARM_A1_DOMAIN_POSITIVE_MATCHED,44,0.1,c86b8031e623d5c2da8f52553f6d33c8ad3b1bab545918ae430e9f21f050a73e,029a5c5c080c9e9000ee32b6cf9f1a16ea6a5a9c5b7aa6ad2e27b7c2acd5b6fe,True,COMPLETE
DANNV2-FINAL-P4-ARM_A1_DOMAIN_POSITIVE_MATCHED-S45,ARM_A1_DOMAIN_POSITIVE_MATCHED,45,0.1,3278eec7956879e81041f047eb983af5e31c0ed7e7fff0d339dd723838a7f266,e5011403c081ae1a93fd9841b6c71aa69b3e6abef04da42141550df609c9e17a,True,COMPLETE
DANNV2-FINAL-P4-ARM_A1_DOMAIN_POSITIVE_MATCHED-S46,ARM_A1_DOMAIN_POSITIVE_MATCHED,46,0.1,3fd8f72ed6629cc1139ffd538c770e6c99a62d422d69ef64e7de4020432eb21e,7b0c116d52c2dcb9504a4c7af59bf366f45ac2d0863a9783ed8e712fee4e43fe,True,COMPLETE
DANNV2-FINAL-P4-ARM_A2_DANN_NEGATIVE_MATCHED-S42,ARM_A2_DANN_NEGATIVE_MATCHED,42,0.1,daa842223a66aab2d2de1b17dc24dabc8f93dab1f2fe3a9bc670ff66c24d000a,3c8ff02b236c767784bb9fa42f3a3ff7f55166afdfb0f685b43e96d4cf3396f5,True,COMPLETE
DANNV2-FINAL-P4-ARM_A2_DANN_NEGATIVE_MATCHED-S43,ARM_A2_DANN_NEGATIVE_MATCHED,43,0.1,93cd2a5c25ece5fccfe03dad36c74b1df9818ec54492a85a0a5dbe137f975c9b,245bc6e44985eb75e5663c94b75ce37aabe562b7b4bf70f4ee5e568a64af5234,True,COMPLETE
DANNV2-FINAL-P4-ARM_A2_DANN_NEGATIVE_MATCHED-S44,ARM_A2_DANN_NEGATIVE_MATCHED,44,0.1,523fc426855951680c7f3bafed5a1f9aff1f85ea3b2e0efca67a96de5db50ec4,41c6d46e8b9d59c36cb9a692d461a338ce655f8ddf56ca0c6e879a4d9978fb82,True,COMPLETE
DANNV2-FINAL-P4-ARM_A2_DANN_NEGATIVE_MATCHED-S45,ARM_A2_DANN_NEGATIVE_MATCHED,45,0.1,aefb0a12f19453b8a8a1834e44ca2c7f0d5c9130b18fc99464429f5e8dee9833,69185c1ced2d0a74afb058369dbfae842ac1daada309f372a840ab98f62c860e,True,COMPLETE
DANNV2-FINAL-P4-ARM_A2_DANN_NEGATIVE_MATCHED-S46,ARM_A2_DANN_NEGATIVE_MATCHED,46,0.1,da865a81293a5421184cbf2dd35d153b199e4e19449a59b744bd58c772277eac,142756ae89d9947dd635a65ae71bad935da36ee904aa6f0b948c0c612bc4a673,True,COMPLETE
