dataset,arm,seed,class_index,f1,precision,recall
P4,ARM_A0_ERM_MATCHED,42,0,0.0,0.0,0.0
P4,ARM_A0_ERM_MATCHED,42,1,0.32537960954446854,0.3177966101694915,0.3333333333333333
P4,ARM_A0_ERM_MATCHED,42,2,0.19999999999999998,1.0,0.1111111111111111
P4,ARM_A0_ERM_MATCHED,42,3,0.2340341134470448,0.14244326412361177,0.6555555555555556
P4,ARM_A0_ERM_MATCHED,42,4,0.0,0.0,0.0
P4,ARM_A0_ERM_MATCHED,42,5,0.0,0.0,0.0
P4,ARM_A0_ERM_MATCHED,42,6,0.16387959866220733,0.3310810810810811,0.10888888888888888
P4,ARM_A0_ERM_MATCHED,43,0,0.10952380952380952,0.11794871794871795,0.10222222222222223
P4,ARM_A0_ERM_MATCHED,43,1,0.1303813038130381,0.14600550964187328,0.11777777777777777
P4,ARM_A0_ERM_MATCHED,43,2,0.0,0.0,0.0
P4,ARM_A0_ERM_MATCHED,43,3,0.025418060200668894,0.01818181818181818,0.042222222222222223
P4,ARM_A0_ERM_MATCHED,43,4,0.08424908424908426,0.07165109034267912,0.10222222222222223
P4,ARM_A0_ERM_MATCHED,43,5,0.0,0.0,0.0
P4,ARM_A0_ERM_MATCHED,43,6,0.15264797507788164,0.2552083333333333,0.10888888888888888
P4,ARM_A0_ERM_MATCHED,44,0,0.0,0.0,0.0
P4,ARM_A0_ERM_MATCHED,44,1,0.02666666666666667,0.09333333333333334,0.015555555555555555
P4,ARM_A0_ERM_MATCHED,44,2,0.09162717219589257,0.15846994535519127,0.06444444444444444
P4,ARM_A0_ERM_MATCHED,44,3,0.1980392156862745,0.1270440251572327,0.4488888888888889
P4,ARM_A0_ERM_MATCHED,44,4,0.15278838808250572,0.11641443538998836,0.2222222222222222
P4,ARM_A0_ERM_MATCHED,44,5,0.0,0.0,0.0
P4,ARM_A0_ERM_MATCHED,44,6,0.2836468885672938,0.4066390041493776,0.21777777777777776
P4,ARM_A0_ERM_MATCHED,45,0,0.227234753550543,0.18206157965194109,0.3022222222222222
P4,ARM_A0_ERM_MATCHED,45,1,0.01282051282051282,0.022988505747126436,0.008888888888888889
P4,ARM_A0_ERM_MATCHED,45,2,0.0,0.0,0.0
P4,ARM_A0_ERM_MATCHED,45,3,0.14141414141414144,0.09294199860237597,0.29555555555555557
P4,ARM_A0_ERM_MATCHED,45,4,0.16013628620102213,0.34306569343065696,0.10444444444444445
P4,ARM_A0_ERM_MATCHED,45,5,0.1620745542949757,0.2994011976047904,0.1111111111111111
P4,ARM_A0_ERM_MATCHED,45,6,0.21186440677966098,0.20242914979757085,0.2222222222222222
P4,ARM_A0_ERM_MATCHED,46,0,0.0,0.0,0.0
P4,ARM_A0_ERM_MATCHED,46,1,0.0,0.0,0.0
P4,ARM_A0_ERM_MATCHED,46,2,0.0,0.0,0.0
P4,ARM_A0_ERM_MATCHED,46,3,0.0,0.0,0.0
P4,ARM_A0_ERM_MATCHED,46,4,0.1540880503144654,0.26344086021505375,0.10888888888888888
P4,ARM_A0_ERM_MATCHED,46,5,0.22602089268755937,0.13178294573643412,0.7933333333333333
P4,ARM_A0_ERM_MATCHED,46,6,0.0,0.0,0.0
P4,ARM_A1_DOMAIN_POSITIVE_MATCHED,42,0,0.0,0.0,0.0
P4,ARM_A1_DOMAIN_POSITIVE_MATCHED,42,1,0.32195121951219513,0.6,0.22
P4,ARM_A1_DOMAIN_POSITIVE_MATCHED,42,2,0.0,0.0,0.0
P4,ARM_A1_DOMAIN_POSITIVE_MATCHED,42,3,0.144,0.09957446808510638,0.26
P4,ARM_A1_DOMAIN_POSITIVE_MATCHED,42,4,0.1964769647696477,0.14132553606237816,0.32222222222222224
P4,ARM_A1_DOMAIN_POSITIVE_MATCHED,42,5,0.0,0.0,0.0
P4,ARM_A1_DOMAIN_POSITIVE_MATCHED,42,6,0.14044943820224717,0.19083969465648856,0.1111111111111111
P4,ARM_A1_DOMAIN_POSITIVE_MATCHED,43,0,0.10021786492374728,0.09829059829059829,0.10222222222222223
P4,ARM_A1_DOMAIN_POSITIVE_MATCHED,43,1,0.1325581395348837,0.13902439024390245,0.12666666666666668
P4,ARM_A1_DOMAIN_POSITIVE_MATCHED,43,2,0.0,0.0,0.0
P4,ARM_A1_DOMAIN_POSITIVE_MATCHED,43,3,0.031837916063675836,0.023605150214592276,0.04888888888888889
P4,ARM_A1_DOMAIN_POSITIVE_MATCHED,43,4,0.08251121076233184,0.06917293233082707,0.10222222222222223
P4,ARM_A1_DOMAIN_POSITIVE_MATCHED,43,5,0.0,0.0,0.0
P4,ARM_A1_DOMAIN_POSITIVE_MATCHED,43,6,0.166383701188455,0.35251798561151076,0.10888888888888888
P4,ARM_A1_DOMAIN_POSITIVE_MATCHED,44,0,0.0,0.0,0.0
P4,ARM_A1_DOMAIN_POSITIVE_MATCHED,44,1,0.16666666666666663,0.13585434173669467,0.21555555555555556
P4,ARM_A1_DOMAIN_POSITIVE_MATCHED,44,2,0.21253985122210414,0.20366598778004075,0.2222222222222222
P4,ARM_A1_DOMAIN_POSITIVE_MATCHED,44,3,0.08338368580060423,0.05726141078838174,0.15333333333333332
P4,ARM_A1_DOMAIN_POSITIVE_MATCHED,44,4,0.17557251908396948,0.6216216216216216,0.10222222222222223
P4,ARM_A1_DOMAIN_POSITIVE_MATCHED,44,5,0.14322250639386186,0.1686746987951807,0.12444444444444444
P4,ARM_A1_DOMAIN_POSITIVE_MATCHED,44,6,0.15123456790123457,0.2474747474747475,0.10888888888888888
P4,ARM_A1_DOMAIN_POSITIVE_MATCHED,45,0,0.1588180978762696,0.1358609794628752,0.19111111111111112
P4,ARM_A1_DOMAIN_POSITIVE_MATCHED,45,1,0.12741751990898748,0.13053613053613053,0.12444444444444444
P4,ARM_A1_DOMAIN_POSITIVE_MATCHED,45,2,0.0,0.0,0.0
P4,ARM_A1_DOMAIN_POSITIVE_MATCHED,45,3,0.015267175572519085,0.014989293361884369,0.015555555555555555
P4,ARM_A1_DOMAIN_POSITIVE_MATCHED,45,4,0.0,0.0,0.0
P4,ARM_A1_DOMAIN_POSITIVE_MATCHED,45,5,0.1073972602739726,0.07127272727272728,0.21777777777777776
P4,ARM_A1_DOMAIN_POSITIVE_MATCHED,45,6,0.1785063752276867,0.494949494949495,0.10888888888888888
P4,ARM_A1_DOMAIN_POSITIVE_MATCHED,46,0,0.16561580496006723,0.10212545360290305,0.43777777777777777
P4,ARM_A1_DOMAIN_POSITIVE_MATCHED,46,1,0.3031988873435327,0.4052044609665427,0.24222222222222223
P4,ARM_A1_DOMAIN_POSITIVE_MATCHED,46,2,0.18281535648994512,0.5154639175257731,0.1111111111111111
P4,ARM_A1_DOMAIN_POSITIVE_MATCHED,46,3,0.11699779249448124,0.1162280701754386,0.11777777777777777
P4,ARM_A1_DOMAIN_POSITIVE_MATCHED,46,4,0.0,0.0,0.0
P4,ARM_A1_DOMAIN_POSITIVE_MATCHED,46,5,0.0,0.0,0.0
P4,ARM_A1_DOMAIN_POSITIVE_MATCHED,46,6,0.1320754716981132,0.1678082191780822,0.10888888888888888
P4,ARM_A2_DANN_NEGATIVE_MATCHED,42,0,0.10267857142857144,0.1031390134529148,0.10222222222222223
P4,ARM_A2_DANN_NEGATIVE_MATCHED,42,1,0.28132992327365725,0.3313253012048193,0.24444444444444444
P4,ARM_A2_DANN_NEGATIVE_MATCHED,42,2,0.15503875968992248,0.2564102564102564,0.1111111111111111
P4,ARM_A2_DANN_NEGATIVE_MATCHED,42,3,0.2969387755102041,0.19271523178807948,0.6466666666666666
P4,ARM_A2_DANN_NEGATIVE_MATCHED,42,4,0.23443223443223446,0.2601626016260163,0.21333333333333335
P4,ARM_A2_DANN_NEGATIVE_MATCHED,42,5,0.0,0.0,0.0
P4,ARM_A2_DANN_NEGATIVE_MATCHED,42,6,0.1557632398753894,0.2604166666666667,0.1111111111111111
P4,ARM_A2_DANN_NEGATIVE_MATCHED,43,0,0.08448117539026631,0.07198748043818466,0.10222222222222223
P4,ARM_A2_DANN_NEGATIVE_MATCHED,43,1,0.11100658513640639,0.09624796084828711,0.13111111111111112
P4,ARM_A2_DANN_NEGATIVE_MATCHED,43,2,0.21321961620469082,0.20491803278688525,0.2222222222222222
P4,ARM_A2_DANN_NEGATIVE_MATCHED,43,3,0.0323679727427598,0.026243093922651933,0.042222222222222223
P4,ARM_A2_DANN_NEGATIVE_MATCHED,43,4,0.10574712643678162,0.10952380952380952,0.10222222222222223
P4,ARM_A2_DANN_NEGATIVE_MATCHED,43,5,0.0,0.0,0.0
P4,ARM_A2_DANN_NEGATIVE_MATCHED,43,6,0.18081180811808117,0.532608695652174,0.10888888888888888
P4,ARM_A2_DANN_NEGATIVE_MATCHED,44,0,0.0,0.0,0.0
P4,ARM_A2_DANN_NEGATIVE_MATCHED,44,1,0.17434210526315788,0.13838120104438642,0.23555555555555555
P4,ARM_A2_DANN_NEGATIVE_MATCHED,44,2,0.0,0.0,0.0
