dataset,arm,seed,true_class,predicted_class,count
P4_BLOCK,ARM_A0_ERM_MATCHED,42,0,0,0
P4_BLOCK,ARM_A0_ERM_MATCHED,42,0,1,1
P4_BLOCK,ARM_A0_ERM_MATCHED,42,0,2,0
P4_BLOCK,ARM_A0_ERM_MATCHED,42,0,3,7
P4_BLOCK,ARM_A0_ERM_MATCHED,42,0,4,0
P4_BLOCK,ARM_A0_ERM_MATCHED,42,0,5,1
P4_BLOCK,ARM_A0_ERM_MATCHED,42,0,6,0
P4_BLOCK,ARM_A0_ERM_MATCHED,42,1,0,1
P4_BLOCK,ARM_A0_ERM_MATCHED,42,1,1,3
P4_BLOCK,ARM_A0_ERM_MATCHED,42,1,2,0
P4_BLOCK,ARM_A0_ERM_MATCHED,42,1,3,3
P4_BLOCK,ARM_A0_ERM_MATCHED,42,1,4,1
P4_BLOCK,ARM_A0_ERM_MATCHED,42,1,5,0
P4_BLOCK,ARM_A0_ERM_MATCHED,42,1,6,1
P4_BLOCK,ARM_A0_ERM_MATCHED,42,2,0,1
P4_BLOCK,ARM_A0_ERM_MATCHED,42,2,1,1
P4_BLOCK,ARM_A0_ERM_MATCHED,42,2,2,1
P4_BLOCK,ARM_A0_ERM_MATCHED,42,2,3,5
P4_BLOCK,ARM_A0_ERM_MATCHED,42,2,4,0
P4_BLOCK,ARM_A0_ERM_MATCHED,42,2,5,1
P4_BLOCK,ARM_A0_ERM_MATCHED,42,2,6,0
P4_BLOCK,ARM_A0_ERM_MATCHED,42,3,0,2
P4_BLOCK,ARM_A0_ERM_MATCHED,42,3,1,1
P4_BLOCK,ARM_A0_ERM_MATCHED,42,3,2,0
P4_BLOCK,ARM_A0_ERM_MATCHED,42,3,3,6
P4_BLOCK,ARM_A0_ERM_MATCHED,42,3,4,0
P4_BLOCK,ARM_A0_ERM_MATCHED,42,3,5,0
P4_BLOCK,ARM_A0_ERM_MATCHED,42,3,6,0
P4_BLOCK,ARM_A0_ERM_MATCHED,42,4,0,0
P4_BLOCK,ARM_A0_ERM_MATCHED,42,4,1,2
P4_BLOCK,ARM_A0_ERM_MATCHED,42,4,2,0
P4_BLOCK,ARM_A0_ERM_MATCHED,42,4,3,6
P4_BLOCK,ARM_A0_ERM_MATCHED,42,4,4,0
P4_BLOCK,ARM_A0_ERM_MATCHED,42,4,5,0
