test,passed,evidence
same_label_pairing,True,cfdf67ebb689033ffc0bab744005a6b7239986d60f609e0ca189fd060fe2830c
same_er_pairing,True,0
same_surface_pairing,True,A1
cross_position_difference,True,"{""tag=0|er=0|surface=A1|positions=P1-P2"": 4, ""tag=1|er=0|surface=A1|positions=P1-P2"": 4}"
within_position_equality,True,"{""tag=0|er=0|surface=A1|positions=P1-P1"": 2, ""tag=0|er=0|surface=A1|positions=P2-P2"": 2, ""tag=1|er=0|surface=A1|positions=P1-P1"": 2, ""tag=1|er=0|surface=A1|positions=P2-P2"": 2}"
within_different_repeat,True,True
training_only_partners,True,True
validation_parent_rejected,True,True
held_source_parent_rejected,True,True
p4_parent_rejected,True,True
deterministic_pairing,True,cfdf67ebb689033ffc0bab744005a6b7239986d60f609e0ca189fd060fe2830c
pair_coverage_above_99_percent,True,"[1.0, 1.0]"
beta_coefficient_generation,True,"[0.7417723536491394, 0.9653552174568176, 0.6251797676086426, 0.9939450621604919, 0.8045428395271301, 0.8423776030540466, 0.8953454494476318, 0.9594948887825012]"
symmetric_coefficient_bounds,True,"[0.6251797676086426, 0.9939450621604919]"
embedding_interpolation_shape,True,"[8, 4]"
parent_a_gradient,True,0.09582805633544922
parent_b_gradient,True,0.02126835100352764
encoder_gradient,True,0.31514108180999756
tagid_head_gradient,True,0.3400091230869293
original_loss_active,True,0.5620638728141785
mixup_loss_active,True,0.5572268962860107
beta_normalization,True,0.559645414352417
alpha_does_not_change_eligibility,True,"[0.2, 0.5, 1.0]"
no_domain_shift_no_label_change,True,True
mixed_class_pairs_rejected_by_constructor,True,True
small_true_label_subset_fitted,True,"{""final"": 0.005846233107149601, ""initial"": 0.5917891263961792}"
synthetic_cross_domain_shortcut_bridge,True,same-class cross-position convex segments supervised
validation_and_inference_bypass_mixup,True,evaluate_partition uses original embeddings only
environment_permutation_aggregate_invariance,True,loss is row mean and pairing keys are semantic
source_structure_expected_9450_rows,True,"[{""condition_block_count"": 63, ""first_difference_points"": 280, ""ordered_input_points"": 281, ""position"": ""P1"", ""rows_per_condition_block"": [50], ""sample_count"": 3150, ""status"": ""PASS"", ""tagid_count"": 7}, {""condition_block_count"": 63, ""first_difference_points"": 280, ""ordered_input_points"": 281, ""position"": ""P2"", ""rows_per_condition_block"": [50], ""sample_count"": 3150, ""status"": ""PASS"", ""tagid_count"": 7}, {""condition_block_count"": 63, ""first_difference_points"": 280, ""ordered_input_points"": 281, ""position"": ""P3"", ""rows_per_condition_block"": [50], ""sample_count"": 3150, ""status"": ""PASS"", ""tagid_count"": 7}]"
synthetic_p4_writer,True,"{""exact_final_writer_succeeded"": true, ""receipt"": {""development_fold"": null, ""event"": ""P4_METRICS_ATOMICALLY_PERSISTED"", ""execution_stage"": ""FINAL_P4_EVALUATION"", ""held_source_position"": null, ""sha256"": ""98788c7733aaa967efc18d80cc26e13b9833bba951dd13d41081993d201cf691"", ""target_position"": ""P4"", ""training_positions"": ""P1_P2_P3""}, ""silent_retry_rejected"": true, ""simulated_failure_detected"": true}"
governed_cross_position_pairing_coverage,False,"[{""eligible_partner_count"": 2100, ""fold_id"": ""S1"", ""method"": ""cross_position_mixup"", ""missing_pair_count"": 2100, ""pair_coverage"": 0.5, ""partition"": ""inner_train"", ""status"": ""FAIL_DOMAIN_AWARE_PAIRING_COVERAGE"", ""threshold"": 0.99, ""training_parent_count"": 4200}, {""eligible_partner_count"": 4200, ""fold_id"": ""S1"", ""method"": ""within_position_mixup"", ""missing_pair_count"": 0, ""pair_coverage"": 1.0, ""partition"": ""inner_train"", ""status"": ""PASS"", ""threshold"": 0.99, ""training_parent_count"": 4200}, {""eligible_partner_count"": 6300, ""fold_id"": ""S1"", ""method"": ""cross_position_mixup"", ""missing_pair_count"": 0, ""pair_coverage"": 1.0, ""partition"": ""outer_development"", ""status"": ""PASS"", ""threshold"": 0.99, ""training_parent_count"": 6300}, {""eligible_partner_count"": 6300, ""fold_id"": ""S1"", ""method"": ""within_position_mixup"", ""missing_pair_count"": 0, ""pair_coverage"": 1.0, ""partition"": ""outer_development"", ""status"": ""PASS"", ""threshold"": 0.99, ""training_parent_count"": 6300}, {""eligible_partner_count"": 2100, ""fold_id"": ""S2"", ""method"": ""cross_position_mixup"", ""missing_pair_count"": 2100, ""pair_coverage"": 0.5, ""partition"": ""inner_train"", ""status"": ""FAIL_DOMAIN_AWARE_PAIRING_COVERAGE"", ""threshold"": 0.99, ""training_parent_count"": 4200}, {""eligible_partner_count"": 4200, ""fold_id"": ""S2"", ""method"": ""within_position_mixup"", ""missing_pair_count"": 0, ""pair_coverage"": 1.0, ""partition"": ""inner_train"", ""status"": ""PASS"", ""threshold"": 0.99, ""training_parent_count"": 4200}, {""eligible_partner_count"": 6300, ""fold_id"": ""S2"", ""method"": ""cross_position_mixup"", ""missing_pair_count"": 0, ""pair_coverage"": 1.0, ""partition"": ""outer_development"", ""status"": ""PASS"", ""threshold"": 0.99, ""training_parent_count"": 6300}, {""eligible_partner_count"": 6300, ""fold_id"": ""S2"", ""method"": ""within_position_mixup"", ""missing_pair_count"": 0, ""pair_coverage"": 1.0, ""partition"": ""outer_development"", ""status"": ""PASS"", ""threshold"": 0.99, ""training_parent_count"": 6300}, {""eligible_partner_count"": 2100, ""fold_id"": ""S3"", ""method"": ""cross_position_mixup"", ""missing_pair_count"": 2100, ""pair_coverage"": 0.5, ""partition"": ""inner_train"", ""status"": ""FAIL_DOMAIN_AWARE_PAIRING_COVERAGE"", ""threshold"": 0.99, ""training_parent_count"": 4200}, {""eligible_partner_count"": 4200, ""fold_id"": ""S3"", ""method"": ""within_position_mixup"", ""missing_pair_count"": 0, ""pair_coverage"": 1.0, ""partition"": ""inner_train"", ""status"": ""PASS"", ""threshold"": 0.99, ""training_parent_count"": 4200}, {""eligible_partner_count"": 6300, ""fold_id"": ""S3"", ""method"": ""cross_position_mixup"", ""missing_pair_count"": 0, ""pair_coverage"": 1.0, ""partition"": ""outer_development"", ""status"": ""PASS"", ""threshold"": 0.99, ""training_parent_count"": 6300}, {""eligible_partner_count"": 6300, ""fold_id"": ""S3"", ""method"": ""within_position_mixup"", ""missing_pair_count"": 0, ""pair_coverage"": 1.0, ""partition"": ""outer_development"", ""status"": ""PASS"", ""threshold"": 0.99, ""training_parent_count"": 6300}]"
