treatment,readout,accuracy_mean,accuracy_population_sd,macro_f1_mean,macro_f1_population_sd,worst_class_recall_mean,seed_count,endpoint_status
T0_MATCHED_SUPERVISED_ONLY,HEAD,0.15898412698412698,0.037688516662689346,0.12393913021386423,0.042423127849714866,0.0,5,PRIMARY
T0_MATCHED_SUPERVISED_ONLY,NCM,0.12971428571428573,0.013765629931003137,0.10462476692031264,0.015163973206240461,0.0,5,SECONDARY_DIAGNOSTIC
T1_PAPER4_SOURCE_ONLY_SSL,HEAD,0.13523809523809524,0.02173061671227702,0.10300340210951409,0.021918857503301338,0.0,5,PRIMARY
T1_PAPER4_SOURCE_ONLY_SSL,NCM,0.12533333333333332,0.025249094139198104,0.09998793270726788,0.021889977896477945,0.0,5,SECONDARY_DIAGNOSTIC
T2_DATA1_ONLY_SSL,HEAD,0.14431746031746032,0.0402424499068135,0.10402892183660215,0.04158183059637109,0.0,5,PRIMARY
T2_DATA1_ONLY_SSL,NCM,0.14495238095238094,0.015021744548215988,0.11379225639339419,0.021086981471938947,0.0,5,SECONDARY_DIAGNOSTIC
T3_JOINT_BALANCED_SSL,HEAD,0.1436825396825397,0.03719876405698306,0.10675799799371952,0.030260401326918655,0.0,5,PRIMARY
T3_JOINT_BALANCED_SSL,NCM,0.1424126984126984,0.016040513082963614,0.1107070181546351,0.02525724264811583,0.0,5,SECONDARY_DIAGNOSTIC
T4_JOINT_PHYSICS_AWARE_SSL,HEAD,0.13326984126984126,0.025745542437563513,0.1091046521561297,0.024569669166220057,0.0,5,PRIMARY
T4_JOINT_PHYSICS_AWARE_SSL,NCM,0.1608888888888889,0.02036146029281132,0.1457123855831167,0.024863971043156432,0.0,5,SECONDARY_DIAGNOSTIC
