hypothesis,treatment,control,readout,metric,per_seed_difference,mean_difference,population_sd,improved_seed_count,practical_abs_mean_ge_0_02,stored_exact
H1_external_data1_contribution,T3_JOINT_BALANCED_SSL,T1_PAPER4_SOURCE_ONLY_SSL,head,accuracy,"[-0.024126984126984122, 0.011428571428571427, 0.07714285714285714, -0.050476190476190466, 0.028253968253968254]",0.008444444444444445,0.043939352142090875,3,False,True
H1_external_data1_contribution,T3_JOINT_BALANCED_SSL,T1_PAPER4_SOURCE_ONLY_SSL,head,macro_f1,"[-0.03914881537689206, 0.04325721861753744, 0.05734832259322109, -0.024729270511102033, -0.017954475901737293]",0.003754595884205428,0.03887431513440314,2,False,True
H1_external_data1_contribution,T3_JOINT_BALANCED_SSL,T1_PAPER4_SOURCE_ONLY_SSL,ncm,accuracy,"[0.03746031746031747, 0.0, -0.020317460317460317, 0.06730158730158729, 0.0009523809523809545]",0.01707936507936508,0.031266473108426535,3,False,True
H1_external_data1_contribution,T3_JOINT_BALANCED_SSL,T1_PAPER4_SOURCE_ONLY_SSL,ncm,macro_f1,"[0.028495684070928187, -0.003045334866014715, -0.02046475791528389, 0.06608177066453555, -0.017471934717329052]",0.010719085447367216,0.03267310620199607,2,False,True
H2_data1_only_transfer,T2_DATA1_ONLY_SSL,T0_MATCHED_SUPERVISED_ONLY,head,accuracy,"[0.0006349206349206271, -0.07936507936507936, 0.08571428571428572, -0.07746031746031748, -0.0028571428571428636]",-0.014666666666666672,0.060957142671145485,2,False,True
H2_data1_only_transfer,T2_DATA1_ONLY_SSL,T0_MATCHED_SUPERVISED_ONLY,head,macro_f1,"[0.058197126310347985, -0.1023882782679837, 0.04884569152290835, -0.09513440563674062, -0.009071175814842389]",-0.019910208377262074,0.06842064892443725,2,False,True
H2_data1_only_transfer,T2_DATA1_ONLY_SSL,T0_MATCHED_SUPERVISED_ONLY,ncm,accuracy,"[0.03936507936507937, 0.031746031746031744, -0.021904761904761913, -0.016825396825396827, 0.0438095238095238]",0.015238095238095235,0.028560844600488845,3,False,True
H2_data1_only_transfer,T2_DATA1_ONLY_SSL,T0_MATCHED_SUPERVISED_ONLY,ncm,macro_f1,"[0.03449274255393611, 0.021822252881655582, -0.024009614454417794, -0.02514477213653929, 0.03867683852077315]",0.009167489473081552,0.028108236100965023,3,False,True
H3_ssl_without_external_data,T1_PAPER4_SOURCE_ONLY_SSL,T0_MATCHED_SUPERVISED_ONLY,head,accuracy,"[-0.019047619047619063, -0.033333333333333326, -0.034285714285714294, -0.07301587301587303, 0.040952380952380935]",-0.023746031746031755,0.03698236932944468,1,True,True
H3_ssl_without_external_data,T1_PAPER4_SOURCE_ONLY_SSL,T0_MATCHED_SUPERVISED_ONLY,head,macro_f1,"[0.020206721790813648, -0.07624757278216017, -0.052964846804298735, -0.05401590211710762, 0.0583429593910022]",-0.020935728104350137,0.05129790247843218,2,True,True
H3_ssl_without_external_data,T1_PAPER4_SOURCE_ONLY_SSL,T0_MATCHED_SUPERVISED_ONLY,ncm,accuracy,"[0.016507936507936513, 0.015873015873015872, 0.0012698412698412542, -0.06952380952380953, 0.013968253968253963]",-0.0043809523809523855,0.033041748102391306,4,False,True
H3_ssl_without_external_data,T1_PAPER4_SOURCE_ONLY_SSL,T0_MATCHED_SUPERVISED_ONLY,ncm,macro_f1,"[0.016399161422820815, 0.01930774038796916, 0.014817023996878634, -0.07209536179424089, -0.0016127350786514782]",-0.004636834213044752,0.03450827866893716,3,False,True
H4_physics_aware_objective,T4_JOINT_PHYSICS_AWARE_SSL,T3_JOINT_BALANCED_SSL,head,accuracy,"[0.04380952380952381, -0.06095238095238095, -0.0438095238095238, 0.020317460317460317, -0.011428571428571427]",-0.01041269841269841,0.03887166447189807,2,False,True
H4_physics_aware_objective,T4_JOINT_PHYSICS_AWARE_SSL,T3_JOINT_BALANCED_SSL,head,macro_f1,"[0.034106951785141115, -0.0642030014364949, 0.006469261191916251, 0.0043783835062878446, 0.03098167576520075]",0.0023466541624102112,0.03543631312779623,4,False,True
H4_physics_aware_objective,T4_JOINT_PHYSICS_AWARE_SSL,T3_JOINT_BALANCED_SSL,ncm,accuracy,"[-0.00888888888888889, 0.0022222222222222088, 0.06317460317460319, -0.009523809523809518, 0.04539682539682541]",0.01847619047619048,0.03006562068192118,3,False,True
H4_physics_aware_objective,T4_JOINT_PHYSICS_AWARE_SSL,T3_JOINT_BALANCED_SSL,ncm,macro_f1,"[0.018156011436429087, 0.0027123316521889124, 0.0717855738117837, -0.002818493127716995, 0.0851914133697232]",0.03500536742848158,0.03641100979974409,4,True,True
H5_historical_anchor_relevance,T0_MATCHED_SUPERVISED_ONLY,CANONICAL_STRICT_DG_ANCHOR,head,accuracy,"[-0.02857142857142858, 0.06158730158730158, 0.002539682539682536, 0.017142857142857154, -0.040952380952380935]",0.002349206349206351,0.036219203301987295,3,False,True
H5_historical_anchor_relevance,T0_MATCHED_SUPERVISED_ONLY,CANONICAL_STRICT_DG_ANCHOR,head,macro_f1,"[-0.04136930771433385, 0.08527101793789282, 0.017528846776823842, 0.017840849129819925, -0.020730173233758226]",0.011708246579288904,0.04324915578464051,3,False,True
