position,metric,run_count,mean,population_standard_deviation,median,minimum,maximum,confidence_interval_point_estimate,confidence_interval_95_low,confidence_interval_95_high,confidence_interval_estimand,confidence_interval_method
P1,initial_held_accuracy,15,0.1304126984126984,0.02699898750469468,0.14285714285714285,0.047619047619047616,0.14285714285714285,,,,not_applicable,not_applicable
P1,initial_held_macro_f1,15,0.03322410581318721,0.005530074416592887,0.03571428571428571,0.015664160401002505,0.03571428571428571,,,,not_applicable,not_applicable
P1,training_accuracy,15,0.6934920634920635,0.2167401352269371,0.7033333333333334,0.19047619047619047,0.9976190476190476,,,,not_applicable,not_applicable
P1,training_macro_f1,15,0.6630186477368241,0.24375948244419415,0.6869733321539152,0.10869565217391305,0.9976189616364454,,,,not_applicable,not_applicable
P1,validation_accuracy,15,0.2874285714285714,0.08245089241399359,0.2857142857142857,0.14285714285714285,0.4942857142857143,,,,not_applicable,not_applicable
P1,validation_macro_f1,15,0.23518608694526844,0.09964388711367109,0.1864418546528311,0.13999885668553133,0.5264864387313366,,,,not_applicable,not_applicable
P1,held_row_accuracy,15,0.26882539682539686,0.07747837416394938,0.2742857142857143,0.14285714285714285,0.3923809523809524,0.2688253968253968,0.21472857142857144,0.32565079365079364,mean across five seed metrics after pooling all 63 held condition blocks per seed,10000-resample TagID-stratified condition-block cluster percentile bootstrap; paired across five seeds
P1,held_row_macro_f1,15,0.19979858960905264,0.09066955146026208,0.20143798270724148,0.06923866803579287,0.3697108965031682,0.23478662203705483,0.1788093506864088,0.2846197403228124,mean across five seed metrics after pooling all 63 held condition blocks per seed,10000-resample TagID-stratified condition-block cluster percentile bootstrap; paired across five seeds
P1,held_block_accuracy,15,0.26666666666666666,0.0793015618844241,0.2857142857142857,0.14285714285714285,0.42857142857142855,0.26666666666666666,0.2126984126984127,0.3238095238095238,mean across five seed metrics after pooling all 63 held condition blocks per seed,10000-resample TagID-stratified condition-block cluster percentile bootstrap; paired across five seeds
P1,held_block_macro_f1,15,0.19382373151280716,0.08726882153843442,0.17588126159554732,0.06932773109243698,0.376530612244898,0.22853822151868908,0.17291183290662407,0.27892312605008057,mean across five seed metrics after pooling all 63 held condition blocks per seed,10000-resample TagID-stratified condition-block cluster percentile bootstrap; paired across five seeds
P1,train_to_held_accuracy_gap,15,0.4246666666666667,0.16821298093159356,0.44809523809523805,0.0,0.6557142857142857,,,,not_applicable,not_applicable
P1,uniform_seven_class_chance,15,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285,,,,not_applicable,not_applicable
P1,empirical_row_majority_baseline,15,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285,,,,not_applicable,not_applicable
P1,condition_block_majority_baseline,15,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285,,,,not_applicable,not_applicable
P2,initial_held_accuracy,15,0.13663492063492064,0.015867427587717194,0.14285714285714285,0.09523809523809523,0.14285714285714285,,,,not_applicable,not_applicable
P2,initial_held_macro_f1,15,0.03849768273104892,0.008849655169470212,0.03571428571428571,0.03017046311660884,0.06887230283789414,,,,not_applicable,not_applicable
P2,training_accuracy,15,0.6235873015873016,0.3350986753137454,0.731904761904762,0.14285714285714285,0.9995238095238095,,,,not_applicable,not_applicable
P2,training_macro_f1,15,0.5811848960630834,0.375711105346427,0.6842901492225894,0.03571428571428571,0.9995238082010545,,,,not_applicable,not_applicable
P2,validation_accuracy,15,0.22704761904761905,0.093943776305703,0.21285714285714286,0.07142857142857142,0.42428571428571427,,,,not_applicable,not_applicable
P2,validation_macro_f1,15,0.16513676182167203,0.07559298801744557,0.17857142857142858,0.06349206349206349,0.33095763452283894,,,,not_applicable,not_applicable
P2,held_row_accuracy,15,0.1499047619047619,0.05635735241811615,0.14285714285714285,0.05047619047619047,0.23809523809523808,0.1499047619047619,0.10812539682539682,0.1947936507936508,mean across five seed metrics after pooling all 63 held condition blocks per seed,10000-resample TagID-stratified condition-block cluster percentile bootstrap; paired across five seeds
