position,fold,seed,evaluation_level,class_index,TagID,precision,recall,f1,support
P1,1,42,row,0,1,0.0,0.0,0.0,150
P1,1,42,row,1,2,0.0,0.0,0.0,150
P1,1,42,row,2,3,0.0,0.0,0.0,150
P1,1,42,row,3,4,0.0,0.0,0.0,150
P1,1,42,row,4,5,0.0,0.0,0.0,150
P1,1,42,row,5,6,0.199203187250996,0.3333333333333333,0.24937655860349128,150
P1,1,42,row,6,7,0.14285714285714285,0.6666666666666666,0.23529411764705882,150
P1,1,42,condition_block,0,1,0.0,0.0,0.0,3
P1,1,42,condition_block,1,2,0.0,0.0,0.0,3
P1,1,42,condition_block,2,3,0.0,0.0,0.0,3
P1,1,42,condition_block,3,4,0.0,0.0,0.0,3
P1,1,42,condition_block,4,5,0.0,0.0,0.0,3
P1,1,42,condition_block,5,6,0.2,0.3333333333333333,0.25,3
P1,1,42,condition_block,6,7,0.14285714285714285,0.6666666666666666,0.23529411764705882,3
P1,1,43,row,0,1,0.0,0.0,0.0,150
P1,1,43,row,1,2,0.10714285714285714,0.04,0.05825242718446602,150
P1,1,43,row,2,3,0.0,0.0,0.0,150
P1,1,43,row,3,4,0.2801120448179272,0.6666666666666666,0.39447731755424065,150
P1,1,43,row,4,5,0.14285714285714285,0.3333333333333333,0.2,150
P1,1,43,row,5,6,0.0,0.0,0.0,150
P1,1,43,row,6,7,0.4219409282700422,0.6666666666666666,0.5167958656330749,150
P1,1,43,condition_block,0,1,0.0,0.0,0.0,3
P1,1,43,condition_block,1,2,0.0,0.0,0.0,3
P1,1,43,condition_block,2,3,0.0,0.0,0.0,3
P1,1,43,condition_block,3,4,0.2857142857142857,0.6666666666666666,0.4,3
P1,1,43,condition_block,4,5,0.14285714285714285,0.3333333333333333,0.2,3
P1,1,43,condition_block,5,6,0.0,0.0,0.0,3
P1,1,43,condition_block,6,7,0.4,0.6666666666666666,0.5,3
P1,1,44,row,0,1,0.0,0.0,0.0,150
P1,1,44,row,1,2,0.23703703703703705,0.21333333333333335,0.22456140350877193,150
P1,1,44,row,2,3,0.05660377358490566,0.02,0.029556650246305417,150
P1,1,44,row,3,4,0.0,0.0,0.0,150
P1,1,44,row,4,5,0.22932917316692666,0.98,0.37168141592920356,150
P1,1,44,row,5,6,0.6756756756756757,0.3333333333333333,0.44642857142857145,150
P1,1,44,row,6,7,0.3424657534246575,0.3333333333333333,0.33783783783783783,150
P1,1,44,condition_block,0,1,0.0,0.0,0.0,3
P1,1,44,condition_block,1,2,0.0,0.0,0.0,3
P1,1,44,condition_block,2,3,0.0,0.0,0.0,3
P1,1,44,condition_block,3,4,0.0,0.0,0.0,3
P1,1,44,condition_block,4,5,0.23076923076923078,1.0,0.375,3
P1,1,44,condition_block,5,6,0.5,0.3333333333333333,0.4,3
P1,1,44,condition_block,6,7,0.3333333333333333,0.3333333333333333,0.3333333333333333,3
P1,1,45,row,0,1,0.15772870662460567,1.0,0.2724795640326976,150
P1,1,45,row,1,2,0.0,0.0,0.0,150
P1,1,45,row,2,3,0.0,0.0,0.0,150
P1,1,45,row,3,4,1.0,0.3333333333333333,0.5,150
P1,1,45,row,4,5,0.0,0.0,0.0,150
P1,1,45,row,5,6,0.0,0.0,0.0,150
P1,1,45,row,6,7,0.0,0.0,0.0,150
P1,1,45,condition_block,0,1,0.15789473684210525,1.0,0.2727272727272727,3
P1,1,45,condition_block,1,2,0.0,0.0,0.0,3
P1,1,45,condition_block,2,3,0.0,0.0,0.0,3
P1,1,45,condition_block,3,4,1.0,0.3333333333333333,0.5,3
P1,1,45,condition_block,4,5,0.0,0.0,0.0,3
P1,1,45,condition_block,5,6,0.0,0.0,0.0,3
P1,1,45,condition_block,6,7,0.0,0.0,0.0,3
P1,1,46,row,0,1,0.0,0.0,0.0,150
P1,1,46,row,1,2,0.10714285714285714,0.04,0.05825242718446602,150
P1,1,46,row,2,3,0.05660377358490566,0.02,0.029556650246305417,150
P1,1,46,row,3,4,0.4975124378109453,0.6666666666666666,0.5698005698005698,150
P1,1,46,row,4,5,0.25773195876288657,0.3333333333333333,0.29069767441860467,150
P1,1,46,row,5,6,0.3333333333333333,0.6666666666666666,0.4444444444444444,150
P1,1,46,row,6,7,0.4065040650406504,0.6666666666666666,0.5050505050505051,150
P1,1,46,condition_block,0,1,0.0,0.0,0.0,3
P1,1,46,condition_block,1,2,0.0,0.0,0.0,3
P1,1,46,condition_block,2,3,0.0,0.0,0.0,3
P1,1,46,condition_block,3,4,0.5,0.6666666666666666,0.5714285714285714,3
P1,1,46,condition_block,4,5,0.25,0.3333333333333333,0.2857142857142857,3
P1,1,46,condition_block,5,6,0.3333333333333333,0.6666666666666666,0.4444444444444444,3
