position,fold,seed,predicted_class_index,predicted_TagID,row_count,row_fraction
P1,1,42,0,1,0,0.0
P1,1,42,1,2,50,0.047619047619047616
P1,1,42,2,3,49,0.04666666666666667
P1,1,42,3,4,0,0.0
P1,1,42,4,5,0,0.0
P1,1,42,5,6,251,0.23904761904761904
P1,1,42,6,7,700,0.6666666666666666
P1,1,43,0,1,0,0.0
P1,1,43,1,2,56,0.05333333333333334
P1,1,43,2,3,50,0.047619047619047616
P1,1,43,3,4,357,0.34
P1,1,43,4,5,350,0.3333333333333333
P1,1,43,5,6,0,0.0
P1,1,43,6,7,237,0.2257142857142857
P1,1,44,0,1,0,0.0
P1,1,44,1,2,135,0.12857142857142856
P1,1,44,2,3,53,0.05047619047619047
P1,1,44,3,4,1,0.0009523809523809524
P1,1,44,4,5,641,0.6104761904761905
P1,1,44,5,6,74,0.07047619047619047
P1,1,44,6,7,146,0.13904761904761906
P1,1,45,0,1,951,0.9057142857142857
P1,1,45,1,2,0,0.0
P1,1,45,2,3,49,0.04666666666666667
P1,1,45,3,4,50,0.047619047619047616
P1,1,45,4,5,0,0.0
P1,1,45,5,6,0,0.0
P1,1,45,6,7,0,0.0
P1,1,46,0,1,0,0.0
P1,1,46,1,2,56,0.05333333333333334
P1,1,46,2,3,53,0.05047619047619047
P1,1,46,3,4,201,0.19142857142857142
P1,1,46,4,5,194,0.18476190476190477
P1,1,46,5,6,300,0.2857142857142857
P1,1,46,6,7,246,0.2342857142857143
P1,2,42,0,1,553,0.5266666666666666
P1,2,42,1,2,97,0.09238095238095238
P1,2,42,2,3,0,0.0
P1,2,42,3,4,400,0.38095238095238093
P1,2,42,4,5,0,0.0
P1,2,42,5,6,0,0.0
P1,2,42,6,7,0,0.0
P1,2,43,0,1,0,0.0
P1,2,43,1,2,200,0.19047619047619047
P1,2,43,2,3,50,0.047619047619047616
P1,2,43,3,4,593,0.5647619047619048
P1,2,43,4,5,0,0.0
P1,2,43,5,6,50,0.047619047619047616
P1,2,43,6,7,157,0.14952380952380953
P1,2,44,0,1,0,0.0
P1,2,44,1,2,46,0.04380952380952381
P1,2,44,2,3,198,0.18857142857142858
P1,2,44,3,4,455,0.43333333333333335
P1,2,44,4,5,204,0.19428571428571428
P1,2,44,5,6,0,0.0
P1,2,44,6,7,147,0.14
P1,2,45,0,1,296,0.2819047619047619
P1,2,45,1,2,299,0.28476190476190477
P1,2,45,2,3,151,0.1438095238095238
P1,2,45,3,4,200,0.19047619047619047
P1,2,45,4,5,0,0.0
P1,2,45,5,6,104,0.09904761904761905
P1,2,45,6,7,0,0.0
P1,2,46,0,1,47,0.04476190476190476
P1,2,46,1,2,193,0.1838095238095238
P1,2,46,2,3,153,0.1457142857142857
P1,2,46,3,4,101,0.09619047619047619
P1,2,46,4,5,499,0.47523809523809524
P1,2,46,5,6,0,0.0
P1,2,46,6,7,57,0.054285714285714284
P1,3,42,0,1,200,0.19047619047619047
P1,3,42,1,2,150,0.14285714285714285
P1,3,42,2,3,0,0.0
P1,3,42,3,4,100,0.09523809523809523
P1,3,42,4,5,0,0.0
P1,3,42,5,6,13,0.012380952380952381
P1,3,42,6,7,587,0.559047619047619
P1,3,43,0,1,49,0.04666666666666667
P1,3,43,1,2,150,0.14285714285714285
P1,3,43,2,3,50,0.047619047619047616
P1,3,43,3,4,213,0.20285714285714285
P1,3,43,4,5,238,0.22666666666666666
P1,3,43,5,6,0,0.0
P1,3,43,6,7,350,0.3333333333333333
P1,3,44,0,1,0,0.0
P1,3,44,1,2,100,0.09523809523809523
P1,3,44,2,3,0,0.0
P1,3,44,3,4,0,0.0
P1,3,44,4,5,0,0.0
P1,3,44,5,6,750,0.7142857142857143
P1,3,44,6,7,200,0.19047619047619047
P1,3,45,0,1,443,0.4219047619047619
P1,3,45,1,2,0,0.0
P1,3,45,2,3,306,0.2914285714285714
P1,3,45,3,4,250,0.23809523809523808
P1,3,45,4,5,1,0.0009523809523809524
P1,3,45,5,6,50,0.047619047619047616
P1,3,45,6,7,0,0.0
P1,3,46,0,1,0,0.0
P1,3,46,1,2,647,0.6161904761904762
P1,3,46,2,3,0,0.0
P1,3,46,3,4,250,0.23809523809523808
P1,3,46,4,5,0,0.0
P1,3,46,5,6,100,0.09523809523809523
P1,3,46,6,7,53,0.05047619047619047
P2,1,42,0,1,0,0.0
P2,1,42,1,2,3,0.002857142857142857
P2,1,42,2,3,103,0.0980952380952381
P2,1,42,3,4,50,0.047619047619047616
P2,1,42,4,5,100,0.09523809523809523
P2,1,42,5,6,647,0.6161904761904762
P2,1,42,6,7,147,0.14
P2,1,43,0,1,100,0.09523809523809523
P2,1,43,1,2,250,0.23809523809523808
P2,1,43,2,3,153,0.1457142857142857
P2,1,43,3,4,100,0.09523809523809523
P2,1,43,4,5,147,0.14
P2,1,43,5,6,100,0.09523809523809523
P2,1,43,6,7,200,0.19047619047619047
P2,1,44,0,1,50,0.047619047619047616
P2,1,44,1,2,50,0.047619047619047616
P2,1,44,2,3,150,0.14285714285714285
P2,1,44,3,4,350,0.3333333333333333
P2,1,44,4,5,0,0.0
P2,1,44,5,6,0,0.0
P2,1,44,6,7,450,0.42857142857142855
P2,1,45,0,1,0,0.0
P2,1,45,1,2,300,0.2857142857142857
P2,1,45,2,3,100,0.09523809523809523
P2,1,45,3,4,100,0.09523809523809523
P2,1,45,4,5,50,0.047619047619047616
P2,1,45,5,6,450,0.42857142857142855
P2,1,45,6,7,50,0.047619047619047616
P2,1,46,0,1,0,0.0
P2,1,46,1,2,50,0.047619047619047616
P2,1,46,2,3,950,0.9047619047619048
P2,1,46,3,4,50,0.047619047619047616
P2,1,46,4,5,0,0.0
P2,1,46,5,6,0,0.0
P2,1,46,6,7,0,0.0
P2,2,42,0,1,51,0.04857142857142857
P2,2,42,1,2,0,0.0
P2,2,42,2,3,50,0.047619047619047616
P2,2,42,3,4,0,0.0
P2,2,42,4,5,0,0.0
P2,2,42,5,6,0,0.0
P2,2,42,6,7,949,0.9038095238095238
P2,2,43,0,1,352,0.3352380952380952
P2,2,43,1,2,151,0.1438095238095238
P2,2,43,2,3,447,0.4257142857142857
P2,2,43,3,4,50,0.047619047619047616
P2,2,43,4,5,0,0.0
P2,2,43,5,6,0,0.0
P2,2,43,6,7,50,0.047619047619047616
P2,2,44,0,1,0,0.0
P2,2,44,1,2,0,0.0
P2,2,44,2,3,0,0.0
P2,2,44,3,4,1050,1.0
P2,2,44,4,5,0,0.0
P2,2,44,5,6,0,0.0
P2,2,44,6,7,0,0.0
P2,2,45,0,1,0,0.0
P2,2,45,1,2,0,0.0
P2,2,45,2,3,0,0.0
P2,2,45,3,4,0,0.0
P2,2,45,4,5,747,0.7114285714285714
P2,2,45,5,6,0,0.0
P2,2,45,6,7,303,0.2885714285714286
P2,2,46,0,1,0,0.0
P2,2,46,1,2,0,0.0
P2,2,46,2,3,0,0.0
P2,2,46,3,4,0,0.0
P2,2,46,4,5,0,0.0
P2,2,46,5,6,1050,1.0
P2,2,46,6,7,0,0.0
P2,3,42,0,1,0,0.0
P2,3,42,1,2,244,0.23238095238095238
P2,3,42,2,3,53,0.05047619047619047
P2,3,42,3,4,44,0.0419047619047619
P2,3,42,4,5,609,0.58
P2,3,42,5,6,50,0.047619047619047616
P2,3,42,6,7,50,0.047619047619047616
P2,3,43,0,1,101,0.09619047619047619
P2,3,43,1,2,695,0.6619047619047619
P2,3,43,2,3,54,0.05142857142857143
P2,3,43,3,4,0,0.0
P2,3,43,4,5,150,0.14285714285714285
P2,3,43,5,6,0,0.0
P2,3,43,6,7,50,0.047619047619047616
P2,3,44,0,1,149,0.1419047619047619
P2,3,44,1,2,0,0.0
P2,3,44,2,3,4,0.0038095238095238095
P2,3,44,3,4,352,0.3352380952380952
P2,3,44,4,5,439,0.4180952380952381
P2,3,44,5,6,0,0.0
P2,3,44,6,7,106,0.10095238095238095
P2,3,45,0,1,0,0.0
P2,3,45,1,2,0,0.0
P2,3,45,2,3,0,0.0
P2,3,45,3,4,0,0.0
P2,3,45,4,5,951,0.9057142857142857
