position,fold,seed,evaluation_level,true_class_index,true_TagID,predicted_0,predicted_1,predicted_2,predicted_3,predicted_4,predicted_5,predicted_6
P1,1,42,row,0,1,0,0,0,0,0,1,149
P1,1,42,row,1,2,0,0,49,0,0,50,51
P1,1,42,row,2,3,0,50,0,0,0,0,100
P1,1,42,row,3,4,0,0,0,0,0,50,100
P1,1,42,row,4,5,0,0,0,0,0,50,100
P1,1,42,row,5,6,0,0,0,0,0,50,100
P1,1,42,row,6,7,0,0,0,0,0,50,100
P1,1,42,condition_block,0,1,0,0,0,0,0,0,3
P1,1,42,condition_block,1,2,0,0,1,0,0,1,1
P1,1,42,condition_block,2,3,0,1,0,0,0,0,2
P1,1,42,condition_block,3,4,0,0,0,0,0,1,2
P1,1,42,condition_block,4,5,0,0,0,0,0,1,2
P1,1,42,condition_block,5,6,0,0,0,0,0,1,2
P1,1,42,condition_block,6,7,0,0,0,0,0,1,2
P1,1,43,row,0,1,0,0,0,112,0,0,38
P1,1,43,row,1,2,0,6,50,44,50,0,0
P1,1,43,row,2,3,0,50,0,0,50,0,50
P1,1,43,row,3,4,0,0,0,100,50,0,0
P1,1,43,row,4,5,0,0,0,100,50,0,0
P1,1,43,row,5,6,0,0,0,1,100,0,49
P1,1,43,row,6,7,0,0,0,0,50,0,100
P1,1,43,condition_block,0,1,0,0,0,2,0,0,1
P1,1,43,condition_block,1,2,0,0,1,1,1,0,0
P1,1,43,condition_block,2,3,0,1,0,0,1,0,1
P1,1,43,condition_block,3,4,0,0,0,2,1,0,0
P1,1,43,condition_block,4,5,0,0,0,2,1,0,0
P1,1,43,condition_block,5,6,0,0,0,0,2,0,1
P1,1,43,condition_block,6,7,0,0,0,0,1,0,2
P1,1,44,row,0,1,0,0,0,1,149,0,0
P1,1,44,row,1,2,0,32,50,0,44,24,0
P1,1,44,row,2,3,0,50,3,0,50,0,47
P1,1,44,row,3,4,0,0,0,0,150,0,0
P1,1,44,row,4,5,0,3,0,0,147,0,0
P1,1,44,row,5,6,0,0,0,0,51,50,49
P1,1,44,row,6,7,0,50,0,0,50,0,50
P1,1,44,condition_block,0,1,0,0,0,0,3,0,0
P1,1,44,condition_block,1,2,0,0,1,0,1,1,0
P1,1,44,condition_block,2,3,0,1,0,0,1,0,1
P1,1,44,condition_block,3,4,0,0,0,0,3,0,0
P1,1,44,condition_block,4,5,0,0,0,0,3,0,0
P1,1,44,condition_block,5,6,0,0,0,0,1,1,1
P1,1,44,condition_block,6,7,0,1,0,0,1,0,1
P1,1,45,row,0,1,150,0,0,0,0,0,0
P1,1,45,row,1,2,101,0,49,0,0,0,0
P1,1,45,row,2,3,150,0,0,0,0,0,0
P1,1,45,row,3,4,100,0,0,50,0,0,0
P1,1,45,row,4,5,150,0,0,0,0,0,0
P1,1,45,row,5,6,150,0,0,0,0,0,0
P1,1,45,row,6,7,150,0,0,0,0,0,0
P1,1,45,condition_block,0,1,3,0,0,0,0,0,0
P1,1,45,condition_block,1,2,2,0,1,0,0,0,0
P1,1,45,condition_block,2,3,3,0,0,0,0,0,0
P1,1,45,condition_block,3,4,2,0,0,1,0,0,0
P1,1,45,condition_block,4,5,3,0,0,0,0,0,0
P1,1,45,condition_block,5,6,3,0,0,0,0,0,0
P1,1,45,condition_block,6,7,3,0,0,0,0,0,0
P1,1,46,row,0,1,0,0,0,50,50,0,50
P1,1,46,row,1,2,0,6,50,0,44,50,0
P1,1,46,row,2,3,0,50,3,0,50,0,47
P1,1,46,row,3,4,0,0,0,100,0,50,0
P1,1,46,row,4,5,0,0,0,50,50,50,0
P1,1,46,row,5,6,0,0,0,1,0,100,49
P1,1,46,row,6,7,0,0,0,0,0,50,100
P1,1,46,condition_block,0,1,0,0,0,1,1,0,1
P1,1,46,condition_block,1,2,0,0,1,0,1,1,0
P1,1,46,condition_block,2,3,0,1,0,0,1,0,1
P1,1,46,condition_block,3,4,0,0,0,2,0,1,0
P1,1,46,condition_block,4,5,0,0,0,1,1,1,0
P1,1,46,condition_block,5,6,0,0,0,0,0,2,1
P1,1,46,condition_block,6,7,0,0,0,0,0,1,2
P1,2,42,row,0,1,100,0,0,50,0,0,0
P1,2,42,row,1,2,100,50,0,0,0,0,0
P1,2,42,row,2,3,103,47,0,0,0,0,0
P1,2,42,row,3,4,0,0,0,150,0,0,0
P1,2,42,row,4,5,100,0,0,50,0,0,0
P1,2,42,row,5,6,50,0,0,100,0,0,0
P1,2,42,row,6,7,100,0,0,50,0,0,0
P1,2,42,condition_block,0,1,2,0,0,1,0,0,0
P1,2,42,condition_block,1,2,2,1,0,0,0,0,0
P1,2,42,condition_block,2,3,2,1,0,0,0,0,0
P1,2,42,condition_block,3,4,0,0,0,3,0,0,0
P1,2,42,condition_block,4,5,2,0,0,1,0,0,0
P1,2,42,condition_block,5,6,1,0,0,2,0,0,0
P1,2,42,condition_block,6,7,2,0,0,1,0,0,0
P1,2,43,row,0,1,0,50,0,100,0,0,0
P1,2,43,row,1,2,0,50,50,50,0,0,0
P1,2,43,row,2,3,0,50,0,0,0,50,50
P1,2,43,row,3,4,0,0,0,150,0,0,0
P1,2,43,row,4,5,0,0,0,100,0,0,50
P1,2,43,row,5,6,0,50,0,93,0,0,7
P1,2,43,row,6,7,0,0,0,100,0,0,50
P1,2,43,condition_block,0,1,0,1,0,2,0,0,0
P1,2,43,condition_block,1,2,0,1,1,1,0,0,0
P1,2,43,condition_block,2,3,0,1,0,0,0,1,1
P1,2,43,condition_block,3,4,0,0,0,3,0,0,0
P1,2,43,condition_block,4,5,0,0,0,2,0,0,1
P1,2,43,condition_block,5,6,0,1,0,2,0,0,0
P1,2,43,condition_block,6,7,0,0,0,2,0,0,1
P1,2,44,row,0,1,0,0,47,6,50,0,47
P1,2,44,row,1,2,0,46,54,0,50,0,0
P1,2,44,row,2,3,0,0,97,0,3,0,50
P1,2,44,row,3,4,0,0,0,99,51,0,0
P1,2,44,row,4,5,0,0,0,150,0,0,0
P1,2,44,row,5,6,0,0,0,96,50,0,4
P1,2,44,row,6,7,0,0,0,104,0,0,46
P1,2,44,condition_block,0,1,0,0,1,0,1,0,1
P1,2,44,condition_block,1,2,0,1,1,0,1,0,0
P1,2,44,condition_block,2,3,0,0,2,0,0,0,1
P1,2,44,condition_block,3,4,0,0,0,2,1,0,0
P1,2,44,condition_block,4,5,0,0,0,3,0,0,0
P1,2,44,condition_block,5,6,0,0,0,2,1,0,0
P1,2,44,condition_block,6,7,0,0,0,2,0,0,1
P1,2,45,row,0,1,50,50,50,0,0,0,0
P1,2,45,row,1,2,0,96,54,0,0,0,0
P1,2,45,row,2,3,50,3,47,0,0,50,0
P1,2,45,row,3,4,0,50,0,100,0,0,0
P1,2,45,row,4,5,50,50,0,0,0,50,0
P1,2,45,row,5,6,46,50,0,50,0,4,0
P1,2,45,row,6,7,100,0,0,50,0,0,0
P1,2,45,condition_block,0,1,1,1,1,0,0,0,0
P1,2,45,condition_block,1,2,0,2,1,0,0,0,0
P1,2,45,condition_block,2,3,1,0,1,0,0,1,0
P1,2,45,condition_block,3,4,0,1,0,2,0,0,0
P1,2,45,condition_block,4,5,1,1,0,0,0,1,0
P1,2,45,condition_block,5,6,1,1,0,1,0,0,0
P1,2,45,condition_block,6,7,2,0,0,1,0,0,0
P1,2,46,row,0,1,44,47,3,0,56,0,0
P1,2,46,row,1,2,0,50,50,0,50,0,0
P1,2,46,row,2,3,3,47,100,0,0,0,0
P1,2,46,row,3,4,0,0,0,50,100,0,0
P1,2,46,row,4,5,0,49,0,1,100,0,0
P1,2,46,row,5,6,0,0,0,50,93,0,7
P1,2,46,row,6,7,0,0,0,0,100,0,50
P1,2,46,condition_block,0,1,0,1,0,0,2,0,0
P1,2,46,condition_block,1,2,0,1,1,0,1,0,0
