method,eta,fold_id,held_position,seed,status
erm,,S1,P1,42,COMPLETE
groupdro,0.01,S1,P1,42,COMPLETE
groupdro,0.05,S1,P1,42,COMPLETE
groupdro,0.1,S1,P1,42,COMPLETE
groupdro,0.2,S1,P1,42,COMPLETE
erm,,S1,P1,43,COMPLETE
groupdro,0.01,S1,P1,43,COMPLETE
groupdro,0.05,S1,P1,43,COMPLETE
groupdro,0.1,S1,P1,43,COMPLETE
groupdro,0.2,S1,P1,43,COMPLETE
erm,,S1,P1,44,COMPLETE
groupdro,0.01,S1,P1,44,COMPLETE
groupdro,0.05,S1,P1,44,COMPLETE
groupdro,0.1,S1,P1,44,COMPLETE
groupdro,0.2,S1,P1,44,COMPLETE
erm,,S1,P1,45,COMPLETE
groupdro,0.01,S1,P1,45,COMPLETE
groupdro,0.05,S1,P1,45,COMPLETE
groupdro,0.1,S1,P1,45,COMPLETE
groupdro,0.2,S1,P1,45,COMPLETE
erm,,S1,P1,46,COMPLETE
groupdro,0.01,S1,P1,46,COMPLETE
groupdro,0.05,S1,P1,46,COMPLETE
groupdro,0.1,S1,P1,46,COMPLETE
groupdro,0.2,S1,P1,46,COMPLETE
erm,,S2,P2,42,COMPLETE
groupdro,0.01,S2,P2,42,COMPLETE
groupdro,0.05,S2,P2,42,COMPLETE
groupdro,0.1,S2,P2,42,COMPLETE
groupdro,0.2,S2,P2,42,COMPLETE
erm,,S2,P2,43,COMPLETE
groupdro,0.01,S2,P2,43,COMPLETE
groupdro,0.05,S2,P2,43,COMPLETE
groupdro,0.1,S2,P2,43,COMPLETE
groupdro,0.2,S2,P2,43,COMPLETE
erm,,S2,P2,44,COMPLETE
groupdro,0.01,S2,P2,44,COMPLETE
groupdro,0.05,S2,P2,44,COMPLETE
groupdro,0.1,S2,P2,44,COMPLETE
groupdro,0.2,S2,P2,44,COMPLETE
erm,,S2,P2,45,COMPLETE
groupdro,0.01,S2,P2,45,COMPLETE
groupdro,0.05,S2,P2,45,COMPLETE
groupdro,0.1,S2,P2,45,COMPLETE
groupdro,0.2,S2,P2,45,COMPLETE
erm,,S2,P2,46,COMPLETE
groupdro,0.01,S2,P2,46,COMPLETE
groupdro,0.05,S2,P2,46,COMPLETE
groupdro,0.1,S2,P2,46,COMPLETE
groupdro,0.2,S2,P2,46,COMPLETE
erm,,S3,P3,42,COMPLETE
groupdro,0.01,S3,P3,42,COMPLETE
groupdro,0.05,S3,P3,42,COMPLETE
groupdro,0.1,S3,P3,42,COMPLETE
groupdro,0.2,S3,P3,42,COMPLETE
erm,,S3,P3,43,COMPLETE
groupdro,0.01,S3,P3,43,COMPLETE
groupdro,0.05,S3,P3,43,COMPLETE
groupdro,0.1,S3,P3,43,COMPLETE
groupdro,0.2,S3,P3,43,COMPLETE
erm,,S3,P3,44,COMPLETE
groupdro,0.01,S3,P3,44,COMPLETE
groupdro,0.05,S3,P3,44,COMPLETE
groupdro,0.1,S3,P3,44,COMPLETE
groupdro,0.2,S3,P3,44,COMPLETE
erm,,S3,P3,45,COMPLETE
groupdro,0.01,S3,P3,45,COMPLETE
groupdro,0.05,S3,P3,45,COMPLETE
groupdro,0.1,S3,P3,45,COMPLETE
groupdro,0.2,S3,P3,45,COMPLETE
erm,,S3,P3,46,COMPLETE
groupdro,0.01,S3,P3,46,COMPLETE
groupdro,0.05,S3,P3,46,COMPLETE
groupdro,0.1,S3,P3,46,COMPLETE
groupdro,0.2,S3,P3,46,COMPLETE
