method,eta,fold_id,held_position,seed,macro_f1,accuracy,worst_class_recall,selected_epoch,train_to_held_macro_f1_gap,q_entropy,max_q_weight,largest_q_position,held_prediction_hash,status
erm,,S1,P1,42,0.2202650339968499,0.24984126984126984,0.10888888888888888,5,0.6055234975466709,,,,1954bc9876c4daae39e2b75ba2318c138969ca5adddc1b5703a8823b09b07c7b,COMPLETE
erm,,S1,P1,43,0.16391325442721333,0.2057142857142857,0.0,5,0.623062604065789,,,,74dfa54f9847d781c75eca4ce9fed5b0bd05a82f779667e52d28579c82bff4b6,COMPLETE
erm,,S1,P1,44,0.11098343045154448,0.16031746031746033,0.0,20,0.8864781144772828,,,,ef363e7845a0d9893e886a648bb81eae2fe8316de246579552efa787bfceb134,COMPLETE
erm,,S1,P1,45,0.1625687428010111,0.25206349206349205,0.0,4,0.640321054513281,,,,46cf9827a932f27a642c08442988e8ba4e0653228b59e155899d3bdb122b1fb3,COMPLETE
erm,,S1,P1,46,0.16827180904430955,0.2365079365079365,0.0,4,0.597791008437472,,,,f5a193e74723bc22639e4bf16645715f4d6c6290fdd09111cbd6251ed70faa17,COMPLETE
erm,,S2,P2,42,0.22509952005217393,0.23873015873015874,0.0,8,0.7603423335384962,,,,b58355f12f56f770d94ad8e0b33f855a453ccb507981a61b31e8902061203aae,COMPLETE
erm,,S2,P2,43,0.17432231402174833,0.17365079365079364,0.1111111111111111,12,0.816492866821501,,,,c238d7b105867009c42fcaf88e4a91a5f27d2061ee0197ff2754159529b56037,COMPLETE
erm,,S2,P2,44,0.13425655195506986,0.15555555555555556,0.0,6,0.5674758240487734,,,,7820b4d6a697ae9b0eb1674bfc7f7f7e6c97df2bfdd14307d1f29e468fe0973e,COMPLETE
erm,,S2,P2,45,0.14926119615392333,0.1742857142857143,0.0,16,0.8461420582706936,,,,4a8574419acea4b9794dd007c3d5b91c51c285fbcada11e8d067e486d18dd40b,COMPLETE
erm,,S2,P2,46,0.17280143795666786,0.1746031746031746,0.006666666666666667,8,0.8039891257275202,,,,55f0d5b14e6cf957a46a387712796272578af45851400290778fe426c6792e16,COMPLETE
erm,,S3,P3,42,0.11623207728050715,0.1907936507936508,0.0,3,0.34932188527007724,,,,ce8c401f449ca4a3f848f28502139376b552f7456f44714b8a24301853d68acf,COMPLETE
erm,,S3,P3,43,0.12205749370230103,0.18063492063492065,0.0,7,0.8325727211604763,,,,1f36c70c261e5570f9b512d78d4b68bb62e243d05fe2b8a64091976584889dc5,COMPLETE
erm,,S3,P3,44,0.11141039108330832,0.16031746031746033,0.0,5,0.6028007844566287,,,,72ea07cbc64da0b4e5500fa60f5a05009cf0b4b042737d49f4fcf86dca2cecef,COMPLETE
erm,,S3,P3,45,0.09580745606862139,0.16603174603174603,0.0,18,0.9026047115273969,,,,6b44e1306c1776ae292bd16b4cd74f7297ae88b41684fa5890f6580267cf0bd8,COMPLETE
erm,,S3,P3,46,0.10998072675746559,0.17587301587301588,0.0,21,0.8887498689778335,,,,b1aad683c7b48c5dfd2c8f099d13222800166dd60a1e0c45ea7ae4f383faaa2c,COMPLETE
groupdro,0.05,S1,P1,42,0.20490410146869706,0.2536507936507936,0.0,5,0.6420787788017992,0.6909521891711583,0.5331163473410045,P2,ae169706339ddd27d2b651a784c664c6f6415ea5137ed4065c335336ad40a740,COMPLETE
groupdro,0.05,S1,P1,43,0.20815620659887127,0.26761904761904765,0.0,2,0.343365528851312,0.6931432174249919,0.5014076806665448,P2,bbf36fadde3551fedd2d66985004b76f0f9897dd5ab4e2d786dad7a2af1b263c,COMPLETE
groupdro,0.05,S1,P1,44,0.1316718223330429,0.1761904761904762,0.0,16,0.8638852901707896,0.690493694645858,0.5364083650180723,P2,c050e22ae7b5de5ce967500e18152ca1356ba49236675ffea951061b383f9dfb,COMPLETE
groupdro,0.05,S1,P1,45,0.11010013565653488,0.2038095238095238,0.0,4,0.5200554174132355,0.6915340039760904,0.5283928595853444,P2,aee13062e3a3a3544e024d267337b2122fd0ccf1f5e3de30ac261897d849927b,COMPLETE
groupdro,0.05,S1,P1,46,0.19692746967306082,0.2492063492063492,0.0,4,0.5777092298721859,0.6927616284205194,0.5138834899561923,P2,30aef8b5e84d92748120a2e959557e623911634d578ce3d9a1fc0db5f659c5d9,COMPLETE
groupdro,0.05,S2,P2,42,0.19979601513717343,0.25206349206349205,0.0,10,0.7935645483044773,0.6925742478356738,0.5169237008158383,P1,40c83a65326f5ca1c80457a2b6c32e24cd566b573fa0682d99c293274855a206,COMPLETE
groupdro,0.05,S2,P2,43,0.1983942977578891,0.22063492063492063,0.0,11,0.7901979121737481,0.6928879451929317,0.5113844842932666,P1,e0b6547ba054d97ef1be9c150ed7c4036dd04eb0de09d4a1f44105b2ccc75519,COMPLETE
groupdro,0.05,S2,P2,44,0.15595688338163463,0.15968253968253968,0.0,13,0.8386391995596734,0.692079372318513,0.5231022522257609,P1,07c1706696bc642f23508b0c8f65dbdd01cf72cf898bc44f75f9aca2fee9cd69,COMPLETE
