method,eta,fold_id,held_position,seed,stage,epoch,optimizer_step,group_position,group_loss,q_weight
groupdro,0.01,S1,P1,42,inner_selection,1,0,P2,2.007885217666626,0.4999760782718841
groupdro,0.01,S1,P1,42,inner_selection,1,0,P3,2.017453908920288,0.5000239217281159
groupdro,0.01,S1,P1,42,inner_selection,1,1,P2,2.1168904304504395,0.49988103986010896
groupdro,0.01,S1,P1,42,inner_selection,1,1,P3,2.1549057960510254,0.500118960139891
groupdro,0.01,S1,P1,42,inner_selection,1,2,P2,2.0292396545410156,0.499797165404956
groupdro,0.01,S1,P1,42,inner_selection,1,2,P3,2.0627894401550293,0.500202834595044
groupdro,0.01,S1,P1,42,inner_selection,1,3,P2,1.953657627105713,0.499731683458812
groupdro,0.01,S1,P1,42,inner_selection,1,3,P3,1.9798504114151,0.500268316541188
groupdro,0.01,S1,P1,42,inner_selection,1,4,P2,1.960308313369751,0.4997111699306366
groupdro,0.01,S1,P1,42,inner_selection,1,4,P3,1.9685137271881104,0.5002888300693633
groupdro,0.01,S1,P1,42,inner_selection,1,5,P2,1.9810104370117188,0.49969833288276816
groupdro,0.01,S1,P1,42,inner_selection,1,5,P3,1.986145257949829,0.5003016671172319
groupdro,0.01,S1,P1,42,inner_selection,1,6,P2,1.9588605165481567,0.4996785009350393
groupdro,0.01,S1,P1,42,inner_selection,1,6,P3,1.9667932987213135,0.5003214990649607
groupdro,0.01,S1,P1,42,inner_selection,1,7,P2,1.9530073404312134,0.4996422604336822
groupdro,0.01,S1,P1,42,inner_selection,1,7,P3,1.967503547668457,0.5003577395663179
groupdro,0.01,S1,P1,42,inner_selection,1,8,P2,1.934605360031128,0.49960980572276864
groupdro,0.01,S1,P1,42,inner_selection,1,8,P3,1.947587251663208,0.5003901942772313
groupdro,0.01,S1,P1,42,inner_selection,1,9,P2,1.9251363277435303,0.499584395683159
groupdro,0.01,S1,P1,42,inner_selection,1,9,P3,1.935300350189209,0.500415604316841
groupdro,0.01,S1,P1,42,inner_selection,1,10,P2,1.9058704376220703,0.4995349226743142
groupdro,0.01,S1,P1,42,inner_selection,1,10,P3,1.9256596565246582,0.5004650773256858
groupdro,0.01,S1,P1,42,inner_selection,1,11,P2,1.9110801219940186,0.499492504770985
groupdro,0.01,S1,P1,42,inner_selection,1,11,P3,1.9280472993850708,0.5005074952290149
groupdro,0.01,S1,P1,42,inner_selection,1,12,P2,1.9257380962371826,0.4994743331223312
groupdro,0.01,S1,P1,42,inner_selection,1,12,P3,1.933006763458252,0.5005256668776688
groupdro,0.01,S1,P1,42,inner_selection,1,13,P2,1.915995478630066,0.4994194912538575
groupdro,0.01,S1,P1,42,inner_selection,1,13,P3,1.9379322528839111,0.5005805087461425
groupdro,0.01,S1,P1,42,inner_selection,1,14,P2,1.9033753871917725,0.49937791677625365
groupdro,0.01,S1,P1,42,inner_selection,1,14,P3,1.920005202293396,0.5006220832237464
groupdro,0.01,S1,P1,42,inner_selection,1,15,P2,1.8958581686019897,0.49933925756531417
groupdro,0.01,S1,P1,42,inner_selection,1,15,P3,1.9113218784332275,0.500660742434686
groupdro,0.01,S1,P1,42,inner_selection,1,16,P2,1.8821126222610474,0.49928681362358446
groupdro,0.01,S1,P1,42,inner_selection,1,16,P3,1.903090238571167,0.5007131863764155
groupdro,0.01,S1,P1,42,inner_selection,2,0,P2,1.8833390474319458,0.499238505952225
groupdro,0.01,S1,P1,42,inner_selection,2,0,P3,1.9026621580123901,0.5007614940477749
groupdro,0.01,S1,P1,42,inner_selection,2,1,P2,1.8905513286590576,0.49921795729989904
groupdro,0.01,S1,P1,42,inner_selection,2,1,P3,1.898770809173584,0.500782042700101
groupdro,0.01,S1,P1,42,inner_selection,2,2,P2,1.8866173028945923,0.49918985020487
groupdro,0.01,S1,P1,42,inner_selection,2,2,P3,1.8978601694107056,0.50081014979513
groupdro,0.01,S1,P1,42,inner_selection,2,3,P2,1.8805180788040161,0.4991635580713043
groupdro,0.01,S1,P1,42,inner_selection,2,3,P3,1.8910349607467651,0.5008364419286957
groupdro,0.01,S1,P1,42,inner_selection,2,4,P2,1.8638193607330322,0.4991250425567471
groupdro,0.01,S1,P1,42,inner_selection,2,4,P3,1.8792256116867065,0.5008749574432529
groupdro,0.01,S1,P1,42,inner_selection,2,5,P2,1.8611475229263306,0.4991164207715431
groupdro,0.01,S1,P1,42,inner_selection,2,5,P3,1.8645962476730347,0.5008835792284569
groupdro,0.01,S1,P1,42,inner_selection,2,6,P2,1.8546278476715088,0.49908747327315434
groupdro,0.01,S1,P1,42,inner_selection,2,6,P3,1.8662068843841553,0.5009125267268456
groupdro,0.01,S1,P1,42,inner_selection,2,7,P2,1.845956802368164,0.49903926520566533
groupdro,0.01,S1,P1,42,inner_selection,2,7,P3,1.8652400970458984,0.5009607347943347
groupdro,0.01,S1,P1,42,inner_selection,2,8,P2,1.8439645767211914,0.4989793526401583
groupdro,0.01,S1,P1,42,inner_selection,2,8,P3,1.8679296970367432,0.5010206473598418
groupdro,0.01,S1,P1,42,inner_selection,2,9,P2,1.837154746055603,0.49893641393863947
groupdro,0.01,S1,P1,42,inner_selection,2,9,P3,1.85433030128479,0.5010635860613605
groupdro,0.01,S1,P1,42,inner_selection,2,10,P2,1.8271881341934204,0.49887048913450593
groupdro,0.01,S1,P1,42,inner_selection,2,10,P3,1.8535581827163696,0.501129510865494
groupdro,0.01,S1,P1,42,inner_selection,2,11,P2,1.8198316097259521,0.49885438285076605
groupdro,0.01,S1,P1,42,inner_selection,2,11,P3,1.8262741565704346,0.501145617149234
groupdro,0.01,S1,P1,42,inner_selection,2,12,P2,1.8205899000167847,0.4988128553286668
