method,seed,position_probe_balanced_accuracy,position_probe_macro_f1,tagid_probe_macro_f1,position_silhouette,tagid_silhouette,within_class_cross_position_distance,between_class_distance,position_to_tagid_separability_ratio,condition_block_disjoint_probe
erm,42,0.8571428571428571,0.855710108490695,0.8397218536537422,0.032793400964690474,0.0590987098701293,1.073380525441508,1.6182081409397415,0.5548919940342976,True
erm,43,0.7936507936507936,0.7914656403028495,0.9523318099169492,0.03698799381699788,0.10737833301387509,1.1844137542598976,1.8598506072706154,0.34446422084256434,True
erm,44,0.746031746031746,0.7416627952522795,0.8568480023588381,0.030447339457018396,0.07269121098464547,1.1397192373224794,1.7146991774157903,0.4188586081397072,True
erm,45,0.8253968253968255,0.8243982048143614,1.0,0.032205074321518846,0.21153438271399638,1.3978747129956954,2.643046432074093,0.1522451050667328,True
erm,46,0.8253968253968255,0.821949221949222,0.9840778416629811,0.02790478771840185,0.1346003906560715,1.1592519324923114,2.002947799178183,0.2073158003657186,True
groupdro,42,0.8571428571428571,0.8559805310377392,0.8554007567939456,0.03318940882824971,0.06558647110964536,1.0801176475085827,1.6465720254605363,0.5060404724743419,True
groupdro,43,0.8095238095238096,0.8062200956937798,0.8733905843038968,0.03910864437305169,0.07518358909969029,1.1579721526227058,1.6831399693215094,0.520175278160707,True
groupdro,44,0.7619047619047619,0.7589917947323088,1.0,0.02385190087750171,0.19688507781901804,1.233283710776632,2.4022133051178436,0.12114631104459327,True
groupdro,45,0.8095238095238094,0.8087912087912089,1.0,0.038607647718833106,0.18231387086379092,1.4083351311147463,2.433297357865678,0.21176473043939364,True
groupdro,46,0.8095238095238096,0.8075434063194161,0.8379699248120299,0.033419888103766164,0.062147140920644446,1.1057344211109938,1.6096008208887445,0.5377542330779134,True
