method,seed,eta,status,epochs,checkpoint_sha256,checkpoint_model_state_sha256,q_entropy,max_q_weight,final_q
erm,42,,COMPLETE,5,2c4f98904eb56ae4710cfd4eb2f0a78d26161612c01b66c355fa729006bed491,a34b4c0bee1d0e12c74f6c3d6081df41ebac9487cc95fcf945b3bf7a08ca5e60,,,{}
erm,43,,COMPLETE,7,84a56ad33f02d45b3ede03b7ea61cca8c105cbcf96071f1181361f68a451e8b4,93812528b7d104db2b1381636256b72aef567998d37e34ed30303ef96263673d,,,{}
erm,44,,COMPLETE,6,104d845f5ee824d0e80fb54bd6766ef36b6b26684c9b812984482dc1949eaf26,eeb52d8c56f9870b6384ad4531a0e7a60cb8274bbab5b692d96eb4eeeac7c257,,,{}
erm,45,,COMPLETE,16,4e254f43f5358f0ba6ac3f7f362126a8aa7f0e5b7c703243bc1b66ec8cb812e7,e5a587fec2a875ee369752759cf22d99fc8dbcd819e6ca81f769d6c8d28a37b2,,,{}
erm,46,,COMPLETE,8,8d2a26836f7f22614ca4e4ccd9c63fb44110222d734568a91a55dd721947dfe6,0a090f2154eda4b48ff1b3d486c4e5a600f54f5b0c2646d9a4cd5b7740016f56,,,{}
groupdro,42,0.05,COMPLETE,5,044e88479ee4bedee8a5f0e9f74833b02ef63bafbaec213c4e326805a8d0351c,03901378d4d7a6e3effa9f12b68dbe685542fc45792d3462c08a6edf9b671030,1.0929084045839235,0.38286514113495823,"{""P1"": 0.2988475113755253, ""P2"": 0.38286514113495823, ""P3"": 0.3182873474895164}"
groupdro,43,0.05,COMPLETE,6,a9801c94da0dee38bc4616b9e43eded7af956b5584b44548d6c3e31b1a714c6b,3b492bb277d7025ea0614fbdef50ccc270acf0f5f28c7aecf16fa1f323e18d54,1.0915347932338153,0.3764914032111969,"{""P1"": 0.34215262980809685, ""P2"": 0.3764914032111969, ""P3"": 0.2813559669807062}"
groupdro,44,0.05,COMPLETE,13,acdef5a31b6130c2ae9434e69e13a060f54136d2e90cb5c092bf212e1120b91c,31278e8e2cb75c01eeb5c568af119297707a9ec3a470fd1785e4bf4ec55d651e,1.0985251155992184,0.339563319339616,"{""P1"": 0.339563319339616, ""P2"": 0.3300254385991163, ""P3"": 0.3304112420612677}"
groupdro,45,0.05,COMPLETE,13,9fb10aa8b404118147a921e7c8dcfe7e44c1cc35f597738d7e69a883e3c20e72,197eaa6609ece6de1cc56a9875fba59994a84feec4c6bf83e39abe7ce36f765a,1.0984117830784035,0.3419007318373989,"{""P1"": 0.3419007318373989, ""P2"": 0.3324937086793548, ""P3"": 0.3256055594832463}"
groupdro,46,0.05,COMPLETE,5,1f08b075d9b3e89a4af14e42189749704df4fe0d8660573be8cb69644fab6a3c,43c35eecc906862409536ea190d0c898ee8cef707627fdf0b8f9ac0933bd2121,1.0869355124692008,0.40576597095252465,"{""P1"": 0.288734213172122, ""P2"": 0.40576597095252465, ""P3"": 0.30549981587535335}"
