method,seed,block_macro_f1,block_accuracy,row_macro_f1,row_accuracy,mean_within_block_agreement,block_confusion_matrix,execution_stage,training_scope,development_fold,source_training_provenance,target_position,P4_EVALUATION_STATUS
erm,42,0.123014023014023,0.14285714285714285,0.1248567794091758,0.14952380952380953,0.9768253968253967,"[[4, 0, 0, 2, 0, 3, 0], [2, 0, 0, 4, 0, 2, 1], [2, 0, 0, 3, 0, 4, 0], [3, 0, 0, 2, 0, 4, 0], [1, 0, 0, 5, 1, 1, 1], [4, 0, 0, 4, 0, 1, 0], [2, 0, 0, 4, 0, 2, 1]]",FINAL_P4_EVALUATION,P1_P2_P3,,S1_S2_S3_AGGREGATE,P4,RECOVERED_POST_ORIGINAL_LABEL_STAGE_FAILURE
groupdro,42,0.12768298952509477,0.15873015873015872,0.13954753006987808,0.1673015873015873,0.9577777777777776,"[[3, 0, 0, 1, 4, 0, 1], [2, 0, 1, 4, 0, 0, 2], [2, 0, 0, 3, 1, 1, 2], [3, 0, 0, 2, 2, 1, 1], [1, 0, 0, 4, 3, 0, 1], [4, 0, 0, 5, 0, 0, 0], [2, 0, 0, 4, 0, 1, 2]]",FINAL_P4_EVALUATION,P1_P2_P3,,S1_S2_S3_AGGREGATE,P4,RECOVERED_POST_ORIGINAL_LABEL_STAGE_FAILURE
erm,43,0.09165376495425757,0.12698412698412698,0.0868514676412866,0.11968253968253968,0.9780952380952379,"[[1, 0, 1, 3, 4, 0, 0], [1, 0, 1, 5, 2, 0, 0], [2, 0, 0, 2, 4, 0, 1], [3, 0, 0, 2, 2, 0, 2], [2, 0, 0, 2, 4, 0, 1], [3, 0, 0, 3, 3, 0, 0], [4, 0, 1, 2, 1, 0, 1]]",FINAL_P4_EVALUATION,P1_P2_P3,,S1_S2_S3_AGGREGATE,P4,RECOVERED_POST_ORIGINAL_LABEL_STAGE_FAILURE
groupdro,43,0.1068422260968845,0.14285714285714285,0.10371767889032224,0.1361904761904762,0.9717460317460315,"[[1, 0, 1, 3, 4, 0, 0], [1, 0, 0, 5, 2, 1, 0], [2, 0, 0, 3, 4, 0, 0], [3, 1, 0, 3, 1, 0, 1], [2, 0, 0, 3, 4, 0, 0], [3, 0, 0, 5, 1, 0, 0], [2, 0, 1, 4, 1, 0, 1]]",FINAL_P4_EVALUATION,P1_P2_P3,,S1_S2_S3_AGGREGATE,P4,RECOVERED_POST_ORIGINAL_LABEL_STAGE_FAILURE
erm,44,0.1179566166089077,0.19047619047619047,0.11931268302839117,0.19174603174603175,0.991111111111111,"[[0, 0, 0, 5, 4, 0, 0], [0, 0, 1, 5, 3, 0, 0], [0, 0, 0, 6, 3, 0, 0], [1, 0, 0, 8, 0, 0, 0], [0, 0, 1, 5, 2, 0, 1], [0, 1, 0, 8, 0, 0, 0], [0, 0, 0, 7, 0, 0, 2]]",FINAL_P4_EVALUATION,P1_P2_P3,,S1_S2_S3_AGGREGATE,P4,RECOVERED_POST_ORIGINAL_LABEL_STAGE_FAILURE
groupdro,44,0.11372445795459853,0.14285714285714285,0.11514146020272442,0.1434920634920635,0.9622222222222222,"[[0, 2, 1, 4, 2, 0, 0], [2, 3, 0, 4, 0, 0, 0], [1, 2, 0, 3, 2, 1, 0], [1, 4, 0, 4, 0, 0, 0], [1, 2, 0, 3, 1, 1, 1], [3, 1, 0, 5, 0, 0, 0], [1, 0, 1, 6, 0, 0, 1]]",FINAL_P4_EVALUATION,P1_P2_P3,,S1_S2_S3_AGGREGATE,P4,RECOVERED_POST_ORIGINAL_LABEL_STAGE_FAILURE
erm,45,0.10678726035868892,0.1111111111111111,0.10900500024061864,0.11460317460317461,0.9736507936507934,"[[1, 0, 0, 3, 2, 0, 3], [0, 2, 0, 4, 2, 0, 1], [3, 0, 0, 3, 2, 0, 1], [3, 2, 1, 1, 0, 0, 2], [2, 1, 0, 2, 1, 1, 2], [2, 1, 0, 6, 0, 0, 0], [1, 0, 1, 5, 0, 0, 2]]",FINAL_P4_EVALUATION,P1_P2_P3,,S1_S2_S3_AGGREGATE,P4,RECOVERED_POST_ORIGINAL_LABEL_STAGE_FAILURE
groupdro,45,0.14135864135864137,0.14285714285714285,0.1346650239092886,0.13428571428571429,0.9666666666666667,"[[1, 0, 0, 6, 2, 0, 0], [0, 2, 0, 6, 1, 0, 0], [2, 0, 0, 4, 1, 2, 0], [3, 2, 0, 3, 0, 0, 1], [1, 0, 0, 5, 2, 1, 0], [2, 0, 0, 7, 0, 0, 0], [2, 0, 0, 5, 0, 1, 1]]",FINAL_P4_EVALUATION,P1_P2_P3,,S1_S2_S3_AGGREGATE,P4,RECOVERED_POST_ORIGINAL_LABEL_STAGE_FAILURE
erm,46,0.12278197992483707,0.14285714285714285,0.1269338253655914,0.1457142857142857,0.9733333333333334,"[[1, 0, 0, 5, 1, 0, 2], [3, 0, 1, 4, 1, 0, 0], [3, 0, 1, 4, 0, 0, 1], [3, 1, 0, 4, 0, 0, 1], [1, 0, 0, 5, 1, 1, 1], [2, 0, 0, 6, 1, 0, 0], [2, 0, 0, 5, 0, 0, 2]]",FINAL_P4_EVALUATION,P1_P2_P3,,S1_S2_S3_AGGREGATE,P4,RECOVERED_POST_ORIGINAL_LABEL_STAGE_FAILURE
groupdro,46,0.07961201619738205,0.12698412698412698,0.08362737700310548,0.13238095238095238,0.986984126984127,"[[3, 0, 0, 6, 0, 0, 0], [5, 0, 0, 4, 0, 0, 0], [4, 0, 0, 4, 1, 0, 0], [5, 0, 0, 4, 0, 0, 0], [3, 0, 0, 6, 0, 0, 0], [4, 0, 0, 5, 0, 0, 0], [4, 0, 0, 3, 0, 1, 1]]",FINAL_P4_EVALUATION,P1_P2_P3,,S1_S2_S3_AGGREGATE,P4,RECOVERED_POST_ORIGINAL_LABEL_STAGE_FAILURE
