method,seed,tagid_label,precision,recall,f1,execution_stage,training_scope,development_fold,source_training_provenance,target_position,P4_EVALUATION_STATUS
erm,42,0,0.2222222222222222,0.4444444444444444,0.2962962962962963,FINAL_P4_EVALUATION,P1_P2_P3,,S1_S2_S3_AGGREGATE,P4,RECOVERED_POST_ORIGINAL_LABEL_STAGE_FAILURE
erm,42,1,0.0,0.0,0.0,FINAL_P4_EVALUATION,P1_P2_P3,,S1_S2_S3_AGGREGATE,P4,RECOVERED_POST_ORIGINAL_LABEL_STAGE_FAILURE
erm,42,2,0.0,0.0,0.0,FINAL_P4_EVALUATION,P1_P2_P3,,S1_S2_S3_AGGREGATE,P4,RECOVERED_POST_ORIGINAL_LABEL_STAGE_FAILURE
erm,42,3,0.08333333333333333,0.2222222222222222,0.12121212121212122,FINAL_P4_EVALUATION,P1_P2_P3,,S1_S2_S3_AGGREGATE,P4,RECOVERED_POST_ORIGINAL_LABEL_STAGE_FAILURE
erm,42,4,1.0,0.1111111111111111,0.2,FINAL_P4_EVALUATION,P1_P2_P3,,S1_S2_S3_AGGREGATE,P4,RECOVERED_POST_ORIGINAL_LABEL_STAGE_FAILURE
erm,42,5,0.058823529411764705,0.1111111111111111,0.07692307692307693,FINAL_P4_EVALUATION,P1_P2_P3,,S1_S2_S3_AGGREGATE,P4,RECOVERED_POST_ORIGINAL_LABEL_STAGE_FAILURE
erm,42,6,0.3333333333333333,0.1111111111111111,0.16666666666666666,FINAL_P4_EVALUATION,P1_P2_P3,,S1_S2_S3_AGGREGATE,P4,RECOVERED_POST_ORIGINAL_LABEL_STAGE_FAILURE
groupdro,42,0,0.17647058823529413,0.3333333333333333,0.23076923076923078,FINAL_P4_EVALUATION,P1_P2_P3,,S1_S2_S3_AGGREGATE,P4,RECOVERED_POST_ORIGINAL_LABEL_STAGE_FAILURE
groupdro,42,1,0.0,0.0,0.0,FINAL_P4_EVALUATION,P1_P2_P3,,S1_S2_S3_AGGREGATE,P4,RECOVERED_POST_ORIGINAL_LABEL_STAGE_FAILURE
groupdro,42,2,0.0,0.0,0.0,FINAL_P4_EVALUATION,P1_P2_P3,,S1_S2_S3_AGGREGATE,P4,RECOVERED_POST_ORIGINAL_LABEL_STAGE_FAILURE
groupdro,42,3,0.08695652173913043,0.2222222222222222,0.125,FINAL_P4_EVALUATION,P1_P2_P3,,S1_S2_S3_AGGREGATE,P4,RECOVERED_POST_ORIGINAL_LABEL_STAGE_FAILURE
groupdro,42,4,0.3,0.3333333333333333,0.3157894736842105,FINAL_P4_EVALUATION,P1_P2_P3,,S1_S2_S3_AGGREGATE,P4,RECOVERED_POST_ORIGINAL_LABEL_STAGE_FAILURE
groupdro,42,5,0.0,0.0,0.0,FINAL_P4_EVALUATION,P1_P2_P3,,S1_S2_S3_AGGREGATE,P4,RECOVERED_POST_ORIGINAL_LABEL_STAGE_FAILURE
groupdro,42,6,0.2222222222222222,0.2222222222222222,0.2222222222222222,FINAL_P4_EVALUATION,P1_P2_P3,,S1_S2_S3_AGGREGATE,P4,RECOVERED_POST_ORIGINAL_LABEL_STAGE_FAILURE
erm,43,0,0.0625,0.1111111111111111,0.08,FINAL_P4_EVALUATION,P1_P2_P3,,S1_S2_S3_AGGREGATE,P4,RECOVERED_POST_ORIGINAL_LABEL_STAGE_FAILURE
erm,43,1,0.0,0.0,0.0,FINAL_P4_EVALUATION,P1_P2_P3,,S1_S2_S3_AGGREGATE,P4,RECOVERED_POST_ORIGINAL_LABEL_STAGE_FAILURE
erm,43,2,0.0,0.0,0.0,FINAL_P4_EVALUATION,P1_P2_P3,,S1_S2_S3_AGGREGATE,P4,RECOVERED_POST_ORIGINAL_LABEL_STAGE_FAILURE
erm,43,3,0.10526315789473684,0.2222222222222222,0.14285714285714285,FINAL_P4_EVALUATION,P1_P2_P3,,S1_S2_S3_AGGREGATE,P4,RECOVERED_POST_ORIGINAL_LABEL_STAGE_FAILURE
erm,43,4,0.2,0.4444444444444444,0.27586206896551724,FINAL_P4_EVALUATION,P1_P2_P3,,S1_S2_S3_AGGREGATE,P4,RECOVERED_POST_ORIGINAL_LABEL_STAGE_FAILURE
erm,43,5,0.0,0.0,0.0,FINAL_P4_EVALUATION,P1_P2_P3,,S1_S2_S3_AGGREGATE,P4,RECOVERED_POST_ORIGINAL_LABEL_STAGE_FAILURE
erm,43,6,0.2,0.1111111111111111,0.14285714285714285,FINAL_P4_EVALUATION,P1_P2_P3,,S1_S2_S3_AGGREGATE,P4,RECOVERED_POST_ORIGINAL_LABEL_STAGE_FAILURE
groupdro,43,0,0.07142857142857142,0.1111111111111111,0.08695652173913043,FINAL_P4_EVALUATION,P1_P2_P3,,S1_S2_S3_AGGREGATE,P4,RECOVERED_POST_ORIGINAL_LABEL_STAGE_FAILURE
groupdro,43,1,0.0,0.0,0.0,FINAL_P4_EVALUATION,P1_P2_P3,,S1_S2_S3_AGGREGATE,P4,RECOVERED_POST_ORIGINAL_LABEL_STAGE_FAILURE
groupdro,43,2,0.0,0.0,0.0,FINAL_P4_EVALUATION,P1_P2_P3,,S1_S2_S3_AGGREGATE,P4,RECOVERED_POST_ORIGINAL_LABEL_STAGE_FAILURE
groupdro,43,3,0.11538461538461539,0.3333333333333333,0.17142857142857143,FINAL_P4_EVALUATION,P1_P2_P3,,S1_S2_S3_AGGREGATE,P4,RECOVERED_POST_ORIGINAL_LABEL_STAGE_FAILURE
groupdro,43,4,0.23529411764705882,0.4444444444444444,0.3076923076923077,FINAL_P4_EVALUATION,P1_P2_P3,,S1_S2_S3_AGGREGATE,P4,RECOVERED_POST_ORIGINAL_LABEL_STAGE_FAILURE
groupdro,43,5,0.0,0.0,0.0,FINAL_P4_EVALUATION,P1_P2_P3,,S1_S2_S3_AGGREGATE,P4,RECOVERED_POST_ORIGINAL_LABEL_STAGE_FAILURE
groupdro,43,6,0.5,0.1111111111111111,0.18181818181818182,FINAL_P4_EVALUATION,P1_P2_P3,,S1_S2_S3_AGGREGATE,P4,RECOVERED_POST_ORIGINAL_LABEL_STAGE_FAILURE
erm,44,0,0.0,0.0,0.0,FINAL_P4_EVALUATION,P1_P2_P3,,S1_S2_S3_AGGREGATE,P4,RECOVERED_POST_ORIGINAL_LABEL_STAGE_FAILURE
erm,44,1,0.0,0.0,0.0,FINAL_P4_EVALUATION,P1_P2_P3,,S1_S2_S3_AGGREGATE,P4,RECOVERED_POST_ORIGINAL_LABEL_STAGE_FAILURE
erm,44,2,0.0,0.0,0.0,FINAL_P4_EVALUATION,P1_P2_P3,,S1_S2_S3_AGGREGATE,P4,RECOVERED_POST_ORIGINAL_LABEL_STAGE_FAILURE
erm,44,3,0.18181818181818182,0.8888888888888888,0.3018867924528302,FINAL_P4_EVALUATION,P1_P2_P3,,S1_S2_S3_AGGREGATE,P4,RECOVERED_POST_ORIGINAL_LABEL_STAGE_FAILURE
erm,44,4,0.16666666666666666,0.2222222222222222,0.19047619047619047,FINAL_P4_EVALUATION,P1_P2_P3,,S1_S2_S3_AGGREGATE,P4,RECOVERED_POST_ORIGINAL_LABEL_STAGE_FAILURE
erm,44,5,0.0,0.0,0.0,FINAL_P4_EVALUATION,P1_P2_P3,,S1_S2_S3_AGGREGATE,P4,RECOVERED_POST_ORIGINAL_LABEL_STAGE_FAILURE
erm,44,6,0.6666666666666666,0.2222222222222222,0.3333333333333333,FINAL_P4_EVALUATION,P1_P2_P3,,S1_S2_S3_AGGREGATE,P4,RECOVERED_POST_ORIGINAL_LABEL_STAGE_FAILURE
groupdro,44,0,0.0,0.0,0.0,FINAL_P4_EVALUATION,P1_P2_P3,,S1_S2_S3_AGGREGATE,P4,RECOVERED_POST_ORIGINAL_LABEL_STAGE_FAILURE
groupdro,44,1,0.21428571428571427,0.3333333333333333,0.2608695652173913,FINAL_P4_EVALUATION,P1_P2_P3,,S1_S2_S3_AGGREGATE,P4,RECOVERED_POST_ORIGINAL_LABEL_STAGE_FAILURE
groupdro,44,2,0.0,0.0,0.0,FINAL_P4_EVALUATION,P1_P2_P3,,S1_S2_S3_AGGREGATE,P4,RECOVERED_POST_ORIGINAL_LABEL_STAGE_FAILURE
groupdro,44,3,0.13793103448275862,0.4444444444444444,0.21052631578947367,FINAL_P4_EVALUATION,P1_P2_P3,,S1_S2_S3_AGGREGATE,P4,RECOVERED_POST_ORIGINAL_LABEL_STAGE_FAILURE
groupdro,44,4,0.2,0.1111111111111111,0.14285714285714285,FINAL_P4_EVALUATION,P1_P2_P3,,S1_S2_S3_AGGREGATE,P4,RECOVERED_POST_ORIGINAL_LABEL_STAGE_FAILURE
groupdro,44,5,0.0,0.0,0.0,FINAL_P4_EVALUATION,P1_P2_P3,,S1_S2_S3_AGGREGATE,P4,RECOVERED_POST_ORIGINAL_LABEL_STAGE_FAILURE
