method,seed,tagid_label,row_count,block_count,execution_stage,training_scope,development_fold,source_training_provenance,target_position,P4_EVALUATION_STATUS
erm,42,0,895,18,FINAL_P4_EVALUATION,P1_P2_P3,,S1_S2_S3_AGGREGATE,P4,RECOVERED_POST_ORIGINAL_LABEL_STAGE_FAILURE
erm,42,1,2,0,FINAL_P4_EVALUATION,P1_P2_P3,,S1_S2_S3_AGGREGATE,P4,RECOVERED_POST_ORIGINAL_LABEL_STAGE_FAILURE
erm,42,2,0,0,FINAL_P4_EVALUATION,P1_P2_P3,,S1_S2_S3_AGGREGATE,P4,RECOVERED_POST_ORIGINAL_LABEL_STAGE_FAILURE
erm,42,3,1219,24,FINAL_P4_EVALUATION,P1_P2_P3,,S1_S2_S3_AGGREGATE,P4,RECOVERED_POST_ORIGINAL_LABEL_STAGE_FAILURE
erm,42,4,51,1,FINAL_P4_EVALUATION,P1_P2_P3,,S1_S2_S3_AGGREGATE,P4,RECOVERED_POST_ORIGINAL_LABEL_STAGE_FAILURE
erm,42,5,835,17,FINAL_P4_EVALUATION,P1_P2_P3,,S1_S2_S3_AGGREGATE,P4,RECOVERED_POST_ORIGINAL_LABEL_STAGE_FAILURE
erm,42,6,148,3,FINAL_P4_EVALUATION,P1_P2_P3,,S1_S2_S3_AGGREGATE,P4,RECOVERED_POST_ORIGINAL_LABEL_STAGE_FAILURE
groupdro,42,0,841,17,FINAL_P4_EVALUATION,P1_P2_P3,,S1_S2_S3_AGGREGATE,P4,RECOVERED_POST_ORIGINAL_LABEL_STAGE_FAILURE
groupdro,42,1,18,0,FINAL_P4_EVALUATION,P1_P2_P3,,S1_S2_S3_AGGREGATE,P4,RECOVERED_POST_ORIGINAL_LABEL_STAGE_FAILURE
groupdro,42,2,54,1,FINAL_P4_EVALUATION,P1_P2_P3,,S1_S2_S3_AGGREGATE,P4,RECOVERED_POST_ORIGINAL_LABEL_STAGE_FAILURE
groupdro,42,3,1170,23,FINAL_P4_EVALUATION,P1_P2_P3,,S1_S2_S3_AGGREGATE,P4,RECOVERED_POST_ORIGINAL_LABEL_STAGE_FAILURE
groupdro,42,4,492,10,FINAL_P4_EVALUATION,P1_P2_P3,,S1_S2_S3_AGGREGATE,P4,RECOVERED_POST_ORIGINAL_LABEL_STAGE_FAILURE
groupdro,42,5,162,3,FINAL_P4_EVALUATION,P1_P2_P3,,S1_S2_S3_AGGREGATE,P4,RECOVERED_POST_ORIGINAL_LABEL_STAGE_FAILURE
groupdro,42,6,413,9,FINAL_P4_EVALUATION,P1_P2_P3,,S1_S2_S3_AGGREGATE,P4,RECOVERED_POST_ORIGINAL_LABEL_STAGE_FAILURE
erm,43,0,806,16,FINAL_P4_EVALUATION,P1_P2_P3,,S1_S2_S3_AGGREGATE,P4,RECOVERED_POST_ORIGINAL_LABEL_STAGE_FAILURE
