analysis,metric,point_estimate,interval_lower,interval_upper,resamples,incorrect_to_correct,correct_to_incorrect,status,execution_stage,training_scope,development_fold,source_training_provenance,target_position,P4_EVALUATION_STATUS
block_only_macro_f1,macro_f1,0.0014053372543773896,-0.024350314586059046,0.025098525954915317,10000,,,COMPLETE,FINAL_P4_EVALUATION,P1_P2_P3,,S1_S2_S3_AGGREGATE,P4,RECOVERED_POST_ORIGINAL_LABEL_STAGE_FAILURE
block_plus_seed_macro_f1,macro_f1,0.0014053372543773896,-0.04297849173380187,0.039488608368540505,10000,,,COMPLETE,FINAL_P4_EVALUATION,P1_P2_P3,,S1_S2_S3_AGGREGATE,P4,RECOVERED_POST_ORIGINAL_LABEL_STAGE_FAILURE
block_only_accuracy,accuracy,0.0,-0.02857142857142857,0.02857142857142857,10000,,,COMPLETE,FINAL_P4_EVALUATION,P1_P2_P3,,S1_S2_S3_AGGREGATE,P4,RECOVERED_POST_ORIGINAL_LABEL_STAGE_FAILURE
block_plus_seed_accuracy,accuracy,0.0,-0.050793650793650794,0.047619047619047616,10000,,,COMPLETE,FINAL_P4_EVALUATION,P1_P2_P3,,S1_S2_S3_AGGREGATE,P4,RECOVERED_POST_ORIGINAL_LABEL_STAGE_FAILURE
seed_42_macro_f1,macro_f1,0.004668966511071765,,,,,,COMPLETE,FINAL_P4_EVALUATION,P1_P2_P3,,S1_S2_S3_AGGREGATE,P4,RECOVERED_POST_ORIGINAL_LABEL_STAGE_FAILURE
seed_42_accuracy,accuracy,0.015873015873015872,,,,,,COMPLETE,FINAL_P4_EVALUATION,P1_P2_P3,,S1_S2_S3_AGGREGATE,P4,RECOVERED_POST_ORIGINAL_LABEL_STAGE_FAILURE
seed_43_macro_f1,macro_f1,0.015188461142626924,,,,,,COMPLETE,FINAL_P4_EVALUATION,P1_P2_P3,,S1_S2_S3_AGGREGATE,P4,RECOVERED_POST_ORIGINAL_LABEL_STAGE_FAILURE
seed_43_accuracy,accuracy,0.015873015873015872,,,,,,COMPLETE,FINAL_P4_EVALUATION,P1_P2_P3,,S1_S2_S3_AGGREGATE,P4,RECOVERED_POST_ORIGINAL_LABEL_STAGE_FAILURE
seed_44_macro_f1,macro_f1,-0.004232158654309176,,,,,,COMPLETE,FINAL_P4_EVALUATION,P1_P2_P3,,S1_S2_S3_AGGREGATE,P4,RECOVERED_POST_ORIGINAL_LABEL_STAGE_FAILURE
seed_44_accuracy,accuracy,-0.047619047619047616,,,,,,COMPLETE,FINAL_P4_EVALUATION,P1_P2_P3,,S1_S2_S3_AGGREGATE,P4,RECOVERED_POST_ORIGINAL_LABEL_STAGE_FAILURE
seed_45_macro_f1,macro_f1,0.03457138099995245,,,,,,COMPLETE,FINAL_P4_EVALUATION,P1_P2_P3,,S1_S2_S3_AGGREGATE,P4,RECOVERED_POST_ORIGINAL_LABEL_STAGE_FAILURE
