gate,passed,status
condition_blocks_do_not_cross_source_train_validation,True,PASS
held_source_positions_do_not_enter_lopo_training,True,PASS
p4_does_not_enter_lambda_selection,True,PASS
erm_irm_identical_source_samples,True,PASS
erm_irm_identical_tagid_labels,True,PASS
erm_irm_identical_seeds,True,PASS
erm_irm_identical_checkpoint_rules,True,PASS
erm_irm_identical_samplers,True,PASS
erm_irm_identical_batch_composition_rule,True,PASS
only_irmv1_penalty_differs,True,PASS
active_environments_source_positions_only,True,PASS
penalty_second_order_autograd,True,PASS
penalty_not_detached,True,PASS
annealing_boundary_frozen,True,PASS
lambda_grid_frozen,True,PASS
selected_lambda_frozen_before_final_training_and_p4,True,PASS
p4_predictions_frozen_before_labels,True,PASS
final_p4_records_use_final_schema,True,PASS
no_p4_record_validated_as_source_fold,True,PASS
result_writes_atomic,True,PASS
p4_rows_not_independent_units,True,PASS
earlier_results_not_primary_evidence,True,PASS
authoritative_repositories_not_modified,True,PASS
earlier_patch_repositories_not_modified,True,PASS
