execution_stage,method,lambda,fold_id,held_position,seed,selected_epoch,inner_epochs_executed,held_macro_f1,held_accuracy,checkpoint_sha256,p4_accessed
SOURCE_LOPO_DEVELOPMENT,erm,,S1,P1,42,9,17,0.140949802165119,0.1907936507936508,7004f76b63f0385cb4602208a66525683df9073d4031b169f54aaad11ae25a67,False
SOURCE_LOPO_DEVELOPMENT,irm,1.0,S1,P1,42,9,17,0.18274504539183734,0.26634920634920634,eaacab076f521ca8705145615427b32bf8675b2cb3bcb76e229c5ee316e4d67a,False
SOURCE_LOPO_DEVELOPMENT,irm,10.0,S1,P1,42,9,17,0.14604198008533067,0.17809523809523808,a185bcf339a10a27ded3bf209c7eb35c926df765a35ca8665948a0a4b746590e,False
SOURCE_LOPO_DEVELOPMENT,irm,100.0,S1,P1,42,9,17,0.03571428571428571,0.14285714285714285,c4fd55bde09d7a00e79ca6b8839d1a6b052fdd396577566da955c19e8bc39276,False
SOURCE_LOPO_DEVELOPMENT,irm,1000.0,S1,P1,42,9,17,0.06260430678639328,0.14317460317460318,aebb8394f09e0d62603d28cbbb4ebfb12652a9740fc6aecbf84bd3ea56d48cff,False
SOURCE_LOPO_DEVELOPMENT,erm,,S1,P1,43,22,30,0.08686803353667408,0.17555555555555555,85cbb987496c0d3168a57872d35702735b3ce83d3d1c7a33129dabdee6b21503,False
SOURCE_LOPO_DEVELOPMENT,irm,1.0,S1,P1,43,11,19,0.2253844250225294,0.2815873015873016,60c68737ea447763ec18ea5fe095ec62cbb6351b417bd6fef480df1a3be3618a,False
SOURCE_LOPO_DEVELOPMENT,irm,10.0,S1,P1,43,11,19,0.06245591244776587,0.15873015873015872,f257c380ab298472135196077430c65845993249d4348c9e3728c923777418c5,False
SOURCE_LOPO_DEVELOPMENT,irm,100.0,S1,P1,43,11,19,0.03571428571428571,0.14285714285714285,6ca8c3e100e28f1bb9ec737312e21dc0704fcf0cba15abcdc2dbda6c5c10dd31,False
SOURCE_LOPO_DEVELOPMENT,irm,1000.0,S1,P1,43,11,19,0.03571428571428571,0.14285714285714285,5c96b53aa13b79f6522981b0ed3df5696c75aae55f4e770a2007e66f03d3f3ae,False
SOURCE_LOPO_DEVELOPMENT,erm,,S1,P1,44,10,18,0.11323015035649872,0.18793650793650793,9b8db33cf685e985d8f308c83dd035883ffcd7b8cce766abaca0d7027b0cfec4,False
SOURCE_LOPO_DEVELOPMENT,irm,1.0,S1,P1,44,10,18,0.11557662122320532,0.18857142857142858,5b046ab51ac39f73f76fb3c5562cc6ec9948e80589a478ae1ee79133341a3223,False
SOURCE_LOPO_DEVELOPMENT,irm,10.0,S1,P1,44,10,18,0.03571428571428571,0.14285714285714285,8cc219579f85847fd64e9a261033f0d78bc6199f74d7f91c1d37ee6c976549c9,False
SOURCE_LOPO_DEVELOPMENT,irm,100.0,S1,P1,44,10,18,0.03571428571428571,0.14285714285714285,c79b201949cd935862ad8a5443b5e9e9186ff550f51a6bc74099377efe7e4a5d,False
SOURCE_LOPO_DEVELOPMENT,irm,1000.0,S1,P1,44,10,18,0.03571428571428571,0.14285714285714285,eb2b8cfedba9a417336ecb8d1a3f0abae2c2e4c066c0beac9d7f1e4630f34b06,False
SOURCE_LOPO_DEVELOPMENT,erm,,S1,P1,45,11,19,0.12015863596522079,0.1895238095238095,f285e4ae861575a3dc5b26cc16389becd458a929a34a4be1b4fa2a55d7e457eb,False
SOURCE_LOPO_DEVELOPMENT,irm,1.0,S1,P1,45,15,23,0.10116824205671404,0.18761904761904763,f577aab0052c37ec2a767d94824a388aee7dc79d1cad336ed5d7b57972a10fc5,False
SOURCE_LOPO_DEVELOPMENT,irm,10.0,S1,P1,45,11,19,0.0749047790662342,0.15873015873015872,62cc133a6723a3aed6f55fff7981ba1ec197060ea52156be2926d26d61ddbd8c,False
SOURCE_LOPO_DEVELOPMENT,irm,100.0,S1,P1,45,11,19,0.042025021429052976,0.09714285714285714,0aff777374d1a491caa3b8738c536da61cfe4265a5fda4cd3c3b316e668fb4ee,False
SOURCE_LOPO_DEVELOPMENT,irm,1000.0,S1,P1,45,11,19,0.05578171718814507,0.1273015873015873,bdf4ab4fab6448c4a9dce4fd7c5cce1a0acc0bd35092ac78d031796153b13cea,False
SOURCE_LOPO_DEVELOPMENT,erm,,S1,P1,46,10,18,0.14817372450305552,0.20507936507936508,58d24d487d8ffae9b4952836c2f1736c73fff60c92f540ec11440fabd4436a7f,False
SOURCE_LOPO_DEVELOPMENT,irm,1.0,S1,P1,46,10,18,0.21168332132565681,0.25142857142857145,733936027c35cd034c14defbcc4b7217dbf77890996afdcd9e9ccb3210a52b8c,False
SOURCE_LOPO_DEVELOPMENT,irm,10.0,S1,P1,46,10,18,0.03571428571428571,0.14285714285714285,96f630bf94d07e9442a666e5503b95241af4c17d1ec26eb55f5bd493b7bf7b5f,False
SOURCE_LOPO_DEVELOPMENT,irm,100.0,S1,P1,46,10,18,0.03571428571428571,0.14285714285714285,dffef46043e6dfffddbc4df3f9536f2c70525ee33dd8bb8ef8e831cf97f2dd98,False
SOURCE_LOPO_DEVELOPMENT,irm,1000.0,S1,P1,46,10,18,0.036237719439523274,0.14285714285714285,3919f0823d1387e114c04a6bed781da99f636c3a10e1018936fb5dd381d0a03f,False
SOURCE_LOPO_DEVELOPMENT,erm,,S2,P2,42,9,17,0.19976517965903604,0.18888888888888888,ecec22d00fa873812e9419579ca995c1af4842df1f07923cc24ca0c1edcf5088,False
SOURCE_LOPO_DEVELOPMENT,irm,1.0,S2,P2,42,9,17,0.16317674283581146,0.18888888888888888,1ce3522b9d59b1560dca74d651d6f2c26573a110abfa87b95116f81999fde3e9,False
SOURCE_LOPO_DEVELOPMENT,irm,10.0,S2,P2,42,9,17,0.03571428571428571,0.14285714285714285,e3a4ad1160a5a34179d31f185945136850c86d2dfe27527056836f2a6dd09fb8,False
SOURCE_LOPO_DEVELOPMENT,irm,100.0,S2,P2,42,9,17,0.03571428571428571,0.14285714285714285,897d5155d607836fbe0881d2eb8fede6f6bca2f1afa89200e48031adb7e2400e,False
SOURCE_LOPO_DEVELOPMENT,irm,1000.0,S2,P2,42,9,17,0.07001495355818309,0.15746031746031747,b00e93fce75d5184412579ed6783671b91fce19a2f72e472771add54257c678f,False
SOURCE_LOPO_DEVELOPMENT,erm,,S2,P2,43,10,18,0.18201559967914532,0.18857142857142858,18591b45d4069eeba95c09f7ff2c528a2f3f8dd7a0e8d9a74ad3dd0b3cc789d8,False
SOURCE_LOPO_DEVELOPMENT,irm,1.0,S2,P2,43,10,18,0.19453578465656202,0.2346031746031746,45fa2ad6778e6f02687914011c076f513f2601fda2a419e10406db720ebcdfaf,False
SOURCE_LOPO_DEVELOPMENT,irm,10.0,S2,P2,43,10,18,0.03571428571428571,0.14285714285714285,d8f5fce1c803b0881149218052855786090f7da16d5977f77862c6c88b468384,False
SOURCE_LOPO_DEVELOPMENT,irm,100.0,S2,P2,43,10,18,0.03571428571428571,0.14285714285714285,7ab16656f4c3b7edb20da10ef9116ac771e1127934e3bc8332ccae7e92b4f450,False
SOURCE_LOPO_DEVELOPMENT,irm,1000.0,S2,P2,43,10,18,0.03571428571428571,0.14285714285714285,13f5348ce459c4dac14296d1b8b347b9c6070a2d7265367d6cb926e5e22ead3d,False
SOURCE_LOPO_DEVELOPMENT,erm,,S2,P2,44,18,26,0.18032750302180828,0.18793650793650793,5bced3ab9443e21191aa5fe3255cf8f315ac1650f6aebc20cca2e71bf13128d6,False
SOURCE_LOPO_DEVELOPMENT,irm,1.0,S2,P2,44,11,19,0.15338199886272424,0.15873015873015872,a5dabef592007cba129c8e2971e66393866bbc047df3dd3b4020740b2ce33577,False
SOURCE_LOPO_DEVELOPMENT,irm,10.0,S2,P2,44,11,19,0.03621730382293763,0.14285714285714285,a047af8b853c7f95319fe0d67fb402316453798adfd3c3b10252f1ba48eabe30,False
SOURCE_LOPO_DEVELOPMENT,irm,100.0,S2,P2,44,11,19,0.03571428571428571,0.14285714285714285,935a96b74a29d8f4ed342b5742a07642c7e55cd2251d29e066e7a626abadb399,False
SOURCE_LOPO_DEVELOPMENT,irm,1000.0,S2,P2,44,11,19,0.03571428571428571,0.14285714285714285,354e1b4fc231c1c4e816f156e78af914105787f5bffaff6e7386daf41293e851,False
SOURCE_LOPO_DEVELOPMENT,erm,,S2,P2,45,29,37,0.14914031301495673,0.17746031746031746,b184209d65a0457beca9f3c32f6ca2db748bd9dd3b7534e7ebc60c70bffa9526,False
SOURCE_LOPO_DEVELOPMENT,irm,1.0,S2,P2,45,17,25,0.10579489851307664,0.15777777777777777,cd0d094c738cb387925ba9e1ffd7788fd1f5bf4681461b5020439d6b5e9087de,False
SOURCE_LOPO_DEVELOPMENT,irm,10.0,S2,P2,45,10,18,0.03571428571428571,0.14285714285714285,8c55d84783f9b68b09dfed6f5c632a3522ced236ea5ce7b4e97278b901d69e22,False
SOURCE_LOPO_DEVELOPMENT,irm,100.0,S2,P2,45,10,18,0.03571428571428571,0.14285714285714285,3374357d0112689260f037c852deb9db3aa4543be2b191ad343e0eafc8338c06,False
SOURCE_LOPO_DEVELOPMENT,irm,1000.0,S2,P2,45,10,18,0.03571428571428571,0.14285714285714285,4635970806e9ab204bd8f37523d82fef3df9b1a5a727aa629c74f23395c6c0fa,False
SOURCE_LOPO_DEVELOPMENT,erm,,S2,P2,46,17,25,0.1606815975731727,0.15904761904761905,f38947d62d3f7cf0513ddddcd10ba2fed0fff0133b72b5ff352e1932bcbf6a8d,False
SOURCE_LOPO_DEVELOPMENT,irm,1.0,S2,P2,46,9,17,0.19520089409846114,0.22063492063492063,7150f9a535cec84ecd86e519ce008923ff19202b44795d2a00dd7c56ddf3ad49,False
SOURCE_LOPO_DEVELOPMENT,irm,10.0,S2,P2,46,9,17,0.03571428571428571,0.14285714285714285,c5a2a5153f39ce2da83cddb8359d1c6c974867678328ebcbe79b98fc00608f5b,False
SOURCE_LOPO_DEVELOPMENT,irm,100.0,S2,P2,46,9,17,0.03571428571428571,0.14285714285714285,80d01ae1721b38a33aa6c2c221b64db1eefbf857a53fe3f687fd26270ae45ed9,False
SOURCE_LOPO_DEVELOPMENT,irm,1000.0,S2,P2,46,9,17,0.03571428571428571,0.14285714285714285,24fb5387b56a56c98d6c2887a78eb4e15d2d780a90d56944cf013b33835c4e5b,False
SOURCE_LOPO_DEVELOPMENT,erm,,S3,P3,42,7,15,0.13173890668382743,0.20539682539682538,efd31a16b3bc4d197763b0a939808b1162e9d01ac70f6b61a5eac83113261031,False
SOURCE_LOPO_DEVELOPMENT,irm,1.0,S3,P3,42,7,15,0.13173890668382743,0.20539682539682538,061332343e0b91732c4d27275cad78e60409d5d21e2c25805dd8810642664c24,False
SOURCE_LOPO_DEVELOPMENT,irm,10.0,S3,P3,42,7,15,0.13173890668382743,0.20539682539682538,a3c66e355a4a0debac1eb0f154b2f4842440baf0083fbff45a5efe554d615a55,False
SOURCE_LOPO_DEVELOPMENT,irm,100.0,S3,P3,42,7,15,0.13173890668382743,0.20539682539682538,3ddeef6711a539edb2320c9695917f322df1da2ef9ecfcb3ed0870f7d0d1a14f,False
SOURCE_LOPO_DEVELOPMENT,irm,1000.0,S3,P3,42,7,15,0.13173890668382743,0.20539682539682538,37957d8f7e19ec8e027eaed5419968714edb56d3cbf38193454fc1808122c910,False
SOURCE_LOPO_DEVELOPMENT,erm,,S3,P3,43,10,18,0.12066831817146918,0.19650793650793652,b94d29b261418234aed5dbaa45247f9425df80f638e4ef953749e608423b7c37,False
SOURCE_LOPO_DEVELOPMENT,irm,1.0,S3,P3,43,10,18,0.17022308351269735,0.24253968253968253,a3f0dc3b50114f09f5f5fe14a7cba8d1678f1f130c7a1489e2e67cedbf2d757b,False
SOURCE_LOPO_DEVELOPMENT,irm,10.0,S3,P3,43,10,18,0.08443720841297662,0.17365079365079364,83ab272fb81337ce6c507e3292cdbb946860b81b4fcf4183da0adb1c61ff134b,False
SOURCE_LOPO_DEVELOPMENT,irm,100.0,S3,P3,43,10,18,0.03571428571428571,0.14285714285714285,a913affd894d81e11a62f61776de6f655e548d64617a92a103cc958980145426,False
SOURCE_LOPO_DEVELOPMENT,irm,1000.0,S3,P3,43,10,18,0.03571428571428571,0.14285714285714285,1b87abc879c08f8935c1516ee0fbafadf2af8c4581126e80ebeb2a41c2168211,False
SOURCE_LOPO_DEVELOPMENT,erm,,S3,P3,44,3,11,0.15784641763863513,0.21079365079365078,28ea06da63034b136545188b4467324331c99fa9e7e9a349d0fb2aff172d2edf,False
SOURCE_LOPO_DEVELOPMENT,irm,1.0,S3,P3,44,3,13,0.15784641763863513,0.21079365079365078,06de7c06bf897c983c006bfa2553ed0886aee61870a8b650764694752334e155,False
SOURCE_LOPO_DEVELOPMENT,irm,10.0,S3,P3,44,3,13,0.15784641763863513,0.21079365079365078,9014dc53b2f429aa27c30160f97b6f67cb2f19d7e514d4a41c49ee2f8f5ad1c3,False
SOURCE_LOPO_DEVELOPMENT,irm,100.0,S3,P3,44,3,13,0.15784641763863513,0.21079365079365078,eb4b09cacf3ffd4cd6a3523082ca2dc1591a82100ce0e699002ca4d42a2a2344,False
SOURCE_LOPO_DEVELOPMENT,irm,1000.0,S3,P3,44,3,13,0.15784641763863513,0.21079365079365078,73363c22d58e4222eb261af2e71b90833c3f931ff125df090ffcb3c8cfaf3634,False
SOURCE_LOPO_DEVELOPMENT,erm,,S3,P3,45,16,24,0.0951687017650906,0.1511111111111111,d92b073c836fef3fed5a904e95ff26068ed63b7b0ccb362bbfbed24791bd9b3a,False
SOURCE_LOPO_DEVELOPMENT,irm,1.0,S3,P3,45,33,41,0.0868284517835681,0.1746031746031746,8a1b2eb35a2726bad9c41f9d5e2888363383e024d63355c8ad14e523b31a7954,False
SOURCE_LOPO_DEVELOPMENT,irm,10.0,S3,P3,45,10,18,0.09625344907049742,0.15428571428571428,ca124ea73933199b917cea3c9f2808066030a0b99df9a95a55376960e408efe6,False
SOURCE_LOPO_DEVELOPMENT,irm,100.0,S3,P3,45,10,18,0.03571428571428571,0.14285714285714285,9058b240c7c64499a523eca3b93d6f28586b9ef5121293dae83db8198e62a471,False
SOURCE_LOPO_DEVELOPMENT,irm,1000.0,S3,P3,45,10,18,0.03571428571428571,0.14285714285714285,13720a4e0490b31f0576c98f077d72b7704a5a2aeff7bfb5850e739945c3ebfc,False
SOURCE_LOPO_DEVELOPMENT,erm,,S3,P3,46,6,14,0.25979518556433107,0.31523809523809526,fbd4ea73f23c0a853628f331c7e22ca5ac4b2d6863fcd53ef69df6491958308b,False
SOURCE_LOPO_DEVELOPMENT,irm,1.0,S3,P3,46,6,14,0.25979518556433107,0.31523809523809526,a029ce2bc55dc4159334ab5fe08a2513bf692e437d578b6e02a94690f6024ef0,False
SOURCE_LOPO_DEVELOPMENT,irm,10.0,S3,P3,46,6,14,0.25979518556433107,0.31523809523809526,30959bd59dbbde23b7c16b141d13f26cf068b9346dae679c48c69954f14ef09f,False
SOURCE_LOPO_DEVELOPMENT,irm,100.0,S3,P3,46,6,14,0.25979518556433107,0.31523809523809526,9f4b6507ab5649eea7607ff5ae59cf3d3f2ee43562a7d2e7286c755a9ae8e968,False
SOURCE_LOPO_DEVELOPMENT,irm,1000.0,S3,P3,46,6,14,0.25979518556433107,0.31523809523809526,faf87cdd9a90c8897da1b524e2582be9c58bb83f24e7b731d6b114e0693902d2,False
