method,lambda,fold_id,held_position,seed,macro_f1,accuracy,worst_class_recall,train_to_held_macro_f1_gap,selected_checkpoint_epoch
erm,,S1,P1,42,0.140949802165119,0.1907936507936508,0.0,0.8493712343018768,9
irm,1.0,S1,P1,42,0.18274504539183734,0.26634920634920634,0.0,0.6274605736603598,9
irm,10.0,S1,P1,42,0.14604198008533067,0.17809523809523808,0.0,0.07444824000209671,9
irm,100.0,S1,P1,42,0.03571428571428571,0.14285714285714285,0.0,1.4887155362353077e-05,9
irm,1000.0,S1,P1,42,0.06260430678639328,0.14317460317460318,0.0,0.1376482204644407,9
erm,,S1,P1,43,0.08686803353667408,0.17555555555555555,0.0,0.19450140642334338,22
irm,1.0,S1,P1,43,0.2253844250225294,0.2815873015873016,0.0,0.688875801128436,11
irm,10.0,S1,P1,43,0.06245591244776587,0.15873015873015872,0.0,0.09013842948210642,11
irm,100.0,S1,P1,43,0.03571428571428571,0.14285714285714285,0.0,0.0,11
irm,1000.0,S1,P1,43,0.03571428571428571,0.14285714285714285,0.0,0.0,11
erm,,S1,P1,44,0.11323015035649872,0.18793650793650793,0.0,0.8553059615970184,10
irm,1.0,S1,P1,44,0.11557662122320532,0.18857142857142858,0.0,0.7606605754700798,10
irm,10.0,S1,P1,44,0.03571428571428571,0.14285714285714285,0.0,0.0,10
irm,100.0,S1,P1,44,0.03571428571428571,0.14285714285714285,0.0,0.0,10
irm,1000.0,S1,P1,44,0.03571428571428571,0.14285714285714285,0.0,0.0,10
erm,,S1,P1,45,0.12015863596522079,0.1895238095238095,0.0,0.8758744004746875,11
irm,1.0,S1,P1,45,0.10116824205671404,0.18761904761904763,0.0,0.5977892723095213,15
irm,10.0,S1,P1,45,0.0749047790662342,0.15873015873015872,0.0,0.05772958088637502,11
irm,100.0,S1,P1,45,0.042025021429052976,0.09714285714285714,0.0,0.06716530320688985,11
irm,1000.0,S1,P1,45,0.05578171718814507,0.1273015873015873,0.0,0.05640875120209434,11
erm,,S1,P1,46,0.14817372450305552,0.20507936507936508,0.0,0.8469090369416785,10
irm,1.0,S1,P1,46,0.21168332132565681,0.25142857142857145,0.0,0.7238187245708158,10
irm,10.0,S1,P1,46,0.03571428571428571,0.14285714285714285,0.0,0.0,10
irm,100.0,S1,P1,46,0.03571428571428571,0.14285714285714285,0.0,0.0,10
irm,1000.0,S1,P1,46,0.036237719439523274,0.14285714285714285,0.0,0.0708351413590512,10
erm,,S2,P2,42,0.19976517965903604,0.18888888888888888,0.0,0.7788276522196709,9
irm,1.0,S2,P2,42,0.16317674283581146,0.18888888888888888,0.0,0.6790741627823995,9
irm,10.0,S2,P2,42,0.03571428571428571,0.14285714285714285,0.0,0.029074446680080482,9
irm,100.0,S2,P2,42,0.03571428571428571,0.14285714285714285,0.0,0.0,9
irm,1000.0,S2,P2,42,0.07001495355818309,0.15746031746031747,0.0,0.059556662185166906,9
erm,,S2,P2,43,0.18201559967914532,0.18857142857142858,0.0,0.8110050487850984,10
irm,1.0,S2,P2,43,0.19453578465656202,0.2346031746031746,0.0,0.7149191164725106,10
irm,10.0,S2,P2,43,0.03571428571428571,0.14285714285714285,0.0,0.0,10
irm,100.0,S2,P2,43,0.03571428571428571,0.14285714285714285,0.0,0.0,10
irm,1000.0,S2,P2,43,0.03571428571428571,0.14285714285714285,0.0,0.0,10
