annealing_stage,development_fold,effective_lambda,epoch,execution_stage,fold_id,gradient_norm,held_position,held_source_position,lambda,mean_training_irm_penalty,mean_training_objective,mean_training_tagid_risk,method,per_environment_training_risk,per_environment_validation_risk,seed,selected_checkpoint_state,target_position,training_phase,training_positions,validation_accuracy,validation_irm_penalty,validation_macro_f1
ERM_WARMUP,S1,0.0,1,SOURCE_LOPO_DEVELOPMENT,S1,1.3046214903789157,P1,P1,,0.0,1.9640323162078857,1.9640323162078857,erm,"{""P2"": 1.9554194468543642, ""P3"": 1.9726452321097965}","{""P2"": 1.952327013015747, ""P3"": 1.9348905086517334}",42,True,,inner_selection,P2_P3,0.11904761904761904,9.011659130919725e-05,0.05710283758694411
ERM_WARMUP,S1,0.0,2,SOURCE_LOPO_DEVELOPMENT,S1,0.42670080423900786,P1,P1,,0.0,1.8548300466083345,1.8548300466083345,erm,"{""P2"": 1.8450608798435757, ""P3"": 1.8645992235910325}","{""P2"": 1.9366024732589722, ""P3"": 1.9127459526062012}",42,True,,inner_selection,P2_P3,0.15,0.0003216968907508999,0.1221864027881665
ERM_WARMUP,S1,0.0,3,SOURCE_LOPO_DEVELOPMENT,S1,0.6384215206567346,P1,P1,,0.0,1.6673386373974028,1.6673386373974028,erm,"{""P2"": 1.6509948074249994, ""P3"": 1.6836824862162272}","{""P2"": 1.9341486692428589, ""P3"": 1.8726476430892944}",42,False,,inner_selection,P2_P3,0.1442857142857143,0.0016983849927783012,0.11353746113749412
ERM_WARMUP,S1,0.0,4,SOURCE_LOPO_DEVELOPMENT,S1,2.755509209642822,P1,P1,,0.0,1.3907601233891078,1.3907601233891078,erm,"{""P2"": 1.3749347748075214, ""P3"": 1.4065854894547236}","{""P2"": 1.9690924882888794, ""P3"": 1.8671002388000488}",42,True,,inner_selection,P2_P3,0.29619047619047617,0.01589849404990673,0.2624618531471094
ERM_WARMUP,S1,0.0,5,SOURCE_LOPO_DEVELOPMENT,S1,3.0939673179860008,P1,P1,,0.0,1.1509387788318453,1.1509387788318453,erm,"{""P2"": 1.1442559603282383, ""P3"": 1.157621616181873}","{""P2"": 2.0771541595458984, ""P3"": 1.8983815908432007}",42,False,,inner_selection,P2_P3,0.1619047619047619,0.08205996453762054,0.1306478076895748
ERM_WARMUP,S1,0.0,6,SOURCE_LOPO_DEVELOPMENT,S1,4.531406737934611,P1,P1,,0.0,0.9520919218517485,0.9520919218517485,erm,"{""P2"": 0.9546273564157032, ""P3"": 0.9495564887637183}","{""P2"": 2.0556230545043945, ""P3"": 1.927616000175476}",42,False,,inner_selection,P2_P3,0.21904761904761905,0.08867784589529037,0.18894090077823206
ERM_WARMUP,S1,0.0,7,SOURCE_LOPO_DEVELOPMENT,S1,3.7173358786950903,P1,P1,,0.0,0.749969622294108,0.749969622294108,erm,"{""P2"": 0.7560346531867981, ""P3"": 0.743904587768373}","{""P2"": 2.1651499271392822, ""P3"": 1.9977682828903198}",42,False,,inner_selection,P2_P3,0.21619047619047618,0.2165302187204361,0.17720340298849407
ERM_WARMUP,S1,0.0,8,SOURCE_LOPO_DEVELOPMENT,S1,6.754600739790123,P1,P1,,0.0,0.6390818598156883,0.6390818598156883,erm,"{""P2"": 0.641055767309098, ""P3"": 0.6371079501651582}","{""P2"": 2.1722464561462402, ""P3"": 2.008835554122925}",42,False,,inner_selection,P2_P3,0.1919047619047619,0.22285674512386322,0.1998941330967983
ERM_WARMUP,S1,0.0,9,SOURCE_LOPO_DEVELOPMENT,S1,3.4339857981411948,P1,P1,,0.0,0.45592881685211545,0.45592881685211545,erm,"{""P2"": 0.46196567103976294, ""P3"": 0.4498919535818554}","{""P2"": 2.167833089828491, ""P3"": 1.9930475950241089}",42,True,,inner_selection,P2_P3,0.28285714285714286,0.2242354452610016,0.26954037054820246
ERM_WARMUP,S1,0.0,10,SOURCE_LOPO_DEVELOPMENT,S1,3.2029545157362045,P1,P1,,0.0,0.34367869558788483,0.34367869558788483,erm,"{""P2"": 0.346866401831309, ""P3"": 0.3404909929775056}","{""P2"": 2.2264504432678223, ""P3"": 2.0566439628601074}",42,False,,inner_selection,P2_P3,0.21619047619047618,0.3437293469905853,0.20972809790059924
ERM_WARMUP,S1,0.0,11,SOURCE_LOPO_DEVELOPMENT,S1,4.643666088828255,P1,P1,,0.0,0.2753545139800935,0.2753545139800935,erm,"{""P2"": 0.27498851730709983, ""P3"": 0.2757205024787358}","{""P2"": 2.350346803665161, ""P3"": 2.1359915733337402}",42,False,,inner_selection,P2_P3,0.25476190476190474,0.5899271368980408,0.21325506994196397
