method,seed,position_probe_balanced_accuracy,position_probe_macro_f1,position_probe_chance_balanced_accuracy,tagid_probe_macro_f1,position_silhouette,tagid_silhouette,within_class_cross_position_distance,between_class_distance,position_to_tagid_separability_ratio,embedding_norm_mean,embedding_norm_population_sd,probe_train_condition_count,probe_test_condition_count,condition_block_disjoint
erm,42,0.9206349206349206,0.9200537575823616,0.3333333333333333,1.0,0.025449590757489204,0.2105773389339447,1.255401304789952,2.556487560272217,0.12085626538130202,7.963063716888428,0.2839709520339966,126,63,True
irm,42,0.7619047619047619,0.7583275261324042,0.3333333333333333,0.3110262286732875,0.04265204444527626,-0.04930483177304268,0.3883533946105412,0.25810933113098145,0.8650682481102426,9.069473266601562,0.4210244417190552,126,63,True
erm,43,0.9047619047619048,0.9043549043549044,0.3333333333333333,1.0,0.027181530371308327,0.18979035317897797,1.253406286239624,2.412909507751465,0.14321871431302588,7.839180946350098,0.28657740354537964,126,63,True
irm,43,0.9047619047619048,0.9043549043549044,0.3333333333333333,0.9689075630252102,0.020602449774742126,0.15528959035873413,1.352772559438433,2.6431362628936768,0.1326711579774823,8.054085731506348,0.31767672300338745,126,63,True
erm,44,0.873015873015873,0.8737579042457092,0.3333333333333333,1.0,0.03282385319471359,0.136824831366539,1.2376020295279366,2.0418601036071777,0.23989690224270785,7.5489301681518555,0.3313615918159485,126,63,True
irm,44,0.8888888888888888,0.8902303069853441,0.3333333333333333,0.8705250521261136,0.032116830348968506,0.04574168100953102,1.21644846030644,1.7303608655929565,0.7021348940428412,7.844614028930664,0.3203909397125244,126,63,True
erm,45,0.9047619047619048,0.9038901601830663,0.3333333333333333,1.0,0.041229650378227234,0.1554095298051834,1.383982743535723,2.2294561862945557,0.26529679634132763,7.686219692230225,0.2910648286342621,126,63,True
irm,45,0.9047619047619048,0.905656615094579,0.3333333333333333,0.9201889527740921,0.029375076293945312,0.11021466553211212,1.4163427693503243,2.3722784519195557,0.2665260213069067,7.811050891876221,0.3222660720348358,126,63,True
erm,46,0.9047619047619048,0.9057649667405765,0.3333333333333333,1.0,0.027244195342063904,0.14878365397453308,1.168023705482483,2.0799450874328613,0.18311282600121667,7.510767936706543,0.2706538438796997,126,63,True
irm,46,0.9206349206349206,0.9214995483288165,0.3333333333333333,0.9360619686471079,0.025500861927866936,0.08997365832328796,1.2295375977243697,2.024954080581665,0.28342586489301974,7.518011093139648,0.2891515791416168,126,63,True
