execution_stage,method,lambda,seed,epochs,optimizer_steps,checkpoint_sha256,model_state_sha256,encoder_second_order_gradient_norm
FINAL_SOURCE_TRAINING,erm,,42,13,481,8472276a8c885de7de6cb8e4752f1bc508f1579b8a8c3d87951f08ef99ddb90c,975579d0946cb05fbc3a9b9a03ab24e3baac8ec8baa9f69b8b969c6df3750df7,0.0
FINAL_SOURCE_TRAINING,irm,1.0,42,13,481,94feeb199f09aa89e4d3285cc179dcfe9825a5f5e2bda019b1da85aa73c2948a,fe4967747bd3b9f8924bbfc00f47007cd07e35ed446aa43f04a5122015490a02,2.256960868835449
FINAL_SOURCE_TRAINING,erm,,43,13,481,5531288b9373dc3ed8ad9ba65bb7ac1618dd643be9b8b8a5a9c4e0094ee6d530,1303d64f8d2167361577d681754f20f345279d4c023a3ed2ac9f1f9483a2012d,0.0
FINAL_SOURCE_TRAINING,irm,1.0,43,13,481,ea61ee87c41df39fbd2a6cb2cf6efa3c47df22b00fcf7c330d96b13b36ada1b5,e9d34976103f984ae3480cf6e1cc8b2db2d62109c2693f51d5add6fc2514f636,0.9457987546920776
FINAL_SOURCE_TRAINING,erm,,44,9,333,5bca2bb2c49d59c23fa1a73f28812253d790a8d73592ae0619b387f4f36d6580,d0a50d8d48c17d9cd7ccc3e1b53bc8cabae1d71002be92da1890a50d6d6701c8,0.0
FINAL_SOURCE_TRAINING,irm,1.0,44,9,333,108d297f90de29b2082d411b1de9ef4172f37267212d2dea820000b1cfaf8ffa,12b9bfe991c6cfd3aa3e8c3065d1f56fbf9e99f1d320d7b7f062d79405b1dd45,1.0413235425949097
FINAL_SOURCE_TRAINING,erm,,45,10,370,07e88afee584a3eadec547fe99d50b7f9859ec936b352593a151a2800a43034d,7be57b8ccca44c80e4dfeb518e53edc8cf92a2422102d9b1c5549cd8172e8634,0.0
FINAL_SOURCE_TRAINING,irm,1.0,45,10,370,a1f424adf37aa792bd3a316aa150b455201d3f9e50ee4b9c6e3f4126b9531014,341ddcdbecad31050520bdac656cbf40f33e6600cb78d16e512dbb575da74cbb,1.5059049129486084
FINAL_SOURCE_TRAINING,erm,,46,9,333,78c4b88839a9300ab8d2bcb34866f99062b27abf980109ce1d18d48696dbd50c,65072c526674a6f046d5b45274005208ed7dd35a45a611e0745d2901709fed21,0.0
FINAL_SOURCE_TRAINING,irm,1.0,46,9,333,0499beefe6e3a7e1fe8c31765bebed9719d3528443677985cf4bdaab6aa7ebd7,3d48f4943ded1fcf4577cda2cc8135fcfb2bb28d92bb709ec377f27bf0089676,1.1352171897888184
