method,seed,tagid_label,row_count,block_count
erm,42,0,522,11
erm,42,1,66,1
erm,42,2,155,3
erm,42,3,1458,29
erm,42,4,549,11
erm,42,5,156,3
erm,42,6,244,5
erm,43,0,692,14
erm,43,1,229,4
erm,43,2,199,4
erm,43,3,1103,22
erm,43,4,513,10
erm,43,5,97,2
erm,43,6,317,7
erm,44,0,634,13
erm,44,1,465,9
erm,44,2,0,0
erm,44,3,1524,30
erm,44,4,478,10
erm,44,5,49,1
erm,44,6,0,0
erm,45,0,562,12
erm,45,1,271,5
erm,45,2,7,0
erm,45,3,1522,30
erm,45,4,46,1
erm,45,5,490,10
erm,45,6,252,5
erm,46,0,677,13
erm,46,1,54,1
erm,46,2,64,1
erm,46,3,1418,28
erm,46,4,55,1
erm,46,5,403,8
erm,46,6,479,11
irm,42,0,276,5
irm,42,1,0,0
irm,42,2,51,1
irm,42,3,2282,45
irm,42,4,153,3
irm,42,5,0,0
irm,42,6,388,9
irm,43,0,247,5
irm,43,1,120,2
irm,43,2,150,3
irm,43,3,1859,37
irm,43,4,628,13
irm,43,5,47,1
irm,43,6,99,2
irm,44,0,50,1
irm,44,1,54,1
irm,44,2,195,4
irm,44,3,2288,45
irm,44,4,0,0
irm,44,5,0,0
irm,44,6,563,12
irm,45,0,803,16
irm,45,1,224,4
irm,45,2,0,0
irm,45,3,1462,29
irm,45,4,94,2
irm,45,5,183,4
irm,45,6,384,8
irm,46,0,0,0
irm,46,1,0,0
irm,46,2,199,4
irm,46,3,2660,53
irm,46,4,192,4
irm,46,5,49,1
irm,46,6,50,1
