row_type,comparison,metric,unit_id,source_seed,p4_split_seed,baseline_value,treatment_value,difference,mean_difference,sample_sd_difference,median_difference,minimum_difference,maximum_difference,positive_count,zero_count,negative_count,bootstrap_ci_lower,bootstrap_ci_upper,bootstrap_replicates,bootstrap_seed
UNIT,A1_MINUS_A0,macro_f1,source_seed_42_split_seed_11,42,11,0.12406863036319249,0.12406863036319249,0.0,,,,,,,,,,,,
UNIT,A1_MINUS_A0,macro_f1,source_seed_42_split_seed_23,42,23,0.12444962320820463,0.1182595383517437,-0.006190084856460928,,,,,,,,,,,,
UNIT,A1_MINUS_A0,macro_f1,source_seed_42_split_seed_37,42,37,0.12613506373333336,0.12613506373333336,0.0,,,,,,,,,,,,
UNIT,A1_MINUS_A0,macro_f1,source_seed_42_split_seed_53,42,53,0.12454591337458516,0.12454591337458516,0.0,,,,,,,,,,,,
UNIT,A1_MINUS_A0,macro_f1,source_seed_42_split_seed_71,42,71,0.12442264630262703,0.12038191105200709,-0.004040735250619945,,,,,,,,,,,,
UNIT,A1_MINUS_A0,macro_f1,source_seed_43_split_seed_11,43,11,0.10043390741329676,0.09701474661022383,-0.003419160803072932,,,,,,,,,,,,
UNIT,A1_MINUS_A0,macro_f1,source_seed_43_split_seed_23,43,23,0.09720363060380563,0.09768589497923622,0.00048226437543058553,,,,,,,,,,,,
UNIT,A1_MINUS_A0,macro_f1,source_seed_43_split_seed_37,43,37,0.0991042951739175,0.0991042951739175,0.0,,,,,,,,,,,,
UNIT,A1_MINUS_A0,macro_f1,source_seed_43_split_seed_53,43,53,0.09465208332975146,0.09590556978039592,0.0012534864506444643,,,,,,,,,,,,
UNIT,A1_MINUS_A0,macro_f1,source_seed_43_split_seed_71,43,71,0.09692354013485086,0.09692354013485086,0.0,,,,,,,,,,,,
UNIT,A1_MINUS_A0,macro_f1,source_seed_44_split_seed_11,44,11,0.1010112274287114,0.10089587759041864,-0.00011534983829275536,,,,,,,,,,,,
UNIT,A1_MINUS_A0,macro_f1,source_seed_44_split_seed_23,44,23,0.10085102747489842,0.10085102747489842,0.0,,,,,,,,,,,,
UNIT,A1_MINUS_A0,macro_f1,source_seed_44_split_seed_37,44,37,0.10231208195110231,0.10130960138493353,-0.0010024805661687786,,,,,,,,,,,,
UNIT,A1_MINUS_A0,macro_f1,source_seed_44_split_seed_53,44,53,0.10009005865821051,0.10148705911909343,0.0013970004608829245,,,,,,,,,,,,
UNIT,A1_MINUS_A0,macro_f1,source_seed_44_split_seed_71,44,71,0.10172422445739282,0.10365827893916661,0.001934054481773792,,,,,,,,,,,,
