arm,matrix_type,relative_path,unit_count,total_observations_in_aggregate,sha256
A0_MATCHED_SOURCE_ONLY_CONTROL,AGGREGATE_COUNTS,12_CONFUSION_MATRICES/A0_MATCHED_SOURCE_ONLY_CONTROL_AGGREGATE_COUNTS.csv,25,62180,f11b3cab4223a79e82977fced6cb7208dde8ce902de66e83eaf2b8e5d9fea1fa
A0_MATCHED_SOURCE_ONLY_CONTROL,ROW_NORMALIZED,12_CONFUSION_MATRICES/A0_MATCHED_SOURCE_ONLY_CONTROL_ROW_NORMALIZED.csv,25,62180,f5f0dbadc94eabe7433e56cdf0ca7a614155842c997de111141b4a729aa31563
A1_MATCHED_TARGET_INFORMED_SELECTION,AGGREGATE_COUNTS,12_CONFUSION_MATRICES/A1_MATCHED_TARGET_INFORMED_SELECTION_AGGREGATE_COUNTS.csv,25,62180,674e14ad2b39f24e877dfedb9f5cc668e41ef7a1af01d751b001940fd577a63d
A1_MATCHED_TARGET_INFORMED_SELECTION,ROW_NORMALIZED,12_CONFUSION_MATRICES/A1_MATCHED_TARGET_INFORMED_SELECTION_ROW_NORMALIZED.csv,25,62180,26f8e9fef2c91e06bb3803f620aaccdcb9c2634277c770f38ff1a73e7e7cb7bb
A2_PROTOTYPE_BLEND_SELECTED,AGGREGATE_COUNTS,12_CONFUSION_MATRICES/A2_PROTOTYPE_BLEND_SELECTED_AGGREGATE_COUNTS.csv,25,62180,fe5984f70105586cfaafe997500823680ab61aaf3b1260bbd1a792ac6c8d25a6
A2_PROTOTYPE_BLEND_SELECTED,ROW_NORMALIZED,12_CONFUSION_MATRICES/A2_PROTOTYPE_BLEND_SELECTED_ROW_NORMALIZED.csv,25,62180,7bcf96abef3f7781794542d2bcc2d0780d7870c671f436150b481336d0a30dba
A2_LINEAR_PROBE_SELECTED,AGGREGATE_COUNTS,12_CONFUSION_MATRICES/A2_LINEAR_PROBE_SELECTED_AGGREGATE_COUNTS.csv,25,62180,c1c1eb3bde7038c968544dd8cc6d545f693d49486a451c9f2d547a25f864c620
A2_LINEAR_PROBE_SELECTED,ROW_NORMALIZED,12_CONFUSION_MATRICES/A2_LINEAR_PROBE_SELECTED_ROW_NORMALIZED.csv,25,62180,6ee4931ead210e0bf91482275b2d024c32268b058c0e786eeff047bdc4351804
A2_FINAL_SELECTED,AGGREGATE_COUNTS,12_CONFUSION_MATRICES/A2_FINAL_SELECTED_AGGREGATE_COUNTS.csv,25,62180,c1c1eb3bde7038c968544dd8cc6d545f693d49486a451c9f2d547a25f864c620
A2_FINAL_SELECTED,ROW_NORMALIZED,12_CONFUSION_MATRICES/A2_FINAL_SELECTED_ROW_NORMALIZED.csv,25,62180,6ee4931ead210e0bf91482275b2d024c32268b058c0e786eeff047bdc4351804
