arm,learning_rate,encoder_weight_decay,epochs,unit_count,minimum_held_position_mean_query_macro_f1,overall_mean_query_macro_f1,overall_mean_query_accuracy,minimum_class_mean_recall,mean_support_minus_query_macro_f1,all_fits_finite
FULL_FT,1e-05,0.0,5,45,0.19260407265126048,0.2155519258752461,0.24417460317460313,0.09300000000000001,0.1463182850425839,True
FULL_FT,1e-05,0.0,10,45,0.19594458483575564,0.21716744575785626,0.24573015873015874,0.09333333333333334,0.15445306776741913,True
FULL_FT,1e-05,0.0,20,45,0.19968100620551382,0.2193703146032817,0.24753968253968253,0.09066666666666665,0.17010128963022733,True
FULL_FT,1e-05,0.0001,5,45,0.19260407265126048,0.2155519258752461,0.24417460317460313,0.09300000000000001,0.1463182850425839,True
FULL_FT,1e-05,0.0001,10,45,0.19594458483575564,0.21716744575785626,0.24573015873015874,0.09333333333333334,0.15445306776741913,True
FULL_FT,1e-05,0.0001,20,45,0.19968100620551382,0.2193703146032817,0.24753968253968253,0.09066666666666665,0.17010128963022733,True
FULL_FT,3e-05,0.0,5,45,0.19832664205290337,0.21826369233635134,0.24687301587301588,0.09555555555555555,0.16215028522048333,True
FULL_FT,3e-05,0.0,10,45,0.20511361518235258,0.22279576074053453,0.25138095238095237,0.08388888888888889,0.18339654783272638,True
FULL_FT,3e-05,0.0,20,45,0.20729908946038325,0.21954335354577736,0.2485238095238095,0.09655555555555555,0.2470195015885063,True
FULL_FT,3e-05,0.0001,5,45,0.19832664205290337,0.21826369233635134,0.24687301587301588,0.09555555555555555,0.16215028522048333,True
FULL_FT,3e-05,0.0001,10,45,0.20511361518235258,0.22279576074053453,0.25138095238095237,0.08388888888888889,0.18339654783272638,True
FULL_FT,3e-05,0.0001,20,45,0.20729908946038325,0.21954335354577736,0.2485238095238095,0.09655555555555555,0.2470195015885063,True
FULL_FT,0.0001,0.0,5,45,0.19874013839333118,0.2161987914671766,0.24646031746031744,0.08877777777777777,0.20079063885558707,True
FULL_FT,0.0001,0.0,10,45,0.20075344426957617,0.21351784548456793,0.24349206349206345,0.09299999999999999,0.2659677835248706,True
FULL_FT,0.0001,0.0,20,45,0.21414487104276514,0.22215732779643968,0.24974603174603177,0.08744444444444445,0.3722232211079188,True
FULL_FT,0.0001,0.0001,5,45,0.19874013839333118,0.2161987914671766,0.24646031746031744,0.08877777777777777,0.20079063885558707,True
FULL_FT,0.0001,0.0001,10,45,0.20075344426957617,0.21351784548456793,0.24349206349206345,0.09299999999999999,0.2659677835248706,True
FULL_FT,0.0001,0.0001,20,45,0.21414487104276514,0.22215732779643968,0.24974603174603177,0.08744444444444445,0.3722232211079188,True
FULL_FT,0.0003,0.0,5,45,0.1654872542090192,0.18271999132029582,0.2232857142857143,0.068,0.18633273391813024,True
FULL_FT,0.0003,0.0,10,45,0.18454684025947846,0.1976683097367589,0.23657142857142857,0.07088888888888889,0.28521024494851854,True
FULL_FT,0.0003,0.0,20,45,0.1909727876402984,0.21119384564481958,0.24646031746031744,0.09055555555555556,0.39209564212646086,True
FULL_FT,0.0003,0.0001,5,45,0.1654872542090192,0.18271999132029582,0.2232857142857143,0.068,0.18633273391813024,True
FULL_FT,0.0003,0.0001,10,45,0.1845495871322128,0.1976738930387199,0.23652380952380953,0.07088888888888889,0.2852046616465575,True
FULL_FT,0.0003,0.0001,20,45,0.19104248514370772,0.21125600554102503,0.24649206349206346,0.09077777777777778,0.39141755494766156,True
PARTIAL_FT,1e-05,0.0,5,45,0.19079933501534185,0.21503257652513286,0.24325396825396825,0.09366666666666666,0.13899605797969214,True
PARTIAL_FT,1e-05,0.0,10,45,0.19004964888642426,0.21492210270047574,0.24388888888888888,0.09300000000000001,0.14333246460171065,True
PARTIAL_FT,1e-05,0.0,20,45,0.19292840845729564,0.21605759333410168,0.24487301587301585,0.09300000000000001,0.1483196343764593,True
PARTIAL_FT,1e-05,0.0001,5,45,0.19079933501534185,0.21503257652513286,0.24325396825396825,0.09366666666666666,0.13899605797969214,True
PARTIAL_FT,1e-05,0.0001,10,45,0.19004964888642426,0.21492210270047574,0.24388888888888888,0.09300000000000001,0.14333246460171065,True
PARTIAL_FT,1e-05,0.0001,20,45,0.19292840845729564,0.21605759333410168,0.24487301587301585,0.09300000000000001,0.1483196343764593,True
PARTIAL_FT,3e-05,0.0,5,45,0.19107172454983798,0.21527911497950766,0.24426984126984125,0.09300000000000001,0.14527241461964097,True
PARTIAL_FT,3e-05,0.0,10,45,0.1958620556090881,0.21707821749044437,0.24574603174603174,0.09300000000000001,0.15877111835889146,True
PARTIAL_FT,3e-05,0.0,20,45,0.2006517529926037,0.2181578059161067,0.24699999999999997,0.08677777777777779,0.17595071343050786,True
PARTIAL_FT,3e-05,0.0001,5,45,0.19107172454983798,0.21527911497950766,0.24426984126984125,0.09300000000000001,0.14527241461964097,True
PARTIAL_FT,3e-05,0.0001,10,45,0.1958620556090881,0.21707821749044437,0.24574603174603174,0.09300000000000001,0.15877111835889146,True
PARTIAL_FT,3e-05,0.0001,20,45,0.2006517529926037,0.2181578059161067,0.24699999999999997,0.08677777777777779,0.17595071343050786,True
PARTIAL_FT,0.0001,0.0,5,45,0.19972215158173076,0.21851619444135453,0.24704761904761904,0.08744444444444444,0.16616364071467116,True
PARTIAL_FT,0.0001,0.0,10,45,0.20318303724308537,0.2221136058366811,0.25055555555555553,0.08811111111111111,0.1940416850805145,True
PARTIAL_FT,0.0001,0.0,20,45,0.20749181134196976,0.22066146974512554,0.25087301587301586,0.0788888888888889,0.2628215904046013,True
PARTIAL_FT,0.0001,0.0001,5,45,0.19972215158173076,0.21851619444135453,0.24704761904761904,0.08744444444444444,0.16616364071467116,True
PARTIAL_FT,0.0001,0.0001,10,45,0.20318303724308537,0.2221136058366811,0.25055555555555553,0.08811111111111111,0.1940416850805145,True
PARTIAL_FT,0.0001,0.0001,20,45,0.20749181134196976,0.22066146974512554,0.25087301587301586,0.0788888888888889,0.2628215904046013,True
PARTIAL_FT,0.0003,0.0,5,45,0.19684226688107512,0.2127978532397612,0.24612698412698417,0.07677777777777778,0.20853650904698207,True
PARTIAL_FT,0.0003,0.0,10,45,0.21934767682644865,0.224833140354807,0.2534444444444444,0.09166666666666666,0.26245355002712145,True
PARTIAL_FT,0.0003,0.0,20,45,0.21817485890151092,0.2302932466444318,0.25793650793650796,0.07222222222222222,0.3772488056595253,True
PARTIAL_FT,0.0003,0.0001,5,45,0.19684226688107512,0.21281143484483528,0.24614285714285716,0.07677777777777778,0.208522927441908,True
PARTIAL_FT,0.0003,0.0001,10,45,0.21934767682644865,0.224833140354807,0.2534444444444444,0.09166666666666666,0.2624776529083672,True
PARTIAL_FT,0.0003,0.0001,20,45,0.21817485890151092,0.23029234745060959,0.25793650793650796,0.07222222222222222,0.3772497048533475,True
