arm,parameter_name,parameter_count,trainable
PARTIAL_FT,network.0.weight,448,False
PARTIAL_FT,network.0.bias,64,False
PARTIAL_FT,network.1.weight,64,False
PARTIAL_FT,network.1.bias,64,False
PARTIAL_FT,network.4.weight,40960,False
PARTIAL_FT,network.4.bias,128,False
PARTIAL_FT,network.5.weight,128,False
PARTIAL_FT,network.5.bias,128,False
PARTIAL_FT,network.8.weight,98304,True
PARTIAL_FT,network.8.bias,256,True
PARTIAL_FT,network.9.weight,256,True
PARTIAL_FT,network.9.bias,256,True
PARTIAL_FT,network.13.weight,1792,True
PARTIAL_FT,network.13.bias,7,True
FULL_FT,network.0.weight,448,True
FULL_FT,network.0.bias,64,True
FULL_FT,network.1.weight,64,True
FULL_FT,network.1.bias,64,True
FULL_FT,network.4.weight,40960,True
FULL_FT,network.4.bias,128,True
FULL_FT,network.5.weight,128,True
FULL_FT,network.5.bias,128,True
FULL_FT,network.8.weight,98304,True
FULL_FT,network.8.bias,256,True
FULL_FT,network.9.weight,256,True
FULL_FT,network.9.bias,256,True
FULL_FT,network.13.weight,1792,True
FULL_FT,network.13.bias,7,True
