gate_id,passed,evidence
G01_PREREGISTRATION_HASH,True,1a56eb90bfd920f81b7f1be11ac122954d74197b6544184fcbb29bdaf66fe127
G02_IMMEDIATE_PARENT_BINDING,True,8e4bc66c600b1fa83d0a3f04f71672f8bccca653
G03_CALIBRATION_PARENT_BINDING,True,5af4b691d92a8949d78883d8e468cd008cc1aae1
G04_EXACT_PARENT_FOLDS,True,81b86e65bce6ff35e04b0b6a3fe2310fa5a65173e9d86c6693d40ec9e22c0482
G05_EXACT_PARENT_SUPPORTS,True,60 plans; 540 inherited budget validations
G06_SUPPORT_QUERY_ROW_DISJOINT,True,all inherited prefixes
G07_SUPPORT_QUERY_BLOCK_DISJOINT,True,all inherited prefixes
G08_SUPPORT_QUERY_SIGNAL_DISJOINT,True,all inherited prefixes
G09_BLOCK_CONSISTENCY,True,63 blocks x 50 rows
G10_SOURCE_SEEDS,True,"(42, 43, 44, 45, 46)"
G11_SOURCE_ONLY_HYPERPARAMETERS,True,721d82e7309ac12b7599da13bdcf33cdf347f5ea55fac43b744361f9c6badf8d
G12_PARTIAL_MASK,True,100871
G13_FULL_MASK,True,142855
G14_ORIGINAL_CHECKPOINT_START,True,both arms independently clone the source checkpoint
G15_OPTIMIZER_UNIT_ISOLATION,True,new model and AdamW instance per arm/budget/fold/source/support unit
G16_QUERY_OBJECT_ABSENT_FROM_FITTER,True,()
G17_PARENT_FROZEN_PREDICTIONS,True,c361c189a30698f0258c19bf37ad7c581b41358f679da79e20b04abf6e7b8e8b
G18_FIXED_BUDGETS_AND_SEEDS,True,4 budgets x 5 source x 20 support x 3 folds
