arm,method,budget,source_seed,support_seed,fold,finetuning_seed,learning_rate,encoder_weight_decay,epochs,support_rows,class_count_min,class_count_max,support_accuracy,support_macro_f1,support_worst_class_f1,final_cross_entropy,final_proximal_penalty,final_objective,all_objectives_finite,source_encoder_sha256,adapted_encoder_sha256,adapted_model_sha256,encoder_displacement_frobenius,changed_parameter_names,trainable_parameter_names,trainable_parameter_count,optimizer_state_is_unit_local,parent_head_optimizer_completed_finite,parent_head_adapted_sha256,embedding_mean_cosine_to_source,embedding_rms_displacement
PARTIAL_FT,PARTIAL_C1_ENCODER_FINETUNING_LINEAR_SOFTMAX,7,42,104729,0,2356896387,0.0003,0.0,10,7,1,1,1.0,1.0,1.0,0.6701779365539551,0.6009598970413208,1.2711378335952759,True,3b0c7de0c26ad779aa1bf00b37a40a12477b1675e8957b0be341542c4c7bd1fa,820b25dfc3bbb8c5023c974914b917a8d9356dcd96aa75e67a93d856786dacc6,422430ea982260b5ab2047d9c1f0f03a5c824d24599c9c32ca04f058ed11dfdf,0.6270186170569806,network.13.bias|network.13.weight|network.8.bias|network.8.weight|network.9.bias|network.9.weight,network.13.bias|network.13.weight|network.8.bias|network.8.weight|network.9.bias|network.9.weight,100871,True,True,e611a73a0e884dc34b67aec2661fa7641470187e1491c76b4a12651c43af7e33,0.9526415948003606,0.1522395637185317
FULL_FT,FULL_C1_ENCODER_FINETUNING_LINEAR_SOFTMAX,7,42,104729,0,1680864513,0.0001,0.0001,20,7,1,1,1.0,1.0,1.0,0.40649765729904175,0.5965888500213623,1.0030865669250488,True,3b0c7de0c26ad779aa1bf00b37a40a12477b1675e8957b0be341542c4c7bd1fa,3ed2e621eaf686d7c2e2a05b89382526e6077e98767ec52da6ff2fa1ed1b34f2,7a0832f7e0bcce6062669603f263791124047493ac77fb170339a1fe5f5acc5e,0.48766561560968225,network.0.bias|network.0.weight|network.1.bias|network.1.weight|network.13.bias|network.13.weight|network.4.bias|network.4.weight|network.5.bias|network.5.weight|network.8.bias|network.8.weight|network.9.bias|network.9.weight,network.0.bias|network.0.weight|network.1.bias|network.1.weight|network.13.bias|network.13.weight|network.4.bias|network.4.weight|network.5.bias|network.5.weight|network.8.bias|network.8.weight|network.9.bias|network.9.weight,142855,True,True,e611a73a0e884dc34b67aec2661fa7641470187e1491c76b4a12651c43af7e33,0.958117501746998,0.14208154684727176
PARTIAL_FT,PARTIAL_C1_ENCODER_FINETUNING_LINEAR_SOFTMAX,35,42,104729,0,3374482046,0.0003,0.0,10,35,5,5,0.34285714285714286,0.3525252525252525,0.18181818181818182,1.743046522140503,0.2684890627861023,2.01153564453125,True,3b0c7de0c26ad779aa1bf00b37a40a12477b1675e8957b0be341542c4c7bd1fa,54d660833a0591d8c1fda4679b0a1641dbfc6b1793027ed6e250483420cb7a5b,aaff3a6e57eaa147d1d3979940dc9ab7dbb09d17796956b1689a2c8d718f5875,0.5416694175119463,network.13.bias|network.13.weight|network.8.bias|network.8.weight|network.9.bias|network.9.weight,network.13.bias|network.13.weight|network.8.bias|network.8.weight|network.9.bias|network.9.weight,100871,True,True,b364d7ab392171dbdd3f82f6747f3cabb26d227c48792183d04ee0512c0155e0,0.945771126362989,0.16269750736070454
FULL_FT,FULL_C1_ENCODER_FINETUNING_LINEAR_SOFTMAX,35,42,104729,0,788980617,0.0001,0.0001,20,35,5,5,0.4,0.3940836940836941,0.2,1.586739420890808,0.2688274681568146,1.8555668592453003,True,3b0c7de0c26ad779aa1bf00b37a40a12477b1675e8957b0be341542c4c7bd1fa,ad159fcae06e02ba4fd646c50e41473e3a44b117026e106583b19305c4595d8b,d3a4aa38df0afbe8b3703edc92897c68ceee0850f945b29e7c37b07cacab839a,0.40044025772802555,network.0.bias|network.0.weight|network.1.bias|network.1.weight|network.13.bias|network.13.weight|network.4.bias|network.4.weight|network.5.bias|network.5.weight|network.8.bias|network.8.weight|network.9.bias|network.9.weight,network.0.bias|network.0.weight|network.1.bias|network.1.weight|network.13.bias|network.13.weight|network.4.bias|network.4.weight|network.5.bias|network.5.weight|network.8.bias|network.8.weight|network.9.bias|network.9.weight,142855,True,True,b364d7ab392171dbdd3f82f6747f3cabb26d227c48792183d04ee0512c0155e0,0.9565553177635331,0.1450991935748996
PARTIAL_FT,PARTIAL_C1_ENCODER_FINETUNING_LINEAR_SOFTMAX,100,42,104729,0,800716779,0.0003,0.0,10,100,14,15,0.31,0.304959915000483,0.0,1.741265058517456,0.2465735822916031,1.987838625907898,True,3b0c7de0c26ad779aa1bf00b37a40a12477b1675e8957b0be341542c4c7bd1fa,16520ee1a403c591ef186cb2278cd8813d68235c2ec51f6364cb2ff93b251f43,b8d973a95501a3cd8e565b85feb732fb41c61ea4978d6cb0e1f799c35a70ffd9,0.5259049026132436,network.13.bias|network.13.weight|network.8.bias|network.8.weight|network.9.bias|network.9.weight,network.13.bias|network.13.weight|network.8.bias|network.8.weight|network.9.bias|network.9.weight,100871,True,True,91d7927d72277fcc00b0114a478c969f73348ba7c8c149acf93a7d362e9edbca,0.9407857907947264,0.17094366124943786
FULL_FT,FULL_C1_ENCODER_FINETUNING_LINEAR_SOFTMAX,100,42,104729,0,742244754,0.0001,0.0001,20,100,14,15,0.42,0.3920155226776619,0.0,1.6034855842590332,0.24674835801124573,1.8502339124679565,True,3b0c7de0c26ad779aa1bf00b37a40a12477b1675e8957b0be341542c4c7bd1fa,a1adde5d40765f170a18c8a19ad20beb98ea33c487dace7cab31831566d74061,ec36e884f9b26404db3214e8486b8fce9af7c37be45daa67b5b5a887181cbb6e,0.3849437409643936,network.0.bias|network.0.weight|network.1.bias|network.1.weight|network.13.bias|network.13.weight|network.4.bias|network.4.weight|network.5.bias|network.5.weight|network.8.bias|network.8.weight|network.9.bias|network.9.weight,network.0.bias|network.0.weight|network.1.bias|network.1.weight|network.13.bias|network.13.weight|network.4.bias|network.4.weight|network.5.bias|network.5.weight|network.8.bias|network.8.weight|network.9.bias|network.9.weight,142855,True,True,91d7927d72277fcc00b0114a478c969f73348ba7c8c149acf93a7d362e9edbca,0.9513488382536645,0.15413405906675934
PARTIAL_FT,PARTIAL_C1_ENCODER_FINETUNING_LINEAR_SOFTMAX,500,42,104729,0,102462172,0.0003,0.0,10,500,71,72,0.26,0.257828725263106,0.0,1.7788561582565308,0.2548829913139343,2.0337390899658203,True,3b0c7de0c26ad779aa1bf00b37a40a12477b1675e8957b0be341542c4c7bd1fa,731b3ae9ca8c63d909365b4ec9b3a1e6ac2744041a9a123a735490e75d4f8576,1437084cabd500ef42f55561dd0244f8f6cc4b503be4aca20c811ff1442bc4bb,0.5281892617147439,network.13.bias|network.13.weight|network.8.bias|network.8.weight|network.9.bias|network.9.weight,network.13.bias|network.13.weight|network.8.bias|network.8.weight|network.9.bias|network.9.weight,100871,True,True,765dbdd4103b0db5a5a6fd8ab9e95ca65f6a5845b4993fefb9e8608ed6a8198d,0.9387428947505563,0.17447686823304617
FULL_FT,FULL_C1_ENCODER_FINETUNING_LINEAR_SOFTMAX,500,42,104729,0,3210335811,0.0001,0.0001,20,500,71,72,0.314,0.29212444362714873,0.020202020202020204,1.6504909992218018,0.2547421455383301,1.9052331447601318,True,3b0c7de0c26ad779aa1bf00b37a40a12477b1675e8957b0be341542c4c7bd1fa,9a7182d86a7be614d436a893e3688fc8996da04564eec6cda082e5182989ce93,92201232d741daa3cc2ca0d20ed1b3437fc205b9d4660d4715bb64981b85df4c,0.3748405946211609,network.0.bias|network.0.weight|network.1.bias|network.1.weight|network.13.bias|network.13.weight|network.4.bias|network.4.weight|network.5.bias|network.5.weight|network.8.bias|network.8.weight|network.9.bias|network.9.weight,network.0.bias|network.0.weight|network.1.bias|network.1.weight|network.13.bias|network.13.weight|network.4.bias|network.4.weight|network.5.bias|network.5.weight|network.8.bias|network.8.weight|network.9.bias|network.9.weight,142855,True,True,765dbdd4103b0db5a5a6fd8ab9e95ca65f6a5845b4993fefb9e8608ed6a8198d,0.950548690999193,0.15601526536837854
PARTIAL_FT,PARTIAL_C1_ENCODER_FINETUNING_LINEAR_SOFTMAX,7,42,130363,0,203859819,0.0003,0.0,10,7,1,1,1.0,1.0,1.0,0.6666510701179504,0.5994101762771606,1.2660613059997559,True,3b0c7de0c26ad779aa1bf00b37a40a12477b1675e8957b0be341542c4c7bd1fa,77cf3d663a3f6063045c60bbe8e262bffafd9391897ec2b41d28ee86ed2e5264,cd1d48b51cda59a330c4312d69402fe9023bae770aa61b8f33e746bbfc590596,0.631531004953121,network.13.bias|network.13.weight|network.8.bias|network.8.weight|network.9.bias|network.9.weight,network.13.bias|network.13.weight|network.8.bias|network.8.weight|network.9.bias|network.9.weight,100871,True,True,b52889636c1dc7ef69ff780352be04fcb18526bfdc25430511190e951ff11870,0.9529375486625623,0.15154595068354093
FULL_FT,FULL_C1_ENCODER_FINETUNING_LINEAR_SOFTMAX,7,42,130363,0,3216831086,0.0001,0.0001,20,7,1,1,1.0,1.0,1.0,0.4066520035266876,0.5955165028572083,1.0021685361862183,True,3b0c7de0c26ad779aa1bf00b37a40a12477b1675e8957b0be341542c4c7bd1fa,2189060beeeee0aa8b9956a00a2c6deecd758f50ce7e74cfafa6497cb5f5299b,7da771eb331e7f8824db02d9ae8811e322097e64481d665fe42a4d7baa7c5240,0.48683277589425833,network.0.bias|network.0.weight|network.1.bias|network.1.weight|network.13.bias|network.13.weight|network.4.bias|network.4.weight|network.5.bias|network.5.weight|network.8.bias|network.8.weight|network.9.bias|network.9.weight,network.0.bias|network.0.weight|network.1.bias|network.1.weight|network.13.bias|network.13.weight|network.4.bias|network.4.weight|network.5.bias|network.5.weight|network.8.bias|network.8.weight|network.9.bias|network.9.weight,142855,True,True,b52889636c1dc7ef69ff780352be04fcb18526bfdc25430511190e951ff11870,0.9582422317234254,0.14187158768651295
