arm,budget,source_seed,support_seed,fold,prediction_sha256,prediction_frozen_before_open,label_access_phase,seal_state_after_open
PARTIAL_FT,7,42,104729,0,07c4c1af03c9161a231de929fca3fad5f83cc0db45f085178ba3bc61d78359d0,True,FINAL_SCORING_ONLY,LABELS_OPENED
FULL_FT,7,42,104729,0,a292ddcd2ca27a3ea4d6a7a56787b89ca9287be1133bf9cfa7cc33f8c0bace1e,True,FINAL_SCORING_ONLY,LABELS_OPENED
PARTIAL_FT,35,42,104729,0,82b73cab442f9b658b1e294142282cefaa67e8c0b88aaac35dae7acc7b97ad7d,True,FINAL_SCORING_ONLY,LABELS_OPENED
FULL_FT,35,42,104729,0,633dfd77e7e5d0a578ebec7c1508843671664c1ed7852148eb97a7b0248d55ef,True,FINAL_SCORING_ONLY,LABELS_OPENED
PARTIAL_FT,100,42,104729,0,016ca403f0b8d4d7cfc266db2e2d2cb6309117566331f046ee50742041c1ef9e,True,FINAL_SCORING_ONLY,LABELS_OPENED
FULL_FT,100,42,104729,0,2b1983e56eddae3310ab6b226a6dcaea692588ca3de1f3398e377bbea4c1ff0a,True,FINAL_SCORING_ONLY,LABELS_OPENED
PARTIAL_FT,500,42,104729,0,7bc423b49b352ec2aeca9f59f30de48fae81e53bb0fe729ed97879781df80c81,True,FINAL_SCORING_ONLY,LABELS_OPENED
FULL_FT,500,42,104729,0,7a6558d48f02a2e73d2edca7c807088d39b5868e139db8725218e3fbe126c9c9,True,FINAL_SCORING_ONLY,LABELS_OPENED
PARTIAL_FT,7,42,130363,0,7ed4f560208131012ce18c69fe3e71b660d84f215f7fc2990f16cc64299035a9,True,FINAL_SCORING_ONLY,LABELS_OPENED
FULL_FT,7,42,130363,0,a292ddcd2ca27a3ea4d6a7a56787b89ca9287be1133bf9cfa7cc33f8c0bace1e,True,FINAL_SCORING_ONLY,LABELS_OPENED
PARTIAL_FT,35,42,130363,0,a9d793c989c13c3ebfb95f77bffd7b71f9cc0d7a56d63c9aa0ca9faec668e9f5,True,FINAL_SCORING_ONLY,LABELS_OPENED
FULL_FT,35,42,130363,0,f7f45c103f3c5a4df9c2fcffec22666b3d06cb6680126e8c58cf17dc4a566d80,True,FINAL_SCORING_ONLY,LABELS_OPENED
PARTIAL_FT,100,42,130363,0,4eefbc71074a23c7c76be4eb381ca6ace9f77e4b2c8d2788e7d6dee652c320f1,True,FINAL_SCORING_ONLY,LABELS_OPENED
FULL_FT,100,42,130363,0,dc3b13f64d552738e5dff09abef9d70e629dbab14ee4973e5b7177c3e4ed6151,True,FINAL_SCORING_ONLY,LABELS_OPENED
PARTIAL_FT,500,42,130363,0,7bc423b49b352ec2aeca9f59f30de48fae81e53bb0fe729ed97879781df80c81,True,FINAL_SCORING_ONLY,LABELS_OPENED
FULL_FT,500,42,130363,0,b522e792dbedd678494f5f0d460dad31dd0a412a699e32a8950637ee6fa533d2,True,FINAL_SCORING_ONLY,LABELS_OPENED
PARTIAL_FT,7,42,155921,0,2627edbf2364d8db89a8ed5cc486a02e0c64b3c7b736fc581eb9aa8c76e8faf3,True,FINAL_SCORING_ONLY,LABELS_OPENED
FULL_FT,7,42,155921,0,6eef5d3f014f4f8570efea84891d38caefb303f2926d0baa1f297d6b5cafe6db,True,FINAL_SCORING_ONLY,LABELS_OPENED
PARTIAL_FT,35,42,155921,0,1b00d65ba6962f56438111c928532d0db960b7cd19b4b578ccc05a8a789a113e,True,FINAL_SCORING_ONLY,LABELS_OPENED
