method,budget,source_seed,support_seed,accuracy,macro_f1,balanced_accuracy,worst_class_f1,prediction_sha256
FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,7,42,104729,0.16507936507936508,0.17228199917628015,0.16507936507936508,0.017654476670870115,4459e5362656a3a0576ce9c51688fa3096aabf77f33c8e3e6ac6a13c78ff99a5
FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,7,42,130363,0.17904761904761904,0.1694525468820982,0.17904761904761904,0.013769363166953529,75facd6cf4b1154b2acdda093b829ddf9e591c58d9aa551749f0edbd9556c400
FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,7,42,155921,0.19873015873015873,0.19083224224216339,0.19873015873015873,0.030706243602865915,b68617400fb4f3ff235ab3edebbd9e3f8cdb3acbd8929c735f4c407744f7df06
FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,7,42,181081,0.09428571428571429,0.09662362988186295,0.09428571428571428,0.0,5eafbb7cf76b6c846025cd11275d63e09ff5d269f34e3f49981d522c6faebfe4
FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,7,42,205439,0.16063492063492063,0.157604002725751,0.16063492063492066,0.0,89e56911cc49415a322451f162383eb39510880d18aa0f088f75d412e31de36e
FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,7,42,230003,0.11047619047619048,0.09571798314089516,0.11047619047619048,0.0,308a96ed72040754fc98313c081e39d7ba9fef4adcaa196974b2d4a94cc9a76f
FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,7,42,254959,0.15047619047619049,0.1315465215762072,0.15047619047619049,0.0,6a5ab746f34dbfd82131236e4bae40b0ad122fc4f5b5e6be52df718eaccadb60
FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,7,42,280001,0.09714285714285714,0.0978791435936266,0.09714285714285713,0.0,b60f40a13ce3777d914cf48f289f2e4847d9af12fa52b022bc812b433af84565
FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,7,42,305093,0.19206349206349208,0.1983093670460613,0.19206349206349208,0.12079207920792079,d37333442555416428af9ea119211b9d607300d42ed42978488a80cbfaf0c344
FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,7,42,330017,0.17904761904761904,0.18941301201012864,0.17904761904761907,0.05247376311844078,890d8d2b37cf4d09e328ce34967888619bf96078d595007d94aefbbeceec7048
FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,7,42,355031,0.17777777777777778,0.1791278657228334,0.17777777777777778,0.026402640264026403,2f95ae2b9ddbd8c3893bb4fcb8547615da3996b4f39dd4a8303656473e9b19d6
FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,7,42,380041,0.1292063492063492,0.12217867202452042,0.12920634920634919,0.00641025641025641,1d434b4f28f0a64903f004b2ff9e59898196d22434e11bcfd8d2cefcd132247b
FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,7,42,405019,0.12507936507936507,0.11378868786091008,0.12507936507936507,0.0,364d4faad3cf9db2900cfa5bf1f1ff96e0757aa0407b302d0a4d097c10263603
FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,7,42,430007,0.20539682539682538,0.2029691631028548,0.2053968253968254,0.0,c98ae88981deaedb863dbb9c7200173ee6ea6145abbc0d48957d90c333b8ce01
FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,7,42,455003,0.14793650793650795,0.15045273172327983,0.14793650793650795,0.0,3684980443f4a10662893b3ee563db1779b8985be1cc59d3e7020aa430ca685d
FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,7,42,480017,0.10952380952380952,0.10473492121773025,0.10952380952380955,0.004338394793926247,1ceda8fd0723c5f38029124198cd15adafef991abf2a44be558c4f527502054d
FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,7,42,505027,0.12698412698412698,0.1298671021047685,0.12698412698412698,0.0,e8ac32bec1a75e1d2b85d1ac807520e6ae4d06b435504da92a1e42cc0448e2cc
