budget,comparison,macro_f1_difference,macro_f1_ci_95_lower,macro_f1_ci_95_upper,accuracy_difference,accuracy_ci_95_lower,accuracy_ci_95_upper,reliable_positive_macro_f1,practical_macro_f1,practical_and_reliable_macro_f1
7,PARTIAL_MINUS_FROZEN,-0.00159033695707958,-0.01619546051415635,0.011939122451414012,-0.0002984126984126867,-0.014936507936507942,0.013996984126984165,False,False,False
7,FULL_MINUS_FROZEN,-0.0019363645223440251,-0.01789477003080313,0.012844715798144946,-0.0006095238095238098,-0.017477063492063495,0.015724126984126983,False,False,False
7,FULL_MINUS_PARTIAL,-0.0003460275652644451,-0.011289587696151163,0.010637175925093747,-0.0003111111111111231,-0.01177785714285714,0.011033015873015826,False,False,False
35,PARTIAL_MINUS_FROZEN,-0.004360299575645626,-0.01810920526346847,0.009116215792471023,-0.00241587301587301,-0.01592706349206349,0.01050500000000001,False,False,False
35,FULL_MINUS_FROZEN,-0.008596992080183607,-0.02870261552311116,0.009905687564254816,-0.005082539682539716,-0.024808571428571412,0.012537380952380904,False,False,False
35,FULL_MINUS_PARTIAL,-0.004236692504537981,-0.019363946841569883,0.011032782035958057,-0.002666666666666706,-0.01815658730158728,0.01274365079365078,False,False,False
100,PARTIAL_MINUS_FROZEN,-0.00828076681747178,-0.027676514097852593,0.007881316866941724,-0.0066634920634920936,-0.024755555555555503,0.00808301587301582,False,False,False
100,FULL_MINUS_FROZEN,-0.01125905006558861,-0.035970912531695425,0.009859784918994816,-0.008904761904761915,-0.0318479365079365,0.010124047619047626,False,False,False
100,FULL_MINUS_PARTIAL,-0.002978283248116831,-0.020202467036427245,0.014521630901404637,-0.0022412698412698218,-0.01838936507936508,0.014212698412698399,False,False,False
500,PARTIAL_MINUS_FROZEN,-0.010879698215497585,-0.03821062855735064,0.007582565884292239,-0.009031746031746057,-0.03398412698412698,0.007676269841269839,False,False,False
500,FULL_MINUS_FROZEN,-0.01312742220409499,-0.044749225821782916,0.014495154177544664,-0.01049523809523814,-0.039930793650793654,0.014657142857142855,False,False,False
500,FULL_MINUS_PARTIAL,-0.0022477239885974054,-0.02677113145062567,0.021382385861393103,-0.0014634920634920834,-0.023762380952380938,0.01956507936507937,False,False,False
