method,budget,class_index,TagID,f1_mean,f1_sd
FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,35,0,1,0.07322517439796636,0.05304117625269109
FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,35,1,2,0.17315640861447337,0.07983405317281712
FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,35,2,3,0.1818461318449802,0.05615620883839595
FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,35,3,4,0.055482251367635425,0.04820760768077043
FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,35,4,5,0.16324748999455935,0.06039812259659099
FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,35,5,6,0.12132887760069526,0.06773591435229553
FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,35,6,7,0.24442201960589233,0.052034008306104995
FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,100,0,1,0.08698241861262312,0.050337930652642464
FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,100,1,2,0.16629320018995558,0.08476870145736895
FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,100,2,3,0.1811863344791955,0.050819873073952866
FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,100,3,4,0.049641167898151185,0.048089606486805346
FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,100,4,5,0.16684028283856045,0.05217777291019047
FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,100,5,6,0.11899221177373835,0.069423010839741
FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,100,6,7,0.23990083034616494,0.03959548864506766
FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,500,0,1,0.08148076607368454,0.04447170558951009
FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,500,1,2,0.1658458021034515,0.0932381962360247
FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,500,2,3,0.179254180654735,0.055544272467725246
FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,500,3,4,0.04353434495703894,0.03897380648216023
FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,500,4,5,0.1663423332986613,0.049649485190304
FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,500,5,6,0.125383054088453,0.07073774450461884
FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,500,6,7,0.2373427570708334,0.03745420157916146
