method,budget,factor,level,rows_per_unit,macro_f1_mean,macro_f1_sd
FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,35,ER,0,1050,0.08844402193454096,0.031876876900433275
FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,35,ER,1,1050,0.10494373281048838,0.04697723646005734
FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,35,ER,2,1050,0.1870836066043497,0.0439984667628178
FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,35,surface,0,1050,0.13032067573798123,0.06401901291695603
FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,35,surface,1,1050,0.15754081248530344,0.03999376102884024
FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,35,surface,2,1050,0.11639300378945604,0.04626208785168562
FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,100,ER,0,1050,0.08563563811196563,0.033368488935559444
FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,100,ER,1,1050,0.10684731172767835,0.041996386149456916
FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,100,ER,2,1050,0.18913090160090754,0.03666375955875939
FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,100,surface,0,1050,0.1317441357640587,0.07416812874145566
FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,100,surface,1,1050,0.15918284975098682,0.033805848191935856
FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,100,surface,2,1050,0.11342940036348952,0.04893501662507947
FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,500,ER,0,1050,0.08686632473063809,0.03810470945318727
FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,500,ER,1,1050,0.10760231249374756,0.038995355791000996
FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,500,ER,2,1050,0.18419553023867752,0.03544897185006959
FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,500,surface,0,1050,0.13098029019601992,0.08171714464350852
FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,500,surface,1,1050,0.1591834930666138,0.027222205549265067
FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,500,surface,2,1050,0.11409299126229357,0.06327713392164598
PARTIAL_C1_ENCODER_FINETUNING_LINEAR_SOFTMAX,35,ER,0,1050,0.08400423519508862,0.037702567917013555
PARTIAL_C1_ENCODER_FINETUNING_LINEAR_SOFTMAX,35,ER,1,1050,0.11060824183549667,0.06276433168972204
PARTIAL_C1_ENCODER_FINETUNING_LINEAR_SOFTMAX,35,ER,2,1050,0.18050072775271367,0.04237739379392392
PARTIAL_C1_ENCODER_FINETUNING_LINEAR_SOFTMAX,35,surface,0,1050,0.12896333288855333,0.05876372317131403
PARTIAL_C1_ENCODER_FINETUNING_LINEAR_SOFTMAX,35,surface,1,1050,0.15086293717032503,0.04143642069635189
PARTIAL_C1_ENCODER_FINETUNING_LINEAR_SOFTMAX,35,surface,2,1050,0.11468172751824722,0.042504594800850774
PARTIAL_C1_ENCODER_FINETUNING_LINEAR_SOFTMAX,100,ER,0,1050,0.07627176230929857,0.0381260034022124
PARTIAL_C1_ENCODER_FINETUNING_LINEAR_SOFTMAX,100,ER,1,1050,0.10512880581337393,0.05721039039258724
PARTIAL_C1_ENCODER_FINETUNING_LINEAR_SOFTMAX,100,ER,2,1050,0.18045466493085402,0.03976972264449096
PARTIAL_C1_ENCODER_FINETUNING_LINEAR_SOFTMAX,100,surface,0,1050,0.12658112821232623,0.0665427144424761
PARTIAL_C1_ENCODER_FINETUNING_LINEAR_SOFTMAX,100,surface,1,1050,0.14298484675062656,0.036329296719617585
PARTIAL_C1_ENCODER_FINETUNING_LINEAR_SOFTMAX,100,surface,2,1050,0.10834244245107348,0.036490364333548866
PARTIAL_C1_ENCODER_FINETUNING_LINEAR_SOFTMAX,500,ER,0,1050,0.07334017304367721,0.04241674929528416
PARTIAL_C1_ENCODER_FINETUNING_LINEAR_SOFTMAX,500,ER,1,1050,0.0993393586010944,0.0538650700546661
PARTIAL_C1_ENCODER_FINETUNING_LINEAR_SOFTMAX,500,ER,2,1050,0.17626338472755684,0.030889924913154652
PARTIAL_C1_ENCODER_FINETUNING_LINEAR_SOFTMAX,500,surface,0,1050,0.12496133783568625,0.06752883788015615
PARTIAL_C1_ENCODER_FINETUNING_LINEAR_SOFTMAX,500,surface,1,1050,0.14189672362704364,0.028794374428759054
PARTIAL_C1_ENCODER_FINETUNING_LINEAR_SOFTMAX,500,surface,2,1050,0.09751788920539221,0.029412990073734352
FULL_C1_ENCODER_FINETUNING_LINEAR_SOFTMAX,35,ER,0,1050,0.09723106007751596,0.036411634271411
FULL_C1_ENCODER_FINETUNING_LINEAR_SOFTMAX,35,ER,1,1050,0.09736751843684345,0.06001835893674407
FULL_C1_ENCODER_FINETUNING_LINEAR_SOFTMAX,35,ER,2,1050,0.17086626993272325,0.04579974691213165
FULL_C1_ENCODER_FINETUNING_LINEAR_SOFTMAX,35,surface,0,1050,0.13325222794256175,0.059132122676581425
FULL_C1_ENCODER_FINETUNING_LINEAR_SOFTMAX,35,surface,1,1050,0.13295958594312685,0.04476349000857158
FULL_C1_ENCODER_FINETUNING_LINEAR_SOFTMAX,35,surface,2,1050,0.12227623188991417,0.04684743712913322
FULL_C1_ENCODER_FINETUNING_LINEAR_SOFTMAX,100,ER,0,1050,0.0775681812506622,0.028642862738370432
FULL_C1_ENCODER_FINETUNING_LINEAR_SOFTMAX,100,ER,1,1050,0.10699718089697056,0.06377570945089639
FULL_C1_ENCODER_FINETUNING_LINEAR_SOFTMAX,100,ER,2,1050,0.16881922423526521,0.047672711996424935
FULL_C1_ENCODER_FINETUNING_LINEAR_SOFTMAX,100,surface,0,1050,0.12486588372714877,0.05836125710634612
FULL_C1_ENCODER_FINETUNING_LINEAR_SOFTMAX,100,surface,1,1050,0.13379902064020635,0.04356807338969093
FULL_C1_ENCODER_FINETUNING_LINEAR_SOFTMAX,100,surface,2,1050,0.11754717164810823,0.04426045264702623
FULL_C1_ENCODER_FINETUNING_LINEAR_SOFTMAX,500,ER,0,1050,0.07849682650424095,0.027172441561906048
FULL_C1_ENCODER_FINETUNING_LINEAR_SOFTMAX,500,ER,1,1050,0.10906356327175418,0.06526379463881211
FULL_C1_ENCODER_FINETUNING_LINEAR_SOFTMAX,500,ER,2,1050,0.15323998809382336,0.043788790528744535
FULL_C1_ENCODER_FINETUNING_LINEAR_SOFTMAX,500,surface,0,1050,0.12955146192439101,0.06154495408653876
FULL_C1_ENCODER_FINETUNING_LINEAR_SOFTMAX,500,surface,1,1050,0.12329800072242333,0.03890902598191306
