method,budget,class_index,ER,surface,rows_per_unit,mean_row_accuracy,unit_sd
FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,35,0,0,0,50,0.0,0.0
FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,35,0,0,1,50,0.0,0.0
FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,35,0,0,2,50,0.0,0.0
FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,35,0,1,0,50,0.0,0.0
FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,35,0,1,1,50,0.0,0.0
FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,35,0,1,2,50,0.0,0.0
FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,35,0,2,0,50,0.0,0.0
FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,35,0,2,1,50,0.2256,0.40145814227637727
FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,35,0,2,2,50,0.4754,0.45724264892942784
FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,35,1,0,0,50,0.8546,0.34434697617374255
FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,35,1,0,1,50,0.0,0.0
FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,35,1,0,2,50,0.35,0.395145542806698
FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,35,1,1,0,50,0.19,0.3923009049186606
FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,35,1,1,1,50,0.0,0.0
FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,35,1,1,2,50,0.0,0.0
FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,35,1,2,0,50,0.0,0.0
FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,35,1,2,1,50,0.0,0.0
FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,35,1,2,2,50,0.0678,0.20651188827764852
FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,35,2,0,0,50,0.0218,0.1401169511515291
FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,35,2,0,1,50,0.0,0.0
FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,35,2,0,2,50,0.1178,0.21890445404331088
FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,35,2,1,0,50,0.3096,0.461904578890489
FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,35,2,1,1,50,0.403,0.48600720159273364
FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,35,2,1,2,50,0.0108,0.034341811251010046
FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,35,2,2,0,50,0.0,0.0
FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,35,2,2,1,50,0.9,0.3
FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,35,2,2,2,50,0.0166,0.041957597643335114
FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,35,3,0,0,50,0.1236,0.29813258795374914
FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,35,3,0,1,50,0.242,0.3000066665925943
FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,35,3,0,2,50,0.0,0.0
FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,35,3,1,0,50,0.0548,0.04114559514698991
FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,35,3,1,1,50,0.0,0.0
FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,35,3,1,2,50,0.0056,0.00897997772825746
FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,35,3,2,0,50,0.0,0.0
FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,35,3,2,1,50,0.0882,0.28045812521658203
FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,35,3,2,2,50,0.0,0.0
FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,35,4,0,0,50,0.156,0.3595330304714714
FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,35,4,0,1,50,0.0,0.0
FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,35,4,0,2,50,0.0,0.0
FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,35,4,1,0,50,0.0,0.0
FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,35,4,1,1,50,0.062,0.18995789007040478
FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,35,4,1,2,50,0.1742,0.34926545778247237
FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,35,4,2,0,50,0.0,0.0
FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,35,4,2,1,50,0.7622,0.38245412796830947
FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,35,4,2,2,50,0.0378,0.18417155046314831
FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,35,5,0,0,50,0.0,0.0
FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,35,5,0,1,50,0.0222,0.02896825849097594
FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,35,5,0,2,50,0.254,0.4231170050943356
FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,35,5,1,0,50,0.049,0.030116440692751188
FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,35,5,1,1,50,0.7646,0.42131085910524557
FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,35,5,1,2,50,0.0392,0.19203999583420112
FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,35,5,2,0,50,0.0,0.0
FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,35,5,2,1,50,0.0,0.0
FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,35,5,2,2,50,0.0,0.0
FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,35,6,0,0,50,0.04,0.19595917942265426
FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,35,6,0,1,50,0.0,0.0
FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,35,6,0,2,50,0.005,0.008660254037844387
FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,35,6,1,0,50,0.4478,0.49553926181484353
FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,35,6,1,1,50,0.0,0.0
FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,35,6,1,2,50,0.0,0.0
FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,35,6,2,0,50,0.77,0.4208325082500164
FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,35,6,2,1,50,0.1984,0.39048359760686496
FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,35,6,2,2,50,0.98,4.440892098500626e-16
FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,100,0,0,0,50,0.0,0.0
FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,100,0,0,1,50,0.0,0.0
FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,100,0,0,2,50,0.0,0.0
FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,100,0,1,0,50,0.0,0.0
FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,100,0,1,1,50,0.02,0.13999999999999999
FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,100,0,1,2,50,0.0,0.0
FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,100,0,2,0,50,0.0,0.0
FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,100,0,2,1,50,0.3002,0.4246551071163514
FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,100,0,2,2,50,0.5042,0.45520364673407443
FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,100,1,0,0,50,0.8322,0.36300848474932373
FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,100,1,0,1,50,0.0,0.0
FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,100,1,0,2,50,0.2688,0.3467254821901614
FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,100,1,1,0,50,0.2,0.4
FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,100,1,1,1,50,0.0,0.0
FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,100,1,1,2,50,0.0,0.0
FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,100,1,2,0,50,0.0,0.0
FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,100,1,2,1,50,0.0,0.0
FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,100,1,2,2,50,0.0638,0.17612938426054867
FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,100,2,0,0,50,0.0018,0.010235233265539184
FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,100,2,0,1,50,0.0,0.0
FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,100,2,0,2,50,0.097,0.19399742266329215
FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,100,2,1,0,50,0.3536,0.47567114690718837
FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,100,2,1,1,50,0.4044,0.48825878384315835
FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,100,2,1,2,50,0.0132,0.03754677083318884
FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,100,2,2,0,50,0.0,0.0
FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,100,2,2,1,50,0.8694,0.336124441241633
FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,100,2,2,2,50,0.0134,0.038476486326066726
FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,100,3,0,0,50,0.0466,0.18380544061588602
FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,100,3,0,1,50,0.276,0.3111141269695094
FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,100,3,0,2,50,0.0,0.0
FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,100,3,1,0,50,0.054,0.0384187454245971
FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,100,3,1,1,50,0.0,0.0
FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,100,3,1,2,50,0.0074,0.009656086163658652
FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,100,3,2,0,50,0.0,0.0
FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,100,3,2,1,50,0.0668,0.2440527811765315
FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,100,3,2,2,50,0.0,0.0
FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,100,4,0,0,50,0.2,0.4
FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,100,4,0,1,50,0.0,0.0
FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,100,4,0,2,50,0.0,0.0
FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,100,4,1,0,50,0.0,0.0
FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,100,4,1,1,50,0.0266,0.03007390895776603
FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,100,4,1,2,50,0.215,0.38394140177896935
FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,100,4,2,0,50,0.0,0.0
FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,100,4,2,1,50,0.7646,0.3836858610895116
FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,100,4,2,2,50,0.0,0.0
FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,100,5,0,0,50,0.0,0.0
FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,100,5,0,1,50,0.0192,0.027988569095257446
FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,100,5,0,2,50,0.3108,0.44793231631575775
FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,100,5,1,0,50,0.0502,0.030132374616017244
FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,100,5,1,1,50,0.78,0.41424630354415964
FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,100,5,1,2,50,0.0,0.0
FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,100,5,2,0,50,0.0,0.0
FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,100,5,2,1,50,0.0,0.0
FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,100,5,2,2,50,0.0,0.0
FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,100,6,0,0,50,0.02,0.13999999999999999
FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,100,6,0,1,50,0.0,0.0
FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,100,6,0,2,50,0.0042,0.00814616474176652
FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,100,6,1,0,50,0.4,0.48989794855663565
FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,100,6,1,1,50,0.0,0.0
FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,100,6,1,2,50,0.0,0.0
FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,100,6,2,0,50,0.8,0.39999999999999997
FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,100,6,2,1,50,0.2052,0.398041404881452
FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,100,6,2,2,50,0.98,4.440892098500626e-16
FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,500,0,0,0,50,0.0,0.0
FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,500,0,0,1,50,0.0,0.0
FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,500,0,0,2,50,0.0,0.0
FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,500,0,1,0,50,0.0,0.0
FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,500,0,1,1,50,0.0,0.0
FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,500,0,1,2,50,0.0,0.0
FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,500,0,2,0,50,0.0,0.0
FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,500,0,2,1,50,0.376,0.4605040716432376
FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,500,0,2,2,50,0.3694,0.44675232511985874
FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,500,1,0,0,50,0.7924,0.39630069391814093
FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,500,1,0,1,50,0.0,0.0
FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,500,1,0,2,50,0.26,0.3403527581789224
FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,500,1,1,0,50,0.2,0.4
FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,500,1,1,1,50,0.0,0.0
FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,500,1,1,2,50,0.0,0.0
FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,500,1,2,0,50,0.0,0.0
FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,500,1,2,1,50,0.0,0.0
FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,500,1,2,2,50,0.096,0.192
