method,budget,true_class_index,predicted_class_index,count_across_100_units,row_normalized
FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,35,0,0,3505,0.07788888888888888
FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,35,0,1,5605,0.12455555555555556
FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,35,0,2,9672,0.21493333333333334
FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,35,0,3,3137,0.06971111111111111
FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,35,0,4,5771,0.12824444444444444
FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,35,0,5,5516,0.12257777777777777
FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,35,0,6,11794,0.26208888888888887
FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,35,1,0,4495,0.09988888888888889
FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,35,1,1,7312,0.16248888888888888
FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,35,1,2,12556,0.2790222222222222
FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,35,1,3,6933,0.15406666666666666
FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,35,1,4,1706,0.03791111111111111
FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,35,1,5,6499,0.14442222222222223
FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,35,1,6,5499,0.1222
FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,35,2,0,9651,0.21446666666666667
FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,35,2,1,3316,0.07368888888888889
FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,35,2,2,8898,0.19773333333333334
FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,35,2,3,2434,0.05408888888888889
FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,35,2,4,2372,0.05271111111111111
FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,35,2,5,11745,0.261
FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,35,2,6,6584,0.14631111111111111
FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,35,3,0,8994,0.19986666666666666
FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,35,3,1,9825,0.21833333333333332
FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,35,3,2,7395,0.16433333333333333
FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,35,3,3,2571,0.057133333333333335
FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,35,3,4,2888,0.06417777777777778
FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,35,3,5,3064,0.0680888888888889
FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,35,3,6,10263,0.22806666666666667
FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,35,4,0,4887,0.1086
FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,35,4,1,4507,0.10015555555555555
FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,35,4,2,6659,0.1479777777777778
FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,35,4,3,9811,0.21802222222222223
FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,35,4,4,5961,0.13246666666666668
FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,35,4,5,7164,0.1592
FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,35,4,6,6011,0.13357777777777777
FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,35,5,0,8297,0.18437777777777778
FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,35,5,1,6385,0.1418888888888889
FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,35,5,2,1061,0.023577777777777777
FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,35,5,3,12332,0.2740444444444444
FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,35,5,4,8981,0.19957777777777777
FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,35,5,5,5645,0.12544444444444444
FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,35,5,6,2299,0.05108888888888889
FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,35,6,0,11321,0.2515777777777778
FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,35,6,1,4002,0.08893333333333334
FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,35,6,2,4925,0.10944444444444444
FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,35,6,3,5952,0.13226666666666667
FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,35,6,4,1050,0.023333333333333334
FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,35,6,5,5544,0.1232
FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,35,6,6,12206,0.27124444444444445
FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,100,0,0,4122,0.0916
FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,100,0,1,5436,0.1208
FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,100,0,2,9436,0.2096888888888889
FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,100,0,3,3930,0.08733333333333333
FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,100,0,4,5142,0.11426666666666667
FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,100,0,5,5502,0.12226666666666666
FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,100,0,6,11432,0.25404444444444446
FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,100,1,0,4486,0.09968888888888888
FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,100,1,1,6824,0.15164444444444444
FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,100,1,2,12355,0.27455555555555555
FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,100,1,3,7329,0.16286666666666666
FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,100,1,4,1418,0.03151111111111111
FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,100,1,5,6366,0.14146666666666666
FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,100,1,6,6222,0.13826666666666668
FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,100,2,0,9552,0.21226666666666666
FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,100,2,1,3527,0.07837777777777778
FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,100,2,2,8764,0.19475555555555554
FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,100,2,3,1680,0.037333333333333336
FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,100,2,4,2338,0.05195555555555555
FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,100,2,5,12306,0.2734666666666667
FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,100,2,6,6833,0.15184444444444445
FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,100,3,0,8412,0.18693333333333334
FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,100,3,1,9209,0.20464444444444443
FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,100,3,2,7747,0.17215555555555556
FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,100,3,3,2254,0.05008888888888889
FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,100,3,4,3130,0.06955555555555555
FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,100,3,5,3738,0.08306666666666666
FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,100,3,6,10510,0.23355555555555554
FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,100,4,0,4201,0.09335555555555555
FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,100,4,1,4143,0.09206666666666667
FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,100,4,2,6431,0.1429111111111111
FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,100,4,3,9813,0.21806666666666666
FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,100,4,4,6031,0.1340222222222222
FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,100,4,5,8461,0.18802222222222223
FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,100,4,6,5920,0.13155555555555556
FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,100,5,0,8230,0.18288888888888888
FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,100,5,1,6325,0.14055555555555554
FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,100,5,2,1000,0.022222222222222223
FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,100,5,3,12552,0.2789333333333333
FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,100,5,4,9124,0.20275555555555555
FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,100,5,5,5801,0.12891111111111112
