arm,budget,fold,source_seed,support_seed,source_subset_rows,source_macro_f1_before,source_macro_f1_after,source_macro_f1_change,source_accuracy_before,source_accuracy_after
PARTIAL_FT,500,0,42,104729,189,0.968212948550585,0.9205706641382932,-0.04764228441229179,0.9682539682539683,0.9206349206349206
FULL_FT,500,0,42,104729,189,0.968212948550585,0.9093940963451842,-0.05881885220540084,0.9682539682539683,0.91005291005291
PARTIAL_FT,500,1,42,104729,189,0.968212948550585,0.9167591750914941,-0.05145377345909097,0.9682539682539683,0.9153439153439153
FULL_FT,500,1,42,104729,189,0.968212948550585,0.9047587751889903,-0.06345417336159476,0.9682539682539683,0.9047619047619048
PARTIAL_FT,500,2,42,104729,189,0.968212948550585,0.8661152342136929,-0.10209771433689219,0.9682539682539683,0.8624338624338624
FULL_FT,500,2,42,104729,189,0.968212948550585,0.9012994247260765,-0.06691352382450855,0.9682539682539683,0.8994708994708994
PARTIAL_FT,500,0,43,104729,189,0.9631487880621495,0.9093227815951944,-0.05382600646695512,0.9629629629629629,0.91005291005291
FULL_FT,500,0,43,104729,189,0.9631487880621495,0.9093006681891992,-0.05384811987295035,0.9629629629629629,0.91005291005291
PARTIAL_FT,500,1,43,104729,189,0.9631487880621495,0.9051544739215936,-0.05799431414055589,0.9629629629629629,0.9047619047619048
FULL_FT,500,1,43,104729,189,0.9631487880621495,0.8470036508816442,-0.11614513718050534,0.9629629629629629,0.8465608465608465
PARTIAL_FT,500,2,43,104729,189,0.9631487880621495,0.8781596651199665,-0.08498912294218308,0.9629629629629629,0.8783068783068783
FULL_FT,500,2,43,104729,189,0.9631487880621495,0.8378537730658502,-0.12529501499629936,0.9629629629629629,0.8359788359788359
PARTIAL_FT,500,0,44,104729,189,0.8295319624261371,0.7740343729030508,-0.055497589523086366,0.8412698412698413,0.7777777777777778
FULL_FT,500,0,44,104729,189,0.8295319624261371,0.762732742639024,-0.06679921978711312,0.8412698412698413,0.7671957671957672
PARTIAL_FT,500,1,44,104729,189,0.8295319624261371,0.7347372003473229,-0.09479476207881421,0.8412698412698413,0.7248677248677249
FULL_FT,500,1,44,104729,189,0.8295319624261371,0.6961339663521949,-0.1333979960739422,0.8412698412698413,0.6878306878306878
PARTIAL_FT,500,2,44,104729,189,0.8295319624261371,0.7406324029388575,-0.08889955948727968,0.8412698412698413,0.7354497354497355
FULL_FT,500,2,44,104729,189,0.8295319624261371,0.7197255995591176,-0.1098063628670195,0.8412698412698413,0.7195767195767195
PARTIAL_FT,500,0,45,104729,189,0.6694253792722227,0.7732055034127642,0.1037801241405415,0.6878306878306878,0.7671957671957672
FULL_FT,500,0,45,104729,189,0.6694253792722227,0.7514227446161479,0.08199736534392521,0.6878306878306878,0.746031746031746
PARTIAL_FT,500,1,45,104729,189,0.6694253792722227,0.7239112367354968,0.05448585746327417,0.6878306878306878,0.7142857142857143
FULL_FT,500,1,45,104729,189,0.6694253792722227,0.7120423312687982,0.04261695199657556,0.6878306878306878,0.7037037037037037
PARTIAL_FT,500,2,45,104729,189,0.6694253792722227,0.8072242323320763,0.13779885305985362,0.6878306878306878,0.8042328042328042
FULL_FT,500,2,45,104729,189,0.6694253792722227,0.7796299362372932,0.11020455696507048,0.6878306878306878,0.7777777777777778
PARTIAL_FT,500,0,46,104729,189,0.7916696499155459,0.7679292929292929,-0.023740356986252986,0.798941798941799,0.7671957671957672
FULL_FT,500,0,46,104729,189,0.7916696499155459,0.7466880633750096,-0.0449815865405363,0.798941798941799,0.746031746031746
PARTIAL_FT,500,1,46,104729,189,0.7916696499155459,0.7898621101939788,-0.0018075397215671085,0.798941798941799,0.783068783068783
FULL_FT,500,1,46,104729,189,0.7916696499155459,0.7390581739942353,-0.052611475921310547,0.798941798941799,0.7301587301587301
PARTIAL_FT,500,2,46,104729,189,0.7916696499155459,0.7981927204844201,0.006523070568874245,0.798941798941799,0.798941798941799
FULL_FT,500,2,46,104729,189,0.7916696499155459,0.7740189530590575,-0.017650696856488346,0.798941798941799,0.7777777777777778
