class_index,factor_cell,condition_block_id,row_count,raw_signal_values,first_difference_values,position
0,E0xS0,block_0b73d820a92300e7ac13,50,281,280,P4
0,E0xS1,block_7d26e6e0273fcd9680fd,50,281,280,P4
0,E0xS2,block_dcd65b6733239f039f78,50,281,280,P4
0,E1xS0,block_a7144b7d0b683272e22f,50,281,280,P4
0,E1xS1,block_0bff8e222bcdf0524320,50,281,280,P4
0,E1xS2,block_a11603a4e978f0aa6ae7,50,281,280,P4
0,E2xS0,block_ca31f3a2de70f6f36fe7,50,281,280,P4
0,E2xS1,block_3fd830e3c85599e9b165,50,281,280,P4
0,E2xS2,block_be20ec8525da703647b7,50,281,280,P4
1,E0xS0,block_e469b8dc99b1488b0224,50,281,280,P4
1,E0xS1,block_47daa4c11e848e54e086,50,281,280,P4
1,E0xS2,block_f9220b318055328fc70b,50,281,280,P4
1,E1xS0,block_9792098cb7d53418e0fa,50,281,280,P4
1,E1xS1,block_4b986650fb8e35cbcab3,50,281,280,P4
1,E1xS2,block_92a382111db9fde48de1,50,281,280,P4
1,E2xS0,block_514d45a2b30c2c844b4a,50,281,280,P4
1,E2xS1,block_bc3f8e677b092fd01efe,50,281,280,P4
1,E2xS2,block_a019125989e19a1c3743,50,281,280,P4
2,E0xS0,block_627d07f89a2461369a42,50,281,280,P4
2,E0xS1,block_784868aa8e666849cf0e,50,281,280,P4
2,E0xS2,block_a1f01518e8af3b26a76b,50,281,280,P4
2,E1xS0,block_b10eb3fae829467bb456,50,281,280,P4
2,E1xS1,block_133f2dd801a0bf206065,50,281,280,P4
2,E1xS2,block_d9a2aa445ea217ac43a8,50,281,280,P4
2,E2xS0,block_a9ba10c5c71cce187f2d,50,281,280,P4
2,E2xS1,block_43a8de3c5649853c978d,50,281,280,P4
2,E2xS2,block_ffd5b2a9479f017a39f8,50,281,280,P4
3,E0xS0,block_39c80b28048dc59e5b98,50,281,280,P4
3,E0xS1,block_ced46cc6b0f2f44089b9,50,281,280,P4
3,E0xS2,block_cd83c9ffbceb34f2a036,50,281,280,P4
3,E1xS0,block_b1cdea3c34a961f9bef1,50,281,280,P4
3,E1xS1,block_7f6d60523476cabfed03,50,281,280,P4
3,E1xS2,block_6a7d2cb8569eb9e0586b,50,281,280,P4
3,E2xS0,block_441a737804e3b88f75d1,50,281,280,P4
3,E2xS1,block_f9e261f86eb69990627a,50,281,280,P4
3,E2xS2,block_1768c537a907db1d06e2,50,281,280,P4
4,E0xS0,block_ae32ab3187a6e1b38780,50,281,280,P4
4,E0xS1,block_ac5f59ca3a86eb3571dd,50,281,280,P4
4,E0xS2,block_b5566805f96ca56a8df8,50,281,280,P4
4,E1xS0,block_3ce4205902299104d952,50,281,280,P4
4,E1xS1,block_ecc41b3e81becad4c11f,50,281,280,P4
4,E1xS2,block_087e19ccbd73a9532e0d,50,281,280,P4
4,E2xS0,block_fc4af4c92525fc000f31,50,281,280,P4
4,E2xS1,block_0c3084788dc02011c9d7,50,281,280,P4
4,E2xS2,block_3776c2ed6c293e3f0e9e,50,281,280,P4
5,E0xS0,block_c66cb679a8f3fd0bed20,50,281,280,P4
5,E0xS1,block_7edb50f252b2978616d9,50,281,280,P4
5,E0xS2,block_a6ed69b04e5479ad4efe,50,281,280,P4
5,E1xS0,block_8644f7eeb57e2b0834d8,50,281,280,P4
5,E1xS1,block_05bbe09489d3b092dcf7,50,281,280,P4
5,E1xS2,block_aa7b8dd31ee67cd57169,50,281,280,P4
5,E2xS0,block_dd0ea449f458e46f0ca5,50,281,280,P4
5,E2xS1,block_ee5a03f67d713e5a16d1,50,281,280,P4
5,E2xS2,block_daa129463ced47e5c69d,50,281,280,P4
6,E0xS0,block_4769f079f941359d9297,50,281,280,P4
6,E0xS1,block_fd0c2bf0a66580786ae9,50,281,280,P4
6,E0xS2,block_9c41b8b37cd02b562989,50,281,280,P4
6,E1xS0,block_eaeecdee1eb22a8038cd,50,281,280,P4
6,E1xS1,block_2b532eea571966268273,50,281,280,P4
6,E1xS2,block_0c0d962bec0b68bfa844,50,281,280,P4
6,E2xS0,block_8dfa1f4b216948ad599a,50,281,280,P4
6,E2xS1,block_341a112d441641aadab6,50,281,280,P4
6,E2xS2,block_1c8369316d0c7464ebc6,50,281,280,P4
