support_selection_id,fold,support_seed,strategy,budget,selected_factor_cells,query_factor_cells,unique_er_levels,unique_surfaces,unique_factor_cells,er_count_imbalance,surface_count_imbalance,pairwise_factor_grid_dispersion,mean_pairwise_factor_grid_distance,minimum_query_to_support_factor_distance,mean_query_to_support_factor_distance,every_query_er_represented,every_query_surface_represented,support_coverage_score
run_a93441a1c853cc7a734c,0,104729,RANDOM_BLOCK,1,E0xS2,E0xS0;E1xS1;E2xS2,1,1,1,1,1,0,0.0,2,2.0,False,False,0.16666666666666666
run_7bdfeddaf1ac51f4848e,0,104729,RANDOM_BLOCK,3,E0xS1;E1xS2;E2xS1,E0xS0;E1xS1;E2xS2,3,2,3,0,2,6,2.0,1,1.0,True,False,0.6666666666666666
run_1b6363a154035be443e5,0,104729,ER_BALANCED,3,E0xS1;E1xS2;E2xS0,E0xS0;E1xS1;E2xS2,3,3,3,0,0,8,2.6666666666666665,1,1.0,True,True,0.8333333333333333
run_e316fdb5b2b1139163e5,0,104729,SURFACE_BALANCED,3,E1xS0;E1xS2;E2xS1,E0xS0;E1xS1;E2xS2,2,3,3,2,0,6,2.0,1,1.0,False,True,0.6666666666666666
run_3c5c52f75aeefdbda4cc,0,104729,JOINT_FACTOR_COVERAGE,3,E0xS1;E1xS2;E2xS0,E0xS0;E1xS1;E2xS2,3,3,3,0,0,8,2.6666666666666665,1,1.0,True,True,0.8333333333333333
run_509288fc6844b8c760f8,0,104729,RANDOM_BLOCK,5,E0xS2;E1xS0;E1xS2;E2xS0;E2xS1,E0xS0;E1xS1;E2xS2,3,3,5,1,1,22,2.2,1,1.0,True,True,0.775
run_42d8fb162890dd0e3e2b,0,104729,JOINT_FACTOR_COVERAGE,5,E0xS1;E0xS2;E1xS0;E2xS0;E2xS1,E0xS0;E1xS1;E2xS2,3,3,5,1,1,22,2.2,1,1.0,True,True,0.775
run_4c598bf3d978b1b89580,0,130363,RANDOM_BLOCK,1,E1xS2,E0xS0;E1xS1;E2xS2,1,1,1,1,1,0,0.0,1,1.6666666666666667,False,False,0.16666666666666666
run_847b6c2e5cdd8ec96ff5,0,130363,RANDOM_BLOCK,3,E0xS1;E0xS2;E1xS2,E0xS0;E1xS1;E2xS2,2,2,3,2,2,4,1.3333333333333333,1,1.0,False,False,0.5
run_1e586f79d3ef20022e2b,0,130363,ER_BALANCED,3,E0xS1;E1xS2;E2xS0,E0xS0;E1xS1;E2xS2,3,3,3,0,0,8,2.6666666666666665,1,1.0,True,True,0.8333333333333333
run_a1334f23c8f6a18f23df,0,130363,SURFACE_BALANCED,3,E0xS1;E0xS2;E2xS0,E0xS0;E1xS1;E2xS2,2,3,3,2,0,8,2.6666666666666665,1,1.3333333333333333,False,True,0.75
run_da18b8ad9973f9ff8e83,0,130363,JOINT_FACTOR_COVERAGE,3,E0xS2;E1xS0;E2xS1,E0xS0;E1xS1;E2xS2,3,3,3,0,0,8,2.6666666666666665,1,1.0,True,True,0.8333333333333333
run_ec786723031912f72ad4,0,130363,RANDOM_BLOCK,5,E0xS2;E1xS0;E1xS2;E2xS0;E2xS1,E0xS0;E1xS1;E2xS2,3,3,5,1,1,22,2.2,1,1.0,True,True,0.775
run_13bc5a83efa142b8ef9b,0,130363,JOINT_FACTOR_COVERAGE,5,E0xS1;E0xS2;E1xS0;E1xS2;E2xS0,E0xS0;E1xS1;E2xS2,3,3,5,1,1,22,2.2,1,1.0,True,True,0.775
run_ba979b1592e3d136275e,0,155921,RANDOM_BLOCK,1,E0xS2,E0xS0;E1xS1;E2xS2,1,1,1,1,1,0,0.0,2,2.0,False,False,0.16666666666666666
run_b4f40eca5f3e48d8eabf,0,155921,RANDOM_BLOCK,3,E0xS2;E1xS0;E2xS0,E0xS0;E1xS1;E2xS2,3,2,3,0,2,8,2.6666666666666665,1,1.3333333333333333,True,False,0.75
run_5cebc3cb9109878ab578,0,155921,ER_BALANCED,3,E0xS1;E1xS0;E2xS1,E0xS0;E1xS1;E2xS2,3,2,3,0,2,6,2.0,1,1.0,True,False,0.6666666666666666
run_02d371b170ab4f8b316c,0,155921,SURFACE_BALANCED,3,E0xS1;E0xS2;E2xS0,E0xS0;E1xS1;E2xS2,2,3,3,2,0,8,2.6666666666666665,1,1.3333333333333333,False,True,0.75
run_e112ac3fb706d1a7338e,0,155921,JOINT_FACTOR_COVERAGE,3,E0xS1;E1xS2;E2xS0,E0xS0;E1xS1;E2xS2,3,3,3,0,0,8,2.6666666666666665,1,1.0,True,True,0.8333333333333333
run_5fd5d5aa6dc1d787bea1,0,155921,RANDOM_BLOCK,5,E0xS1;E0xS2;E1xS0;E1xS2;E2xS1,E0xS0;E1xS1;E2xS2,3,3,5,1,1,20,2.0,1,1.0,True,True,0.75
run_67cf236c3b776e77b9b4,0,155921,JOINT_FACTOR_COVERAGE,5,E0xS2;E1xS0;E1xS2;E2xS0;E2xS1,E0xS0;E1xS1;E2xS2,3,3,5,1,1,22,2.2,1,1.0,True,True,0.775
run_c16f8c5ebfbde3416d69,0,181081,RANDOM_BLOCK,1,E1xS0,E0xS0;E1xS1;E2xS2,1,1,1,1,1,0,0.0,1,1.6666666666666667,False,False,0.16666666666666666
run_5721c5c6358e8379d7c6,0,181081,RANDOM_BLOCK,3,E0xS1;E1xS0;E2xS1,E0xS0;E1xS1;E2xS2,3,2,3,0,2,6,2.0,1,1.0,True,False,0.6666666666666666
run_bc79f49cbaa5bcf32c4c,0,181081,ER_BALANCED,3,E0xS2;E1xS0;E2xS1,E0xS0;E1xS1;E2xS2,3,3,3,0,0,8,2.6666666666666665,1,1.0,True,True,0.8333333333333333
run_0c410982fde654b7f378,0,181081,SURFACE_BALANCED,3,E0xS1;E1xS0;E1xS2,E0xS0;E1xS1;E2xS2,2,3,3,2,0,6,2.0,1,1.0,False,True,0.6666666666666666
run_3f99fdd38ed1318c6069,0,181081,JOINT_FACTOR_COVERAGE,3,E0xS2;E1xS0;E2xS1,E0xS0;E1xS1;E2xS2,3,3,3,0,0,8,2.6666666666666665,1,1.0,True,True,0.8333333333333333
run_d37db281e3540dd6fe8f,0,181081,RANDOM_BLOCK,5,E0xS1;E0xS2;E1xS0;E2xS0;E2xS1,E0xS0;E1xS1;E2xS2,3,3,5,1,1,22,2.2,1,1.0,True,True,0.775
