run_id,method,budget,strategy,source_seed,support_seed,outer_fold,status,query_label_access_sequence,premature_query_label_access,query_metric_computation_count,prediction_sha256
run_2c28a64937810e29bb23,FS0_FROZEN_SOURCE_HEAD,0,FS0_FROZEN_SOURCE_HEAD,42,104729,0,COMPLETE_PREDICTIONS_HASHED_LABELS_OPENED_METRICS_ONCE,QUERY_LABELS_SEALED>QUERY_PREDICTIONS_FROZEN>QUERY_LABELS_OPENED_AFTER_PREDICTION_FREEZE>QUERY_METRICS_COMPUTED_ONCE,False,1,1c68e9101f351d55d0a638e619a1576c790f33083589f821ccfb020c2e3bf5e1
run_e8321d9ebc75fb9f8d2b,FS0_FROZEN_SOURCE_HEAD,0,FS0_FROZEN_SOURCE_HEAD,42,130363,0,COMPLETE_PREDICTIONS_HASHED_LABELS_OPENED_METRICS_ONCE,QUERY_LABELS_SEALED>QUERY_PREDICTIONS_FROZEN>QUERY_LABELS_OPENED_AFTER_PREDICTION_FREEZE>QUERY_METRICS_COMPUTED_ONCE,False,1,1c68e9101f351d55d0a638e619a1576c790f33083589f821ccfb020c2e3bf5e1
run_7077cc05476c2bf1c29a,FS0_FROZEN_SOURCE_HEAD,0,FS0_FROZEN_SOURCE_HEAD,42,155921,0,COMPLETE_PREDICTIONS_HASHED_LABELS_OPENED_METRICS_ONCE,QUERY_LABELS_SEALED>QUERY_PREDICTIONS_FROZEN>QUERY_LABELS_OPENED_AFTER_PREDICTION_FREEZE>QUERY_METRICS_COMPUTED_ONCE,False,1,1c68e9101f351d55d0a638e619a1576c790f33083589f821ccfb020c2e3bf5e1
run_0dacc03b8bd62313cb8e,FS0_FROZEN_SOURCE_HEAD,0,FS0_FROZEN_SOURCE_HEAD,42,181081,0,COMPLETE_PREDICTIONS_HASHED_LABELS_OPENED_METRICS_ONCE,QUERY_LABELS_SEALED>QUERY_PREDICTIONS_FROZEN>QUERY_LABELS_OPENED_AFTER_PREDICTION_FREEZE>QUERY_METRICS_COMPUTED_ONCE,False,1,1c68e9101f351d55d0a638e619a1576c790f33083589f821ccfb020c2e3bf5e1
run_d33b3f1bd8c2a2b5ac82,FS0_FROZEN_SOURCE_HEAD,0,FS0_FROZEN_SOURCE_HEAD,42,205439,0,COMPLETE_PREDICTIONS_HASHED_LABELS_OPENED_METRICS_ONCE,QUERY_LABELS_SEALED>QUERY_PREDICTIONS_FROZEN>QUERY_LABELS_OPENED_AFTER_PREDICTION_FREEZE>QUERY_METRICS_COMPUTED_ONCE,False,1,1c68e9101f351d55d0a638e619a1576c790f33083589f821ccfb020c2e3bf5e1
run_e1f2016062a1e1389c2f,TARGET_ONLY_COSINE_PROTOTYPE,1,RANDOM_BLOCK,42,104729,0,COMPLETE_PREDICTIONS_HASHED_LABELS_OPENED_METRICS_ONCE,QUERY_LABELS_SEALED>QUERY_PREDICTIONS_FROZEN>QUERY_LABELS_OPENED_AFTER_PREDICTION_FREEZE>QUERY_METRICS_COMPUTED_ONCE,False,1,161c4d5508415d02b4cf68145565ad2443b8367fd0bd08a49d41a5c1022d4820
run_146f10fd73beefc694b7,FROZEN_ENCODER_LINEAR_HEAD_ADAPTATION,1,RANDOM_BLOCK,42,104729,0,COMPLETE_PREDICTIONS_HASHED_LABELS_OPENED_METRICS_ONCE,QUERY_LABELS_SEALED>QUERY_PREDICTIONS_FROZEN>QUERY_LABELS_OPENED_AFTER_PREDICTION_FREEZE>QUERY_METRICS_COMPUTED_ONCE,False,1,c5b8bc2afc9a52a2e8796499f366d170e5e8c07e201c8052759c14234b879a85
run_876c3e1d90b7fd9db463,TARGET_ONLY_COSINE_PROTOTYPE,3,RANDOM_BLOCK,42,104729,0,COMPLETE_PREDICTIONS_HASHED_LABELS_OPENED_METRICS_ONCE,QUERY_LABELS_SEALED>QUERY_PREDICTIONS_FROZEN>QUERY_LABELS_OPENED_AFTER_PREDICTION_FREEZE>QUERY_METRICS_COMPUTED_ONCE,False,1,bcde622c7d9b0f3977ffd1a3415d613cf92bcf1d7133e9b518366d070e1cacb9
run_bc53c1680d223f565848,FROZEN_ENCODER_LINEAR_HEAD_ADAPTATION,3,RANDOM_BLOCK,42,104729,0,COMPLETE_PREDICTIONS_HASHED_LABELS_OPENED_METRICS_ONCE,QUERY_LABELS_SEALED>QUERY_PREDICTIONS_FROZEN>QUERY_LABELS_OPENED_AFTER_PREDICTION_FREEZE>QUERY_METRICS_COMPUTED_ONCE,False,1,009db483f0945ab6a2867bd2629bbb1009c2b8bff40ceae5850574e95051a85c
run_b41ec00371b7efe7df69,TARGET_ONLY_COSINE_PROTOTYPE,3,ER_BALANCED,42,104729,0,COMPLETE_PREDICTIONS_HASHED_LABELS_OPENED_METRICS_ONCE,QUERY_LABELS_SEALED>QUERY_PREDICTIONS_FROZEN>QUERY_LABELS_OPENED_AFTER_PREDICTION_FREEZE>QUERY_METRICS_COMPUTED_ONCE,False,1,43fe8752b805d7238ae7802512603b0aa5cf15b5bf6ac000b0bdb10af188e8bd
run_d05290ce03fe0e50bad3,FROZEN_ENCODER_LINEAR_HEAD_ADAPTATION,3,ER_BALANCED,42,104729,0,COMPLETE_PREDICTIONS_HASHED_LABELS_OPENED_METRICS_ONCE,QUERY_LABELS_SEALED>QUERY_PREDICTIONS_FROZEN>QUERY_LABELS_OPENED_AFTER_PREDICTION_FREEZE>QUERY_METRICS_COMPUTED_ONCE,False,1,37feb7138a72b706d71fbe64971bd6ca52b2d5d521baee5a4b0b62b41e466e62
run_829290a2ea4fd974e6f4,TARGET_ONLY_COSINE_PROTOTYPE,3,SURFACE_BALANCED,42,104729,0,COMPLETE_PREDICTIONS_HASHED_LABELS_OPENED_METRICS_ONCE,QUERY_LABELS_SEALED>QUERY_PREDICTIONS_FROZEN>QUERY_LABELS_OPENED_AFTER_PREDICTION_FREEZE>QUERY_METRICS_COMPUTED_ONCE,False,1,1b00d0b8a8175024a359730ee83e8bfce079c901fa37a32b00c0dcaac28ed3db
