run_id,method,budget,strategy,source_seed,support_seed,outer_fold,support_accuracy,support_macro_f1,initial_support_cross_entropy,final_support_cross_entropy,proximal_penalty,optimization_iterations,optimizer_function_evaluations,loss_trajectory,support_fit_threshold,support_fit_threshold_reached,optimizer_completed_finite,interpretation_valid,query_block_macro_f1_descriptive,adapted_head_sha256,anchor_head_sha256
run_146f10fd73beefc694b7,FROZEN_ENCODER_LINEAR_HEAD_ADAPTATION,1,RANDOM_BLOCK,42,104729,0,1.0,1.0,2.5479712476172516,0.8618364881960939,0.4303507685022157,39,43,"[2.547971247617,2.483934558736,2.077677681759,1.939051298304,1.872508418158,1.813381181467,1.583236305864,1.388178025496,2.501297759153,1.37207929065,1.305100448645,1.299460795328,1.298723541096,1.298109120684,1.295906430061,1.294451115286,1.292670150055,1.292277387399,1.292239049267,1.292235162612,1.292224106374,1.292207433262,1.292190963009,1.292188028222,1.292187761786,1.292187718259,1.292187591737,1.292187387543,1.292187303179,1.292187261482,1.292187260162,1.292187259678,1.292187258533,1.292187257438,1.292187256932,1.292187256736,1.292187256727,1.292187256725,1.292187256711,1.292187256707,1.292187256706,1.292187256701,1.292187256698]",Accuracy>=0.95 and Macro-F1>=0.95,True,True,True,0.16541950113378684,78dfb3bfa3545a86d444737c9cdc5c493fc87ba8f409a2af6a276ba5707f2331,7e695dbc8ed4a4a83418a8149c20995c9140bb0a35f19a6fd2f1402b1d017a9a
run_bc53c1680d223f565848,FROZEN_ENCODER_LINEAR_HEAD_ADAPTATION,3,RANDOM_BLOCK,42,104729,0,0.3333333333333333,0.3224489795918367,3.066358329246601,1.831508059934706,0.37550983524250564,66,103,"[3.066358329247,3.017281339126,2.757840399857,2.694876107031,2.655880700085,2.303905701469,2.317298826433,2.263918303448,2.227308064142,2.224420857315,2.223184434296,2.21766016467,2.212005615222,2.229405447562,2.21066715135,2.208114158588,2.207706212777,2.207630177152,2.207511624355,2.207274592046,2.207639311245,2.207206616052,2.20707091445,2.207036658008,2.207032872197,2.207030693881,2.207025190926,2.207028422498,2.20702309356,2.207019501759,2.207018502615,2.207018365773,2.207018280809,2.207018077963,2.207018236589,2.207018004954,2.207017931533,2.207017909837,2.207017907813,2.207017904832,2.2070178988,2.207017921236,2.207017897863,2.207017895721,2.207017895439,2.207017895777,2.20701789539,2.207017895395,2.207017895357,2.207017895631,2.207017895332,2.207017895358,2.207017895313,2.207017895502,2.207017895296,2.207017895316,2.207017895282,2.207017895427,2.207017895269,2.207017895285,2.207017895258,2.20701789537,2.207017895248,2.20701789526,2.207017895239,2.207017895327,2.207017895232,2.207017895241,2.207017895225,2.207017895293,2.207017895219,2.207017895226,2.207017895213,2.207017895267,2.207017895209,2.207017895214,2.207017895204,2.207017895247,2.207017895201,2.207017895205,2.207017895197,2.207017895231,2.207017895194,2.207017895198,2.207017895192,2.207017895218,2.207017895189,2.207017895192,2.207017895187,2.207017895208,2.207017895185,2.207017895187,2.207017895183,2.207017895201,2.207017895182,2.207017895184,2.207017895181,2.207017895194,2.207017895179,2.207017895181,2.207017895178,2.207017895189,2.207017895177]",Accuracy>=0.95 and Macro-F1>=0.95,False,True,False,0.22414965986394558,5c5fca69c68502679effe98c13deee6dd30b9a0eb822993778f699a8430b8ab9,7e695dbc8ed4a4a83418a8149c20995c9140bb0a35f19a6fd2f1402b1d017a9a
run_d05290ce03fe0e50bad3,FROZEN_ENCODER_LINEAR_HEAD_ADAPTATION,3,ER_BALANCED,42,104729,0,0.2857142857142857,0.2979591836734694,3.445800404429668,1.844246069476101,0.4776131619767429,47,55,"[3.44580040443,3.382849806448,3.059408200609,2.959492185782,2.91449995355,2.567014293118,2.410075122576,2.387687338109,2.343090452553,2.342063047049,2.338655500173,2.331573522158,2.325666828615,2.327262109433,2.323503575917,2.322535784871,2.322402345134,2.322359615048,2.322063159071,2.321972366687,2.321894809436,2.321879984698,2.321877307896,2.321871615176,2.321865011657,2.321860880339,2.32186015758,2.321859424986,2.321859409098,2.321859339402,2.321859272724,2.321859529964,2.321859259461,2.321859239424,2.321859236307,2.321859235462,2.321859233522,2.321859234541,2.321859232751,2.321859231803,2.32185923161,2.321859231572,2.321859231559,2.32185923155,2.321859231492,2.321859231484,2.32185923148,2.321859231478,2.321859231475,2.321859231466,2.321859231465,2.321859231463,2.321859231462,2.321859231454,2.321859231453]",Accuracy>=0.95 and Macro-F1>=0.95,False,True,False,0.20623582766439913,f3579407f17373e3e3b40e866abb8ae71b809bab8ce26e6af97133bfad5dcefe,7e695dbc8ed4a4a83418a8149c20995c9140bb0a35f19a6fd2f1402b1d017a9a
run_9cc92c4e5bc1b6adf5ac,FROZEN_ENCODER_LINEAR_HEAD_ADAPTATION,3,SURFACE_BALANCED,42,104729,0,0.23809523809523808,0.20510204081632652,2.770876978309108,1.5768443819171263,0.3578286427062943,49,57,"[2.770876978309,2.718782526676,2.450005545444,2.390803485762,2.357552089185,2.025611037355,2.013988906756,1.954570058136,1.951399329561,1.949771346534,1.946973250436,1.942331642963,1.937457325301,1.941378124696,1.936486134272,1.935629879182,1.935495475456,1.935399813094,1.935141725143,1.934842966481,1.935790447691,1.934805936904,1.934714944669,1.934703115796,1.934699783313,1.934693563269,1.934682592357,1.934687110958,1.934678106952,1.934674308236,1.934673529407,1.934673479633,1.934673356523,1.934673217085,1.934673089466,1.93467304354,1.934673039818,1.934673037401,1.93467303564,1.934673028144,1.934673025829,1.934673026209,1.934673025388,1.934673025171,1.934673025111,1.934673025068,1.934673024785,1.934673024907,1.934673024711,1.934673024654,1.934673024637,1.934673024634,1.934673024633,1.934673024632,1.934673024631,1.934673024625,1.934673024623]",Accuracy>=0.95 and Macro-F1>=0.95,False,True,False,0.1626984126984127,9f38fd752e997435898b38e8a377b8552186b439f96f19976df5310cf473d5dc,7e695dbc8ed4a4a83418a8149c20995c9140bb0a35f19a6fd2f1402b1d017a9a
run_8d6facc19730d8d31000,FROZEN_ENCODER_LINEAR_HEAD_ADAPTATION,3,JOINT_FACTOR_COVERAGE,42,104729,0,0.2857142857142857,0.2979591836734694,3.445800404429668,1.844246069476101,0.4776131619767429,47,55,"[3.44580040443,3.382849806448,3.059408200609,2.959492185782,2.91449995355,2.567014293118,2.410075122576,2.387687338109,2.343090452553,2.342063047049,2.338655500173,2.331573522158,2.325666828615,2.327262109433,2.323503575917,2.322535784871,2.322402345134,2.322359615048,2.322063159071,2.321972366687,2.321894809436,2.321879984698,2.321877307896,2.321871615176,2.321865011657,2.321860880339,2.32186015758,2.321859424986,2.321859409098,2.321859339402,2.321859272724,2.321859529964,2.321859259461,2.321859239424,2.321859236307,2.321859235462,2.321859233522,2.321859234541,2.321859232751,2.321859231803,2.32185923161,2.321859231572,2.321859231559,2.32185923155,2.321859231492,2.321859231484,2.32185923148,2.321859231478,2.321859231475,2.321859231466,2.321859231465,2.321859231463,2.321859231462,2.321859231454,2.321859231453]",Accuracy>=0.95 and Macro-F1>=0.95,False,True,False,0.20623582766439913,f3579407f17373e3e3b40e866abb8ae71b809bab8ce26e6af97133bfad5dcefe,7e695dbc8ed4a4a83418a8149c20995c9140bb0a35f19a6fd2f1402b1d017a9a
run_7d239b43f4674a60216b,FROZEN_ENCODER_LINEAR_HEAD_ADAPTATION,5,RANDOM_BLOCK,42,104729,0,1.0,1.0,2.8296530776695183,0.021770635344423448,0.05629196410448919,100,106,"[2.82965307767,2.775004621269,2.46882981019,2.39867131647,2.3744569933,2.275120933731,2.095022235222,1.77475575984,1.919090825577,1.663914516927,1.379178129634,1.330741483271,1.311455337454,1.297371771751,1.276014962988,1.209009717577,1.08820681965,0.937479483277,0.788587008532,0.753232249337,0.723322690758,0.708461941069,0.666864878786,0.59452552727,0.468331347054,0.451596523198,0.290419190536,0.242825140244,0.194380803106,0.184823574852,0.177626839532,0.172429300026,0.160033427953,0.143023257417,0.129908430427,0.121934435312,0.114089101468,0.109485948581,0.107466702025,0.106137736435,0.104761502807,0.103984966059,0.103053201838,0.100997650993,0.098397370616,0.095140239219,0.098691695306,0.092961721388,0.090500260326,0.088451568429,0.087527454558,0.087359906574,0.086704114212,0.086478178714,0.08605577343,0.085590090147,0.08457357816,0.083735085086,0.083211872612,0.08293830053,0.082822714597,0.082712772183,0.082573905715,0.082385441884,0.082095332232,0.08163532029,0.081030343146,0.080639365179,0.080506992499,0.080436848885,0.080396373167,0.080306178013,0.080133606459,0.079797690684,0.079552081099,0.079270154909,0.079201543495,0.079166133959,0.079138742052,0.079059261804,0.078975632061,0.079088123612,0.078923292072,0.078861551522,0.078813984536,0.078772053499,0.078686827125,0.078876910633,0.078652032833,0.078572482952,0.078521927603,0.078493031329,0.078462853402,0.078434109045,0.078378930104,0.078341703224,0.0783211306,0.078294309153,0.078250289594,0.078210679872,0.078185906935,0.078162842638,0.078150061998,0.078116189081,0.078091860859,0.078062599449]",Accuracy>=0.95 and Macro-F1>=0.95,True,True,True,0.11224489795918367,d2b4e8b970581a95f43bece3c8106165cedb897189285cf76dc72846c3481eaa,7e695dbc8ed4a4a83418a8149c20995c9140bb0a35f19a6fd2f1402b1d017a9a
run_bbbb19a5bbf18951a3a5,FROZEN_ENCODER_LINEAR_HEAD_ADAPTATION,5,JOINT_FACTOR_COVERAGE,42,104729,0,1.0,1.0,2.805596723236712,0.022589253324332755,0.059084047315664315,100,106,"[2.805596723237,2.743454981458,2.465281092635,2.3970207352,2.375842772693,2.324509450918,2.207610963723,1.98776163629,1.81795816208,1.629878676383,1.428691374571,1.42873839436,1.374797196042,1.365613839848,1.346383479136,1.310096327261,1.220103397722,1.07572649375,0.789767305743,0.509889032897,0.372147617166,0.292202015524,0.238437784235,0.20580683559,0.185340010052,0.167350204402,0.154408369617,0.143852739238,0.134892955755,0.126780061786,0.123977226146,0.120795216537,0.118219185597,0.115421352084,0.113414912604,0.110384176124,0.106814512627,0.103990764488,0.101672265042,0.098974867249,0.098268269773,0.09762687362,0.096240094896,0.09421770322,0.093724075117,0.091082456021,0.090771571373,0.090557262437,0.090422969658,0.090067671399,0.089538366365,0.088842665181,0.088008655733,0.087301140399,0.086911963608,0.086600215047,0.086322197827,0.086081127564,0.085826727468,0.085488555759,0.08513080801,0.084730561541,0.08452949081,0.084369999987,0.084264864381,0.0840567552,0.083841201595,0.084857482452,0.083775353716,0.083619781574,0.083512424223,0.083393509396,0.083255827407,0.083080733,0.082961779619,0.082876561088,0.082843725704,0.082777043376,0.082688853867,0.08258212658,0.082385029723,0.082260864896,0.082187435185,0.082156786744,0.082140650225,0.082126020751,0.082109238654,0.082078746417,0.082016473273,0.081942291591,0.082008687038,0.081908930101,0.081876185461,0.08186580839,0.081862106379,0.08185437012,0.081835766806,0.081801722036,0.081952691816,0.081787552577,0.081750937989,0.081726142928,0.081717334786,0.081708286166,0.081694172803,0.08167330064]",Accuracy>=0.95 and Macro-F1>=0.95,True,True,True,0.12698412698412698,6064d45d175687d3b1da3799c8c2e56eba361212a317baf36a13b8986ca0e544,7e695dbc8ed4a4a83418a8149c20995c9140bb0a35f19a6fd2f1402b1d017a9a
run_1dfeefbd18f39667b703,FROZEN_ENCODER_LINEAR_HEAD_ADAPTATION,1,RANDOM_BLOCK,42,130363,0,0.8571428571428571,0.8095238095238095,3.6003173984191363,1.0666668121867724,0.6558974438243207,54,72,"[3.600317398419,3.512372549997,3.040809404759,2.876524434809,2.746671784464,2.506050557598,1.988159201168,2.657216214386,1.895185813149,1.788676815159,1.780198809619,1.775952520578,1.76483131497,1.743685965679,1.765268459048,1.736411715322,1.725559289274,1.723398040156,1.723226260811,1.723112682637,1.722791324081,1.722723231654,1.72261364009,1.722601609961,1.722597900017,1.722591642323,1.722580384874,1.722569853826,1.722574203673,1.722566392666,1.722564870842,1.722564677783,1.722564641138,1.722564392805,1.722564651332,1.722564355009,1.722564288868,1.72256427101,1.72256426908,1.722564266279,1.722564261907,1.722564259875,1.722564256827,1.722564256383,1.722564256287,1.722564256246,1.722564256214,1.722564256189,1.722564256168,1.722564256064,1.72256425616,1.722564256047,1.722564256292,1.722564256036,1.722564256103,1.722564256029,1.722564256192,1.722564256024,1.722564256084,1.722564256021,1.722564256122,1.722564256018,1.722564256058,1.722564256016,1.722564256081,1.722564256014,1.72256425604,1.722564256013,1.722564256056,1.722564256012,1.722564256029,1.722564256011]",Accuracy>=0.95 and Macro-F1>=0.95,False,True,False,0.2507936507936508,cd8c901f2d87563b81037d5392907e06999f5b4ac5707dcf624637829c12c91e,7e695dbc8ed4a4a83418a8149c20995c9140bb0a35f19a6fd2f1402b1d017a9a
run_86d4a5601c4385a3cdd3,FROZEN_ENCODER_LINEAR_HEAD_ADAPTATION,3,RANDOM_BLOCK,42,130363,0,0.3333333333333333,0.33877551020408164,3.2530832273657406,1.7957231292539872,0.42083704261322713,49,54,"[3.253083227366,3.198055292685,2.871130549411,2.771122953187,2.730484629376,2.546141757043,2.349220280355,2.298304219354,2.250594255314,2.240139164479,2.238258971301,2.236352273704,2.22790574865,2.221165440682,2.218572727039,2.216921964997,2.216742822187,2.216717792811,2.216644449763,2.216596342751,2.216585206823,2.216566907206,2.216565976027,2.2165654024,2.216563986832,2.216561927866,2.216565412391,2.216561460937,2.216560571881,2.216560409662,2.216560375777,2.216560329575,2.216560247694,2.216560250317,2.216560210585,2.216560183253,2.2165601774,2.216560176913,2.216560175069,2.216560173238,2.216560188483,2.216560173045,2.216560172338,2.216560172181,2.216560172095,2.216560172049,2.216560172013,2.216560171985,2.216560171962,2.216560171944,2.216560171929,2.216560171917,2.216560171908,2.216560171867]",Accuracy>=0.95 and Macro-F1>=0.95,False,True,False,0.218140589569161,711d91eb5eca665be1ba2ae4ff8f3e45a4cea09ce8bf8a168f8c5701d9d34138,7e695dbc8ed4a4a83418a8149c20995c9140bb0a35f19a6fd2f1402b1d017a9a
run_6d2d1d419d73cb92436e,FROZEN_ENCODER_LINEAR_HEAD_ADAPTATION,3,ER_BALANCED,42,130363,0,0.19047619047619047,0.1880952380952381,3.4984253294939327,1.9284136082389152,0.47726151658978644,54,75,"[3.498425329494,3.436592599723,3.11700678638,3.025475667475,2.983538977529,2.596353739565,2.475627577141,2.454998259284,2.428087432758,2.426378024,2.42465738252,2.415678733179,2.409286467934,2.414225040439,2.407407308458,2.406250486593,2.406144576784,2.406105502403,2.405957881849,2.405800735591,2.407038461211,2.405780339537,2.405706132497,2.405692994408,2.405690502819,2.405687706534,2.405681400404,2.405676850367,2.405678518354,2.405675652695,2.40567542118,2.405675375707,2.405675321744,2.40567525719,2.405675159141,2.405675137424,2.405675131601,2.405675130777,2.40567512855,2.40567512581,2.405675126366,2.40567512549,2.405675125128,2.405675125066,2.405675125035,2.405675125008,2.405675124872,2.40567512495,2.40567512486,2.405675124935,2.405675124853,2.40567512498,2.405675124849,2.405675124945,2.405675124845,2.405675124927,2.405675124843,2.405675124915,2.40567512484,2.405675124902,2.405675124838,2.405675124894,2.405675124836,2.405675124884,2.405675124835,2.405675124878,2.405675124833,2.405675124871,2.405675124832,2.405675124866,2.405675124831,2.40567512486,2.40567512483,2.405675124857,2.405675124829]",Accuracy>=0.95 and Macro-F1>=0.95,False,True,False,0.28276643990929706,f4ded94be25d9537ea0d35f00efd0c5f0c17b506a6ef933065dacbd6e9b40352,7e695dbc8ed4a4a83418a8149c20995c9140bb0a35f19a6fd2f1402b1d017a9a
